"Delete Current Hierarchy","حذف التسلسل الهرمي الحالي"
"Currently Published Revision","مراجعة المنشورة حاليا"
"The published revision is unavailable.","مراجعة المنشور غير متوفرة."
"Some error","خطأ ما"
"There are unsaved node data. Are you sure you want to continue?","هناك هي عقده بيانات غير محفوظة. هل أنت متأكد من أنك تريد المتابعة؟"
"Loading...","جاري التحميل..."
"Please wait...","الرجاء الانتظار..."
"Choose Revision","اختر مراجعة"
"Current Modification","التعديل الحالي"
"Revision #%1","مراجعة #%1"
"Choose Store View:","اختيار منظر المتجر:"
"Revision #","مراجعة #"
"New Revision","مراجعة جديدة"
"Author:","المؤلف:"
"Created:","تم الانشاء:"
"Version:","النسخة:"
"This Page Belongs To","هذه الصفحة تنتمي إلى"
"Version Revisions","إصدار التنقيحات"
"CMS Versioning","إصدار اتفاقية إدارة تخصيص المحتوبات"
"CMS Page Default Versioning","تعيين الإصدار الافتراضي لصفحة اتفاقية إدارة تخصيص المحتوبات"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
