"Delete Current Hierarchy","Geçerli hiyerarşiyi sil"
"Tree Viewed","Ağaç Görünümü"
"No","Hayır"
"Chapter","Kısım"
"Section","Bölüm"
"Both","İkisi de"
"Use default","Varsayılanı Kullan"
"Default","Varsayılan"
"Numbers (1, 2, 3, ...)","Numaralar (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Küçük harf (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Büyük harf (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Küçük roman harfi (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Büyük roman harfi (I, II, III, ...)"
"Circle","Daire"
"Disc","Disk"
"Square","Kare"
"Unordered","Sıralanmamış"
"Ordered","Sipariş Tarihi"
"Use Parent","Üst Kullan"
"Yes","Evet"
"Use the parent node hierarchy.","Üst düğüm hiyerarşisini kullanın."
"Are you sure you want to delete current hierarchy?","Mevcut hiyerarşiyi silmek istediğinizden emin misiniz?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Bu sayfa eklenemez, çünkü bu ağaç bölümünde aynı URL Anahtarına sahip bir düğüm veya sayfa zaten mevcut."
"This URL key is already in use.","Bu URL anahtarı zaten kullanımda."
"CMS Pages","İçerik Yönetimi Sayfaları"
"Please select a website or store view.","Lütfen bir web site veya mağaza görüntüsü seçin."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Geçerli hiyerarşiyi seçilen hedeflere kopyalamak istediğinizden emin misiniz?"
"Are you sure you want to delete the selected hierarchies?","Seçilen hiyerarşileri silmek istediğinizden emin misiniz?"
"Delete","Sil"
"Please select one or more hierarchies to delete.","Lütfen silmek için bir veya daha fazla hiyerarşi seçin."
"Please assign the current hierarchy to one or more destinations.","Lütfen geçerli hiyerarşiyi bir veya daha fazla hedefe atayın."
"Root","Kök dizin"
"No nodes are available","Hiçbir düğüm mevcut değil"
"Single Hierarchy for All Store Views","Tüm Mağaza Görünümleri için Tek Hiyerarşi"
"Specific Hierarchy for Each Store View","Her Mağaza Görünümü için Özel Hiyerarşi"
"CMS Hierarchy for","için CMS Hiyerarşisi"
"Anchor Custom Text","Bağlantı Özel Yazı"
"If this value is empty, the node or page name will be used.","Bu değer boşsa, düğüm veya sayfa adı kullanılacaktır."
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Node","Düğüm"
"Not Selected","Seçilmedi"
"Select a page or node.","Bir sayfa veya düğüm seçin."
"Parent page","Ana sayfa"
"Website Root","Web Sitesi Kökü"
"Page:","Sayfa:"
"Page","Sayfa"
"Previous","Önceki"
"You're currently reading page","Şu anda okuma sayfasındasınız"
"Next","Sonraki"
"Delete Revision and Version","Revizyon ve Sürümü Sil"
"Publish Revision","Revizyonu Yayınla"
"Pages","Sayfalar"
"CMS Page Hierarchy","CMS Sayfa Hiyerarşisi"
"Enable Hierarchy Functionality","Hiyerarşi İşlevselliğini Etkinleştir"
"Enable Hierarchy Metadata","Hiyerarşi Meta Verilerini Etkinleştir"
"Default Layout for Hierarchy Menu","Hiyerarşi Menüsü için Varsayılan Düzen"
"CMS Hierarchy","CMS Hiyerarşisi"
"CMS Hierarchy Node Link","CMS Hiyerarşik Düğüm Bağlantısı"
"Link to Specified CMS Hierarchy Node","Belirtilen CMS Hiyerarşi Düğümüne Bağlantı"
"Template","Şablon"
"CMS Page Link Block Template","CMS Sayfa Bağlantısı Blok Teması"
"CMS Page Link Inline Template","CMS Sayfa Bağlantısı İç Teması"
"All Store Views","Tüm Mağaza Görünümleri"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","""%1"" numaralı CMS düğümü bulunamadı."
