"Delete Current Hierarchy","Eliminar la jerarquía actual"
"Please correct the node data.","Por favor corregir los datos del nodo."
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
"Tree Viewed","Arbol visto"
"No","No 	"
"Chapter","Capítulo"
"Section","Sección"
"Both","Ambos"
"Use default","Uso por defecto"
"Default","Predeterminado"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Minúsculas (a, b, c,...)"
"Upper Alpha (A, B, C, ...)","Mayúsculas (A, B, C,...)"
"Lower Roman (i, ii, iii, ...)","Minúsculas Romanos (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Mayúsculas Romanos (i, ii, iii, ...)"
"Circle","Círculo"
"Disc","Disco"
"Square","Cuadrado"
"Unordered","Sin ordenar"
"Ordered","Pedidos"
"Use Parent","Usar padre"
"Yes","Sí"
"This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part.","This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part."
"Use the parent node hierarchy.","Utilizar la jerarquía de nodos padres."
"Are you sure you want to delete current hierarchy?","¿Seguro que quieres eliminar la jerarquía actual?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página no se puede agregar, porque un nodo o página con la misma clave URL ya existe en esta parte del árbol."
"This URL key is already in use.","Esta URL key ya está en uso."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Por favor seleccione un sitio web o una vista de tienda."
"Are you sure you want to copy the current hierarchy to the selected destinations?","¿Seguro que quieres copiar la jerarquía actual a los destinos seleccionados?"
"Are you sure you want to delete the selected hierarchies?","¿Seguro que quieres eliminar las jerarquías seleccionadas?"
"Delete","Borrar"
"Please select one or more hierarchies to delete.","Seleccione una o más jerarquías para eliminar."
"Please assign the current hierarchy to one or more destinations.","Asigne la jerarquía actual a uno o más destinos."
"Root","Raíz"
"No nodes are available","No hay nodos disponibles"
"Single Hierarchy for All Store Views","Jerarquía única para todos los Store Views"
"Specific Hierarchy for Each Store View","Jerarquía específica para cada vista de tienda"
"CMS Hierarchy for","Jerarquía CMS para"
"Anchor Custom Text","Ancla Texto personalizado"
"If this value is empty, the node or page name will be used.","Si este valor está vacío, se usará el nodo o el nombre de la página."
"Anchor Custom Title","Anclar título personalizado"
"Node","Nodo"
"Not Selected","No seleccionado"
"Select a page or node.","Seleccione una página o nodo."
"Parent page","Página padre"
"Website Root","Raíz del sitio web"
"Page:","Página:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Actualmente estás leyendo página"
"Next","Siguiente"
"Delete Revision and Version","Eliminar revisión y versión"
"Publish Revision","Publicación revisión"
"Pages","Páginas"
"CMS Page Hierarchy","Jerarquía de la página CMS"
"Enable Hierarchy Functionality","Habilitar la funcionalidad de la jerarquía"
"Enable Hierarchy Metadata","Habilitar Metadata de Jerarquía"
"Default Layout for Hierarchy Menu","Diseño predeterminado para menú de jerarquía"
"CMS Hierarchy","Jerarquía CMS"
"CMS Hierarchy Node Link","Enlace de nodo de jerarquía CMS"
"Link to Specified CMS Hierarchy Node","Enlace a Nodo específico de jerarquía CMS"
"Template","Plantilla"
"CMS Page Link Block Template","CMS-Seitenlink - Blockvorlage"
"CMS Page Link Inline Template","CMS-Seitenlink - Inlinevorlage"
"All Store Views","Todas las vistas de la tienda"
