"Delete Current Hierarchy","Обриши Цуррент Хиерарцхy"
"Save as new version.","Сачувај ас неw версион."
"New Revision...","Ново Ревисион..."
"Save and continue edit.","Сачувај анд цонтинуе едит."
"Edit Page '%1' Version '%2'","Измени Страница '%1' Версион '%2'"
"Version Information","Версион Информације"
"Revision","Revision"
"Author","Author"
"Edit Page","Измени страницу"
"New Page","Нова Страница"
"Please select version(s).","Молимо изаберите версион(с)."
"A total of %1 record(s) have been deleted.","Укупно %1 запис(а) је уклоњено."
"Something went wrong while deleting these versions.","Нешто није у реду wхиле делетинг тхесе версионс."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Нешто није у реду wхиле делетинг тхе ревисион."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","Wе није могао лоад тхе специфиед ревисион."
"Edit Revision","Измени Ревисион"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Нешто није у реду wхиле делетинг тхис версион."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Измени Версион"
"Please select revision(s).","Молимо изаберите ревисион(с)."
"Something went wrong while deleting the revisions.","Нешто није у реду wхиле делетинг тхе ревисионс."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Ревисион #%1 није могао бе ремовед бецаусе ит ис публисхед."
"CMS Revision with id ""%1"" does not exist.","ЦМС ревизија са ИД ""%1"" не постоји."
"Please enter a version label.","Молимо унесите а версион лабел."
"Cannot change version access level because it is the last public version for its page.","Не може цханге версион аццесс левел бецаусе ит ис тхе ласт публиц версион фор итс паге."
"Version ""%1"" cannot be removed because it is the last public page version.","Верзија ""%1"" не може бити уклоњена јер је последња јавна верзија странице."
"Version ""%1"" cannot be removed because its revision is published.","Верзија ""%1"" не може бити уклоњена јер је њена ревизија објављена."
"CMS Version with id ""%1"" does not exist.","ЦМС верзија са ИД ""%1"" не постоји."
"Published","Published"
"[No Owner]","[Не Оwнер]"
"Enabled by Default","Омогућено по дифолту"
"Disabled by Default","Онемогућено по дифолту"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Нека грешка"
"There are unsaved node data. Are you sure you want to continue?","Тхере аре унсавед ноде дата. Да ли сте сигурни желите да цонтинуе?"
"Loading...","Учитавање..."
"Please wait...","Молимо сачекајте..."
"Choose Revision","Изабери Ревисион"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Изабери Продавница Преглед:"
"Revision #","Revision #"
"New Revision","Ново Ревисион"
"Author:","Author:"
"Created:","Креиран:"
"Version:","Version:"
"This Page Belongs To","Тхис Страница Белонгс То"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","ЦМС Страница Подразумевано Версионинг"
"The CMS node with the ""%1"" ID doesn't exist.","ЦМС чвор са ИД ""%1"" не постоји."
