"Delete Current Hierarchy","Eliminare la gerarchia corrente"
"Lower Alpha (a, b, c, ...)","Alfa minuscole (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Alfa maiuscole (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Numeri romani minuscoli (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Numeri romani maiuscoli (I, II, III, ...)"
"Circle","Cerchio"
"Disc","Disco"
"Square","Quadrato"
"Unordered","Non ordinato"
"Ordered","Ordinato"
"Use Parent","Usa parente"
"Yes","Sì"
"Use the parent node hierarchy.","Utilizza la gerarchia del nodo genitore."
"Are you sure you want to delete current hierarchy?","Sei sicuro di che voler eliminare la gerarchia corrente?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Questa pagina non può essere aggiunta perché un nodo o una pagina con la stessa URL key esiste già in questa parte dell'albero."
"This URL key is already in use.","Questa URL key è già utilizzata."
"CMS Pages","Pagine CMS"
"Please select a website or store view.","Seleziona un website o una vista negozio."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Sei sicuro di voler copiare l'attuale gerarchia per le destinazioni selezionate?"
"Are you sure you want to delete the selected hierarchies?","Sei sicuro di voler eliminare le gerarchie selezionate?"
"Delete","Elimina"
"Please select one or more hierarchies to delete.","Seleziona uno o più gerarchie da eliminare."
"Please assign the current hierarchy to one or more destinations.","Assegna la gerarchia corrente ad uno o più destinazioni."
"Root","Root"
"No nodes are available","Nessun nodo disponibile"
"Single Hierarchy for All Store Views","Gerarchia singola per tutte le viste negozio"
"Specific Hierarchy for Each Store View","Specifica la gerarchia per ogni vista negozio"
"CMS Hierarchy for","Gerarchia CMS per"
"Anchor Custom Text","Ancora testo personalizzato"
"If this value is empty, the node or page name will be used.","Se questo valore è vuoto, verrà utilizzato il nome del nodo o della pagina."
"Anchor Custom Title","Titolo personalizzato ancora"
"Node","Nodo"
"Not Selected","Non selezionato"
"Select a page or node.","Seleziona una pagina o un nodo."
"Parent page","Pagina genitore"
"Website Root","Root website"
"Page:","Pagina:"
"Page","Pagina"
"Previous","Precedente"
"You're currently reading page","Attualmente stai leggendo la pagina"
"Next","Successivo"
"Delete Revision and Version","Elimina revisione e versione"
"Publish Revision","Pubblicare la revisione"
"Pages","Pagine"
"CMS Page Hierarchy","Gerarchia della pagina CMS"
"Enable Hierarchy Functionality","Abilita la funzione di gerarchia"
"Enable Hierarchy Metadata","Abilita la gerarchia dei metadati"
"Default Layout for Hierarchy Menu","Layout predefinito per i Menu di gerarchia"
"CMS Hierarchy","Gerarchia CMS"
"CMS Hierarchy Node Link","Link Nodo gerarchia CMS"
"Link to Specified CMS Hierarchy Node","Link a uno specifico nodo gerarchia CMS"
"Template","Template"
"CMS Page Link Block Template","Template blocco Link Pagina CMS"
"CMS Page Link Inline Template","Template inline Link Pagina CMS"
"All Store Views","Tutte le Viste Negozio"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
