"Delete Current Hierarchy","වත්මන් ධුරාවලිය මකන්න"
"Are you sure you want to delete the selected hierarchies?","ඔබට තෝරාගත් ධුරාවලිය මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Delete","මකන්න"
"Please select one or more hierarchies to delete.","කරුණාකර මැකීමට ධුරාවලියක් හෝ කිහිපයක් තෝරන්න."
"Please assign the current hierarchy to one or more destinations.","කරුණාකර වත්මන් ධුරාවලිය ගමනාන්ත එකකට හෝ වැඩි ගණනකට පවරන්න."
"Root","මූල"
"No nodes are available","නෝඩ් නොමැත"
"Single Hierarchy for All Store Views","සියලුම වෙළඳසැල් බැලීම් සඳහා තනි ධුරාවලිය"
"Specific Hierarchy for Each Store View","එක් එක් ගබඩා දර්ශනය සඳහා නිශ්චිත ධුරාවලිය"
"CMS Hierarchy for","සඳහා CMS ධුරාවලිය"
"Anchor Custom Text","ඇන්කර් අභිරුචි පෙළ"
"If this value is empty, the node or page name will be used.","මෙම අගය හිස් නම්, නෝඩය හෝ පිටු නම භාවිතා වේ."
"Anchor Custom Title","නැංගුරම් අභිරුචි මාතෘකාව"
"Node","නෝඩය"
"Not Selected","තෝරාගෙන නැත"
"Select a page or node.","පිටුවක් හෝ නෝඩයක් තෝරන්න."
"Parent page","මාපිය පිටුව"
"Website Root","වෙබ් අඩවිය Root"
"Page:","පිටුව:"
"Page","පිටුව"
"Previous","කලින්"
"You're currently reading page","ඔබ දැනට පිටුව කියවමින් සිටී"
"Next","ඊළඟ"
"Delete Revision and Version","සංශෝධනය සහ අනුවාදය මකන්න"
"Publish Revision","සංශෝධනය ප්‍රකාශ කරන්න"
"Pages","පිටු"
"CMS Page Hierarchy","CMS පිටු ධුරාවලිය"
"Enable Hierarchy Functionality","ධුරාවලියේ ක්‍රියාකාරීත්වය සබල කරන්න"
"Enable Hierarchy Metadata","ධූරාවලිය පාරදත්ත සබල කරන්න"
"Default Layout for Hierarchy Menu","ධුරාවලියේ මෙනුව සඳහා පෙරනිමි පිරිසැලසුම"
"CMS Hierarchy","CMS ධුරාවලිය"
"CMS Hierarchy Node Link","CMS ධුරාවලියේ නෝඩ් සබැඳිය"
"Link to Specified CMS Hierarchy Node","නිශ්චිත CMS ධුරාවලියේ නෝඩය වෙත සබැඳිය"
"Template","සැකිල්ල"
"CMS Page Link Block Template","CMS පිටු සබැඳි බ්ලොක් අච්චුව"
"CMS Page Link Inline Template","CMS පිටු සබැඳි පේළිගත අච්චුව"
"All Store Views","සියලුම ගබඩා දර්ශන"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","""%1"" ID සහිත CMS නෝඩය නොපවතී."
