"Delete Current Hierarchy","Verwijder Huidige Hiërarchie"
"Pages","Pagina's"
"CMS Page Hierarchy","CMS pagina hiërarchie"
"Enable Hierarchy Functionality","Stel hiërarchie functionaliteit in werking"
"Enable Hierarchy Metadata","Stel hiërarchie metadata in werking"
"Default Layout for Hierarchy Menu","Normale layout voor het hiërarchie menu"
"CMS Hierarchy","CMS hiërarchie"
"CMS Hierarchy Node Link","CMS hiërarchie node link"
"Link to Specified CMS Hierarchy Node","Link naar gespecificeerde CMS Hiërarchie Node"
"Template","Sjabloon"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"All Store Views","Alle Winkelaanzichten"
"Add selected page(s) to the tree.","Geselecteerde pagina('s) toevoegen aan de hiërarchie."
"Version Control","Versiecontrole"
"Version Label","Versie label"
"Owner","Eigenaar"
"Access Level","bereikbaarheidsniveau"
"Quantity","Aantal"
"Created","Aangemaakt"
"Versions","Versies"
"Are you sure?","Weet u het zeker?"
"N/A","n.v.t."
"Are you sure you want to delete this revision?","Weet u zeker dat u deze modificatie wilt verwijderen?"
"Publish","Publiceren"
"Save and publish.","Opslaan en publiceren."
"Save in a new version.","Opslaan in een nieuwe versie."
"You must specify a new version name.","U moet een nieuwe versienaam opgeven."
"Please specify a valid name.","Geef een geldige naam op."
"Edit Page '%1' Revision #%2","Bewerk pagina's '%1' revisie #%2"
"Edit Page '%1' New Revision","Bewerk pagina's '%1' nieuwe revisie"
"Revision Information","Herzienings Informatie"
"Save as new version.","Opslaan als nieuwe versie."
"New Revision...","Nieuwe Correctie..."
"Save and continue edit.","Toepassen"
"Edit Page '%1' Version '%2'","Bewerk pagina '%1' Versie '%2'"
"Version Information","Versie infomatie"
"Revision","Herziening"
"Author","Auteur"
"Edit Page","Pagina Bewerken"
"New Page","Nieuwe pagina"
"Please select version(s).","Selecteer alstublieft de versie(s)."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"Something went wrong while deleting these versions.","Er ging iets mis bij het verwijderen van deze versies."
"You have deleted the revision.","U heeft de herziening verwijderd."
"Something went wrong while deleting the revision.","Er ging iets mis tijdens het verwijderen van de revisie."
"We can't find a revision to delete.","We kunnen geen versie vinden om te verwijderen."
"We could not load the specified revision.","De opgegeven herziening kon niet geladen worden."
"Edit Revision","Bewerk modificatie"
"You have published the revision.","U heeft de revisie gepubliceerd."
"You have saved the revision.","U heeft de revisie opgeslagen."
"You have deleted the version.","U heeft de versie verwijderd."
"Something went wrong while deleting this version.","Er ging iets mis bij het verwijderen van deze versie."
"We can't find a version to delete.","We kunnen geen versie vinden om te verwijderen."
"Edit Version","Bewerk versie"
"Please select revision(s).","Selecteer alstublieft de herziening(en)."
"Something went wrong while deleting the revisions.","Er ging iets mis tijdens het verwijderen van de revisies."
"You have created the new version.","U heeft een nieuwe versie aangemaakt."
"You have saved the version.","U heeft de versie opgeslagen."
"Revision #%1 could not be removed because it is published.","Revisie #%1 kon niet verwijderd worden omdat deze al gepubliceerd is."
"CMS Revision with id ""%1"" does not exist.","CMS herziening met id ""%1"" bestaat niet."
"Please enter a version label.","Voer een versie label in."
"Cannot change version access level because it is the last public version for its page.","Het bereikbaarheidslevel kan niet worden veranderd, omdat het de laatst beschikbare publieke versie is voor deze pagina."
"Version ""%1"" cannot be removed because it is the last public page version.","Versie ""%1"" kan niet verwijderd worden omdate het de laatste publieke pagina versie is."
"Version ""%1"" cannot be removed because its revision is published.","Versie ""%1"" kan niet verwijderd worden omdat de revisie ervan is gepubliceerd."
"CMS Version with id ""%1"" does not exist.","CMS versie met id ""%1"" bestaat niet."
"Published","Gepubliceerd"
"[No Owner]","[Geen eigenaar]"
"Enabled by Default","Standaard ingeschakeld"
"Disabled by Default","Standaard uitgeschakeld"
"Under Version Control","Onder versiecontrole"
"%1; rev #%2","%1; Rev #%2"
"Currently Published Revision","Huidig gepubliceerde modificatie"
"The published revision is unavailable.","De gepubliceerde revisie is niet beschikbaar."
"Some error","Een fout"
"There are unsaved node data. Are you sure you want to continue?","Er is niet-opgeslagen node-data. Weet u zeker dat u wilt doorgaan?"
"Loading...","Bezig met laden..."
"Please wait...","Even geduld..."
"Choose Revision","Kies modificatie"
"Current Modification","Huidige modificatie"
"Revision #%1","Revisie #%1"
"Choose Store View:","Selecteer Winkelaanzicht:"
"Revision #","Herziening #"
"New Revision","Nieuwe Correctie"
"Author:","Auteur:"
"Created:","Gemaakt:"
"Version:","Versie:"
"This Page Belongs To","Deze pagina behoort toe aan"
"Version Revisions","Versie modificatie"
"CMS Versioning","CMS versies"
"CMS Page Default Versioning","CMS pagina met gebruikelijke versie"
"The CMS node with the ""%1"" ID doesn't exist.","CMS node met id ""%1"" bestaat niet."
