"Delete Current Hierarchy","Verwijder Huidige Hiërarchie"
"Previous","Vorige"
"You're currently reading page","Je leest momenteel pagina"
"Next","Volgende"
"Delete Revision and Version","Verwijder modificatie en versie"
"Publish Revision","Publiceer Herziening"
"Pages","Pagina's"
"CMS Page Hierarchy","CMS pagina hiërarchie"
"Enable Hierarchy Functionality","Stel hiërarchie functionaliteit in werking"
"Enable Hierarchy Metadata","Stel hiërarchie metadata in werking"
"Default Layout for Hierarchy Menu","Normale layout voor het hiërarchie menu"
"CMS Hierarchy","CMS hiërarchie"
"CMS Hierarchy Node Link","CMS hiërarchie node link"
"Link to Specified CMS Hierarchy Node","Link naar gespecificeerde CMS Hiërarchie Node"
"Template","Sjabloon"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"All Store Views","Alle Winkelaanzichten"
