"Delete Current Hierarchy","Eliminar la jerarquía actual"
"Please correct the node data.","Por favor corregir los datos del nodo."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Árbol visto"
"No","No 	"
"Chapter","Capítulo"
"Section","Sección"
"Both","Ambos"
"Use default","Uso por defecto"
"Default","Por defecto"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Minúsculas (a, b, c,...)"
"Upper Alpha (A, B, C, ...)","Mayúsculas (A, B, C,...)"
"Lower Roman (i, ii, iii, ...)","Bajar romano (i, ii, iii,...)"
"Upper Roman (I, II, III, ...)","Superior romano (I, II, III,...)"
"Circle","Círculo"
"Disc","Disco"
"Square","Cuadrado"
"Unordered","Sin ordenar"
"Ordered","Pedido realizado"
"Use Parent","Usar padre"
"Yes","Si"
"Use the parent node hierarchy.","Utilizar la jerarquía de nodos padres."
"Are you sure you want to delete current hierarchy?","¿Está seguro que desea eliminar la jerarquía actual?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página no se puede Agregar, porque un nodo o una página con la misma clave de URL ya existe en esta parte del árbol."
"This URL key is already in use.","Esta clave del enlace ya está en uso."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Por favor seleccione un sitio web o guardar la vista."
"Are you sure you want to copy the current hierarchy to the selected destinations?","¿Confirma que desea copiar la actual jerarquía a los destinos seleccionados?"
"Are you sure you want to delete the selected hierarchies?","¿Está seguro que desea eliminar las jerarquías seleccionadas?"
"Delete","Eliminar"
"Please select one or more hierarchies to delete.","Por favor, seleccione una o más jerarquías para borrar."
"Please assign the current hierarchy to one or more destinations.","Por favor, asignar a la jerarquía actual a uno o más destinos."
"Root","Raíz"
"No nodes are available","No hay nodos disponibles"
"Single Hierarchy for All Store Views","Jerarquía única para todas las vistas de las tiendas"
"Specific Hierarchy for Each Store View","Jerarquía específica para cada vista de tienda"
"CMS Hierarchy for","Jerarquía CMS para"
"Anchor Custom Text","Ancla Texto personalizado"
"If this value is empty, the node or page name will be used.","Si este valor está vacío, se utilizará el nombre de nodo o página."
"Anchor Custom Title","Anclar título personalizado"
"Node","Nodo"
"Not Selected","No seleccionado"
"Select a page or node.","Seleccione una página o nodo."
"Parent page","Página principal"
"Website Root","Sitio Web raíz"
"Page:","Página:"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Estás leyendo la página"
"Next","Siguiente"
"Delete Revision and Version","Eliminar revisión y versión"
"Publish Revision","Publicación de la revisión"
"Pages","Páginas"
"CMS Page Hierarchy","Jerarquía de la página CMS"
"Enable Hierarchy Functionality","Habilitar la funcionalidad de la jerarquía"
"Enable Hierarchy Metadata","Habilitar Metadata de Jerarquía"
"Default Layout for Hierarchy Menu","Diseño predeterminado de menú jerarquía"
"CMS Hierarchy","Jerarquía CMS"
"CMS Hierarchy Node Link","Enlace de nodo de jerarquía CMS"
"Link to Specified CMS Hierarchy Node","Enlace a especifica el nodo de jerarquía CMS"
"Template","Plantilla"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"All Store Views","Todas las vistas de tienda"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
