"Delete Current Hierarchy","Изтриване на текущата йерархия"
"Tree Viewed","Преглеждания на дървото"
"No","Не"
"Chapter","Глава"
"Section","Секция"
"Both","Двете"
"Use default","Размер по подразбиране"
"Default","По подразбиране"
"Numbers (1, 2, 3, ...)","Числа (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Малки букви (a, b, c,...)"
"Upper Alpha (A, B, C, ...)","Големи букви (A, B, C,...)"
"Lower Roman (i, ii, iii, ...)","Малки римски (i, ii, iii,...)"
"Upper Roman (I, II, III, ...)","Главни римски, (I, II, III,...)"
"Circle","Кръг"
"Disc","Диск"
"Square","Квадрат"
"Unordered","Непоръчан"
"Ordered","Поръчан"
"Use Parent","Използвай основен"
"Yes","Да"
"Use the parent node hierarchy.","Използвайте родителския възел йерархията."
"Are you sure you want to delete current hierarchy?","Наистина ли искате да изтриете текущата йерархия?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Тази страница не може да се добави, защото възел или страница със същия URL ключ вече съществува в тази част на дървото."
"This URL key is already in use.","Този URL ключ вече се използва."
"CMS Pages","CMS страници"
"Please select a website or store view.","Моля изберете един сайт или съхранявате изглед."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Наистина ли искате да копирате текущата йерархия на избраните дестинации?"
"Are you sure you want to delete the selected hierarchies?","Наистина ли искате да изтриете избраните йерархии?"
"Delete","Изтрий"
"Please select one or more hierarchies to delete.","Моля, изберете една или повече йерархии за изтриване."
"Please assign the current hierarchy to one or more destinations.","Моля присвоите текущата йерархията на един или повече дестинации."
"Root","Главна категория"
"No nodes are available","Няма налични възли"
"Single Hierarchy for All Store Views","Една йерархия за всички изгледи на магазини"
"Specific Hierarchy for Each Store View","Специфична йерархия за всеки изглед на магазин"
"CMS Hierarchy for","CMS йерархия за"
"Anchor Custom Text","Котва текст по избор"
"If this value is empty, the node or page name will be used.","Ако тази стойност е празна, ще се използва името на възел или страница."
"Anchor Custom Title","Котва потребителско заглавие"
"Node","Възел"
"Not Selected","Не избрани"
"Select a page or node.","Изберете страница или възел."
"Parent page","Родителска страница"
"Website Root","Уебсайт корен"
"Page:","Страница:"
"Page","Страница"
"Previous","Назад"
"You're currently reading page","В момента четете страница"
"Next","Напред"
"Delete Revision and Version","Изтриване на ревизия и версия"
"Publish Revision","Публикуване на преразглеждане"
"Pages","Страници"
"CMS Page Hierarchy","CMS страница йерархия"
"Enable Hierarchy Functionality","Разреши йерархия функционалност"
"Enable Hierarchy Metadata","Разреши йерархия метаданни"
"Default Layout for Hierarchy Menu","Меню за Оформление по подразбиране на йерархията"
"CMS Hierarchy","CMS йерархия"
"CMS Hierarchy Node Link","CMS йерархия възел връзка"
"Link to Specified CMS Hierarchy Node","Връзка към указан CMS йерархия възел"
"Template","Шаблон"
"CMS Page Link Block Template","CMS връзка със страница за блоков шаблон"
"CMS Page Link Inline Template","CMS връзка със страница за линеен шаблон"
"All Store Views","Изгледи на всички магазини"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","CMS разклонение с идентификатор „%1“ не съществува."
