"Delete Current Hierarchy","Hapus hirarki saat ini"
"Something went wrong while saving the hierarchy.","Ada yang tidak beres saat menyimpan hierarki."
"Manage Pages","Kelola Laman"
"Private","Pribadi"
"Protected","Terlindung"
"Public","Publik"
"Delete Multiple Hierarchies","Hapus beberapa hierarki"
"Please correct the node data.","Perbaiki data simpul."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Pohon Dilihat"
"No","Tidak"
"Chapter","Bab"
"Section","Bagian"
"Both","Kedua"
"Use default","Gunakan default"
"Default","Bawaan"
"Numbers (1, 2, 3, ...)","Angka (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Alpha Bawah (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Alpha Atas (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Romawi Bawah (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romawi Atas (I, II, III, ...)"
"Circle","Lingkaran"
"Disc","Cakram"
"Square","Kotak"
"Unordered","Tidak dipesan"
"Ordered","Dipesan"
"Use Parent","Gunakan Induk"
"Yes","Ya"
"Use the parent node hierarchy.","Gunakan hirarki simpul induk."
"Are you sure you want to delete current hierarchy?","Yakin ingin menghapus hierarki saat ini?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Halaman ini tidak dapat ditambahkan, karena sebuah simpul atau halaman dengan URL yang sama sudah ada di bagian pohon ini."
"This URL key is already in use.","Kunci URL ini sudah di gunakan."
"CMS Pages","Halaman CMS"
"Please select a website or store view.","Silahkan pilih situs web atau tampilan toko."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Yakin ingin menyalin hierarki saat ini ke tujuan yang dipilih?"
"Are you sure you want to delete the selected hierarchies?","Yakin ingin menghapus hierarki yang dipilih?"
"Delete","Hapus"
"Please select one or more hierarchies to delete.","Pilih satu atau beberapa hierarki untuk dihapus."
"Please assign the current hierarchy to one or more destinations.","Silakan tetapkan hierarki saat ini ke satu atau beberapa tujuan."
"Root","Sumber"
"No nodes are available","Tidak ada node yang tersedia"
"Single Hierarchy for All Store Views","Hirarki Tunggal untuk Semua Tampilan Store"
"Specific Hierarchy for Each Store View","Hirarki Spesifik untuk Setiap View Store"
"CMS Hierarchy for","Hirarki CMS untuk"
"Anchor Custom Text","Anchor Custom Text"
"If this value is empty, the node or page name will be used.","Jika nilai ini kosong, nama node atau halaman akan digunakan."
"Anchor Custom Title","Judul Jabatan Jangkar"
"Node","Node"
"Not Selected","Tidak terpilih"
"Select a page or node.","Pilih halaman atau simpul."
"Parent page","Halaman induk"
"Website Root","Akar Situs"
"Page:","Halaman:"
"Page","Halaman"
"Previous","Sebelumnya"
"You're currently reading page","Anda sedang membaca halaman"
"Next","Berikutnya"
"Delete Revision and Version","Hapus Revisi dan Versi"
"Publish Revision","Publikasikan Revisi"
"Pages","halaman"
"CMS Page Hierarchy","Hirarki halaman cms"
"Enable Hierarchy Functionality","Aktifkan Fungsi Hirarki"
"Enable Hierarchy Metadata","Aktifkan Metadata Hirarki"
"Default Layout for Hierarchy Menu","Tata Letak Default untuk Menu Hirarki"
"CMS Hierarchy","Hirarki CMS"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Tautan ke Node Hirarki NAMA Tertentu"
"Template","Template"
"CMS Page Link Block Template","CMS Page Link Blok Template"
"CMS Page Link Inline Template","CMS Page Link Template Inline"
"All Store Views","Semua Tampilan Store"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
