"Back","Назад"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","Тхе %темплатеНаме цонтаинс ан нетачан цонфигуратион. Тхе темплате хас а референце то итселф. Еитхер ремове ор цханге тхе референце."
"Can not save empty config","Can not save empty config"
"label","ознака"
"-- Please Select --","-- Молим одаберите --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Копирај"
"Theme id should be set","Тема ид схоулд бе сет"
"Circular-reference in theme inheritance detected for ""%1""","Кружна референца у наслеђивању теме откривена за ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","Не можемо отпремити фајл тренутно."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","Wе не може финд а дирецторy wитх тхис наме."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Тема исн'т делетабле."
"Exception message","Порука о изузећу"
"localized exception","localized exception"
"Message","Порука"
"Test Label","Тест ознака"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","Измени"
"We found no files.","Нисмо пронашли ниједан фајл."
"Browse Files","Browse Files"
"Scope:","Scope:"
"Remove","Уклони"
"Help Us Keep Magento Healthy","Помозите нам да одржимо Магенто здравим"
"Report All Bugs","Репорт Све Бугс"
"Welcome, %1!","Welcome, %1!"
"Toggle Nav","Укључи/искључи навигацију"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","Тхис ис демо сторе. Не ордерс wилл бе фулфиллед."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 ставка"
"%1 Item(s)","%1 артикал/артикала"
"Page","Страница"
"Previous","Претходни"
"You're currently reading page","Тренутно читате страницу"
"Next","Следеће"
"Show","Прикажи"
"per page","по страници"
"About the calendar","О календару"
"Close","Затвори"
"Go Today","Идем данас"
"WK","Седмица"
"Time","Време"
"Hour","Сат"
"Minute","Минут"
"%name,","%назив,"
"Welcome to %store_name.","Добродошли у %сторе_наме."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Да бисте се пријавили на наш сајт, користите ове акредитиве током провере или на страници <а хреф=""%цустомер_урл"">Мој рачун</а>:"
"Email:","Е-маил:"
"Password:","Лозинка:"
"Password you set when creating account","Лозинка коју сте поставили приликом креирања налога"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Заборавили сте лозинку свог налога? Кликните <а хреф=""%ресет_урл""> овде</а> да бисте поништили то."
"When you sign in to your account, you will be able to:","Када се пријавите на свој налог, моћи ћете да:"
"Proceed through checkout faster","Наставите брже кроз проверу"
"Check the status of orders","Проверите статус поруџбине"
"View past orders","Види све поруџбине"
"Store alternative addresses (for shipping to multiple family members and friends)","Сними алтернативне адресе (за слање члановима породице или пријатељима)"
"We could not detect a size.","Нисмо могли открити величину."
"We don't recognize this file extension.","Не препознајемо ову екстензију фајла."
"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"Empty","Празно"
"1 column","1 column"
"Configuration","Конфигурација"
"Default welcome msg!","Подразумевано wелцоме мсг!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Цопyригхт © 2013-пресент Магенто, Инц. Све ригхтс ресервед."
"Design Config Grid","Дизајн Цонфиг Мрежа"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Theme Information","Информације о теми"
"Other Settings","Друге поставке"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon Icon"
"Default Page Title","Подразумевано Страница Наслов"
"Page Title Prefix","Страница Наслов Префиx"
"Page Title Suffix","Страница Наслов Суффиx"
"Default Meta Description","Подразумевано Мета Опис"
"Default Meta Keywords","Подразумевано Мета Кеywордс"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","Дисплаy Демо Продавница Нотице"
"Header","Заглавље"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Лого Слика"
"Logo Attribute Width","Лого Атрибут Wидтх"
"Logo Attribute Height","Лого Атрибут Хеигхт"
"Welcome Text","Текст добродошлице"
"Logo Image Alt","Алт Лого Слике"
"Footer","Подножје странице"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","Разни ХТМЛ"
"Copyright","Ауторско право"
"Default Robots","Подразумевано Роботс"
"Edit custom instruction of robots.txt File","Измени цустом инструцтион оф роботс.тxт Датотека"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Ресетуј на подразумевано"
"Website","Wеб сајт"
"Store","Продавница"
"Store View","Приказ продавнице"
"Skip to Content","Скип то Садржај"
"Menu","Мени"
"Account","Налог"
"Settings","Подешавања"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Подразумевани наслов"
"Title Prefix","Наслов Префиx"
"Title Suffix","Наслов Суффиx"
"Default Description","Подразумевано Опис"
"Default Keywords","Подразумевано Кеywордс"
"Miscellaneous Scripts","Разни скриптови"
"Search Engine Robots","Претрага Енгине Роботс"
"Reset to Defaults","Ресетуј на подразумевано"
"Logo Image Width","Лого Слика Wидтх"
"Logo Image Height","Лого Слика Хеигхт"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Цопyригхт © 2015 Магенто. Све ригхтс ресервед."
"Wrong request.","Погрешан захтев."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Цопyригхт © 2013-2017 Магенто, Инц. Све ригхтс ресервед."
"Copyright © 2017 Magento, Inc. All rights reserved.","Цопyригхт © 2017 Магенто, Инц. Све ригхтс ресервед."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Цопyригхт © 2016 Магенто. Све ригхтс ресервед."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Страница није пронађена."
"The scope or scope ID is invalid. Verify both and try again.","Тхе сцопе ор сцопе ИД ис неисправан. Верифy ботх анд покушајте поново."
"The backend model isn't specified for ""%1"".","Модел позадине није наведен за ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","Шаблон ""%темплатеНаме"" садржи неисправну конфигурацију, са референцом на себе. Уклоните или промените референцу, затим покушајте поново."
"The config can't be saved because it's empty. Complete the config and try again.","Тхе цонфиг цан'т бе савед бецаусе ит'с емптy. Завршен тхе цонфиг анд покушајте поново."
"View","Преглед"
"This is a demo store. No orders will be fulfilled.","Тхис ис а демо сторе. Не ордерс wилл бе фулфиллед."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ИД"
