"Back","Voltar"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Esta ação irá excluir suas instruções personalizadas e reiniciar o arquivo robots.txt para a configuração padrão do sistema."
"Reset To Defaults","Restaurar padrões"
"Website","Site"
"Store","Loja"
"Store View","Visão de Loja"
"Skip to Content","Pular para o conteúdo"
"Menu","Menu"
"Account","Conta"
"Settings","Configurações"
"2 columns with left bar","2 colunas com barra à esquerda"
"2 columns with right bar","2 colunas com barra à direita"
"3 columns","3 colunas"
"Exception does not contain field '%1'","Exceções não contém o campo '%1'"
"exception","exceção"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivos permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nem todos os navegadores suportam todos estes formatos!"
"Default Title","Título padrão"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrão"
"Miscellaneous Scripts","Scripts diversos"
"Search Engine Robots","Robôs de motor de busca"
"Reset to Defaults","Restaurar padrões"
"Logo Image Width","Largura da imagem do logotipo"
"Logo Image Height","Altura da imagem do logotipo"
"This will be displayed just before body closing tag.","Isto será exibido antes do fechamento da etiqueta."
"Copyright © 2015 Magento. All rights reserved.","Copyright © Magento 2015. Todos os direitos reservados."
"Wrong request.","Solicitação inválida."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Todos os direitos reservados."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. Todos os direitos reservados."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Permitidos tipos de arquivos: ico, png, gif, jpg, jpeg, apng, svg. Nem todos os navegadores oferecem suporte a todos esses formatos!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Permitido a tipos de arquivo: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. Todos os direitos reservados."
"Display Report Bugs Link","Exibir o Link de Reportar Erros"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Tipos de arquivo permitidos: ICO, PNG, GIF, JPG, JPEG, APNG. Nem todos os navegadores suportam esse formato!"
"Page not found.","Página não encontrada."
"The scope or scope ID is invalid. Verify both and try again.","O escopo ou o ID de escopo é inválido. Verifique ambos e tente novamente."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Visualizar"
"This is a demo store. No orders will be fulfilled.","Esta é uma loja de demonstração. Nenhum pedido será entregue."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Id."
