"Back","חזור"
"We can't upload the JS file right now.","לא ניתן להעלות את קובץ ה-JS כעת."
"Sorry, something went wrong. That's all we know.","מצטערים, משהו השתמש. אין מידע נוסף כרגע."
"Invalid type","סוג לא חוקי"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","תווית"
"-- Please Select --","-- אנא בחר --"
"The start date can't follow the end date.","תאריך ההתחלה אינו יכול להיות אחרי תאריך הסיום."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","העתקה"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","איננו יכולים להעלות את הקובץ נכון לעכשיו."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","איננו לא ניתן למחוק את תיקיית האב %1 עכשיו."
"Theme isn't deletable.","ערכת הנושא אינה ניתנת למחיקה."
"Exception message","הודעת חריגה"
"localized exception","localized exception"
"Message","הודעה"
"Test Label","Test Label"
"Phrase","ביטוי"
"testMessage","testMessage"
"Edit","ערוך"
"We found no files.","We found no files."
"Browse Files","סרוק קבצים"
"Scope:","טווח:"
"Remove","הסר"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Welcome, %1!","ברוכים הבאים, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 פריט"
"%1 Item(s)","%1 פריט/ים"
"Page","עמוד"
"Previous","הקודם"
"You're currently reading page","You're currently reading page"
"Next","הבא"
"Show","הצגה"
"per page","לכל עמוד"
"About the calendar","על לוח השנה"
"Close","סגור"
"Go Today","לך היום"
"WK","WK"
"Time","זמן"
"Hour","שעה"
"Minute","דקה"
"%name,","%name,"
"Welcome to %store_name.","ברוכים הבאים ל-%store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","כדי להיכנס לאתר שלנו, השתמש בפרטי חיבור אלה במהלך הרכישה או בדף <a href=""%customer_url""> החשבון שלי</a>:"
"Email:","דואר אלקטרוני:"
"Password:","סיסמה:"
"Password you set when creating account","הסיסמה שהגדרת בעת יצירת החשבון"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","שכחת את הסיסמה לחשבון? לחצ/י <a href=""%reset_url"">כאן</a> כדי לאפס אותה."
"When you sign in to your account, you will be able to:","באמצעות התחברות לחשבונך, יתאפשר לך:"
"Proceed through checkout faster","המשך לקופה מהר יותר"
"Check the status of orders","בדוק את מצב הזמנות"
"View past orders","הצג הזמנות קודמות"
"Store alternative addresses (for shipping to multiple family members and friends)","אחסון כתובות חלופיות (עבור משלוח למספר מרובה של בני משפחה וחברים)"
"We could not detect a size.","לא הצלחנו לזהות את הגודל."
"We don't recognize this file extension.","אנחנו לא מזהים את סיומת הקובץ."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","ריק"
"1 column","עמודה 1"
"Configuration","הגדרות תצורה"
"Default welcome msg!","הודעת ברוכים הבאים ברירת מחדל!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","הגדרות עיצוב גריד תצוגה"
"Rebuild design config grid index","בנה מחדש אינדקס הגדרות עיצוב גריד תצוגה"
"Admin empty","Admin empty"
"Admin 1column","אדמין 1column"
"Theme Information","מידע אודות תבנית"
"Other Settings","הגדרות אחרות"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","סמל מועדפים (Favicon)"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","זה ייכלל לפני סגירת תגית Head בעמוד ה-HTML."
"Scripts and Style Sheets","סקריפטים וגליונות סגנון"
"Display Demo Store Notice","הצגת הודעה עבור חנות הדגמה"
"Header","כותרת עליונה"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","תמונת לוגו"
"Logo Attribute Width","רוחב תכונת לוגו"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","טקסט ברוכים הבאים"
"Logo Image Alt","Alt תמונת לוגו"
"Footer","כותרת תחתונה"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","שונות HTML"
"Copyright","זכויות יוצרים"
"Default Robots","רובוטים ברירת מחדל"
"Edit custom instruction of robots.txt File","ערוך הוראות מותאמות אישית עבור קובץ robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","פעולה זו תמחוק את הוראות המותאמות אישית שלך ואיפוס קובץ robots.txt להגדרות ברירת המחדל של המערכת."
"Reset To Defaults","Reset To Defaults"
"Website","אתר"
"Store","חנות"
"Store View","תצוגת חנות"
"Skip to Content","Skip to Content"
"Menu","תפריט"
"Account","חשבון"
"Settings","הגדרות"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 עמודות"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","הצגה"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","מזהה"
