"Back","Atrás"
"Theme isn't deletable.","El tema no es eliminable."
"Exception message","Mensaje de excepción"
"localized exception","excepción localizada"
"Message","Mensaje"
"Test Label","Etiqueta de prueba"
"Phrase","Frase"
"testMessage","testMessage"
"Edit","Editar"
"We found no files.","No se encontró ningún archivo."
"Browse Files","Examinar archivos"
"Scope:","Alcance:"
"Remove","Eliminar"
"Help Us Keep Magento Healthy","Ayúdanos a que Magento siga funcionando correctamente"
"Report All Bugs","Informar de todos los errores"
"Welcome, %1!","¡ Bienvenido %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está inhabilitado en tu navegador."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Para obtener la mejor experiencia en nuestro sitio, asegúrese de activar Javascript en su navegador."
"Local Storage seems to be disabled in your browser.","El almacenamiento local parece estar deshabilitado en tu navegador."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Para obtener la mejor experiencia en nuestro sitio, asegúrese de activar Almacenamiento local en su navegador."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Artículos %1 al %2 de %3 totales"
"%1 Item","%1 artículo"
"%1 Item(s)","%1 artículo(s)"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Actualmente estás leyendo página"
"Next","Siguiente"
"Show","Mostrar"
"per page","por página"
"About the calendar","Acerca del calendario"
"Close","Cerrar"
"Go Today","Hoy"
"WK","semana"
"Time","Hora"
"Hour","Hora"
"Minute","Minuto"
"%name,","%name,"
"Welcome to %store_name.","Bienvenido a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sesión, utiliza estas credenciales durante el proceso de compra o en la página <a href=""%customer_url"">Mi cuenta</a>:"
"Email:","Correo electrónico:"
"Password:","Contraseña:"
"Password you set when creating account","Contraseña que ingresaste al crear la cuenta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","¿Olvidaste la contraseña de tu cuenta? Haz clic <a href=""%reset_url"">aquí</a> para restablecerla."
"When you sign in to your account, you will be able to:","Cuando inicies sesión en tu cuenta, podrás:"
"Proceed through checkout faster","Proceder con el proceso de pago más rápido"
"Check the status of orders","Comprobar el estado de los pedidos"
"View past orders","Ver pedidos anteriores"
"Store alternative addresses (for shipping to multiple family members and friends)","Almacenar direcciones alternativas (para el envío a varios miembros de la familia y amigos)"
"We could not detect a size.","No hemos podido detectar un tamaño."
"We don't recognize this file extension.","No reconocemos esta extensión de archivo."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Vacío"
"1 column","1 columna"
"Configuration","Configuración"
"Default welcome msg!","¡Mensaje de bienvenida predeterminado!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013 Magento, Inc. Todos los derechos reservados."
"Design Config Grid","Config de cuadrícula de diseño"
"Rebuild design config grid index","Reconstruir índice de cuadrícula de configuración de diseño"
"Admin empty","Admin vacía"
"Admin 1column","Admin 1column"
"Theme Information","Información del tema"
"Other Settings","Otros ajustes"
"HTML Head","Encabezado HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Icono de favoritos"
"Default Page Title","Título predeterminado de la página"
"Page Title Prefix","Prefijo de título de página"
"Page Title Suffix","Sufijo del título de la página"
"Default Meta Description","Meta descripción predeterminada"
"Default Meta Keywords","Por defecto meta palabras clave"
"This will be included before head closing tag in page HTML.","Esto se incluirá antes de la etiqueta de cierre de cabecera en el HTML de la página."
"Scripts and Style Sheets","Scripts y hojas de estilo"
"Display Demo Store Notice","Mostrar noticia ""tienda de demonstración"""
"Header","Encabezado"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logo imagen"
"Logo Attribute Width","Ancho de atributo del logotipo"
"Logo Attribute Height","Altura del atributo del logotipo"
"Welcome Text","Texto de bienvenida"
"Logo Image Alt","Texto alternativo al logotipo"
"Footer","Pie de página"
"This will be displayed just before the body closing tag.","Esto se mostrará justo antes de la etiqueta de cierre del cuerpo."
"Miscellaneous HTML","Diverso HTML"
"Copyright","Derechos de autor"
"Default Robots","Robots (predeterminado)"
"Edit custom instruction of robots.txt File","Edite instrucciones personalizadas del archivo robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Esta acción eliminará sus instrucciones personalizadas y restablecerá el archivo robots.txt a la configuración predeterminada del sistema."
"Reset To Defaults","Restablecer los valores predeterminados"
"Website","Página web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Skip to Content","Ir al contenido"
"Menu","Menú"
"Account","Cuenta"
"Settings","Configuración"
"2 columns with left bar","2 columnas con barra a la izquierda"
"2 columns with right bar","2 columnas con barra a la derecha"
"3 columns","3 columnas"
"Exception does not contain field '%1'","La excepción no contiene el campo '%1'"
"exception","excepción"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Mostrar Informe de bugs"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Página no encontrada."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Ver"
"This is a demo store. No orders will be fulfilled.","Esta es una tienda de demostración. No se aceptaran pedidos."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Número de Identificación (ID)"
