"Back","Powrót"
"%1 does not contain field '%2'","%1 nie zawiera pola '%2'"
"Invalid regular expression: ""%1"".","Nieprawidłowe wyrażenie regularne: ""%1""."
"%1 does not contain field 'file'","%1 nie zawiera pola 'file'"
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"label","etykieta"
"-- Please Select --","-- Prosimy wybrać --"
"The start date can't follow the end date.","Data rozpoczęcia nie może być późniejsza niż data zakończenia."
"The date range for this design change overlaps another design change for the specified store.","Zakres dat dla tej zmiany wyglądu nakłada się na inny projekt zmian dla określonego sklepu."
"Copy","Kopia"
"Theme id should be set","Id motywu powinien być ustawiony"
"Circular-reference in theme inheritance detected for ""%1""","Odwołania cykliczne w temacie dziedziczenia wykryto dla ""%1"""
"The CSS file must be less than %1M.","Plik CSS, musi być mniejsza niż %1M."
"The JS file must be less than %1M.","Plik JS, musi być mniejsza niż %1M."
"We can't upload the file right now.","Nie możemy teraz wgrać pliku."
"Use only standard alphanumeric, dashes and underscores.","Użyj tylko standardowych znaków alfanumerycznych, myślników i podkreśleń."
"We found a directory with the same name.","Znaleźliśmy katalog o tej samej nazwie."
"We cannot find a directory with this name.","Nie możemy znaleźć katalogu o podanej nazwie."
"We can't delete root directory %1 right now.","Nie możemy teraz usunąć głównego katalogu %1."
"Theme isn't deletable.","Motywu nie można usunąć."
"Exception message","Komunikat wyjątku"
"localized exception","zlokalizowany wyjątek"
"Message","Wiadomość"
"Test Label","Etykieta testowa"
"Phrase","Wyrażenie"
"testMessage","testMessage"
"Edit","Edytuj"
"View","Zobacz"
"thumbnail","thumbnail"
"We found no files.","Nie znaleźliśmy żadnych plików."
"Browse Files","Przeglądanie plików"
"Scope:","Zakres:"
"Remove","Usuń"
"Help Us Keep Magento Healthy","Pomóż nam utrzymać Magento w dobrej kondycji"
"Report All Bugs","Zgłaszaj wszystkie błędy"
"Welcome, %1!","Witaj, %1!"
"Toggle Nav","Przełącznik Nav"
"Loading...","Loading..."
"JavaScript seems to be disabled in your browser.","Wygląda na to, że JavaScript jest wyłączony w twojej przeglądarce."
"For the best experience on our site, be sure to turn on Javascript in your browser.","By w pełni cieszyć się naszą stroną, upewnij się, że włączyłeś JavaScript w swojej przeglądarce."
"Local Storage seems to be disabled in your browser.","Wygląda na to, że pamięć podręczna jest wyłączona w twojej przeglądarce."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","By w pełni cieszyć się naszą stroną, upewnij się, że włączyłeś pamięć podręczną w swojej przeglądarce."
"This is a demo store. No orders will be fulfilled.","To jest demo sklepu. Zamówienia nie zostaną spełnione."
"Items %1 to %2 of %3 total","Elementy %1 do %2 %3 całkowita"
"%1 Item","%1 element"
"%1 Item(s)","%1 produkt(ów)"
"Page","Strona"
"Previous","Poprzednie"
"Skip to page %1","Skip to page %1"
"You're currently reading page","Aktualnie czytasz stronę"
"Next","Następne"
"Show","Pokaż"
"per page","na stronę"
"About the calendar","O kalendarzu"
"Close","Zamknij"
"Go Today","Idź do dzisiaj"
"WK","Tydz."
"Time","Czas"
"Hour","Godzina"
"Minute","Minuta"
"The store will not work correctly in the case when cookies are disabled.","The store will not work correctly in the case when cookies are disabled."
"%name,","%name,"
"Welcome to %store_name.","Witamy w %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Aby zalogować się na naszej stronie, Użyj tych poświadczeń podczas realizacji zamówienia lub na stronie <a href=""%customer_url"">Moje konto</a>:"
"Email:","E-mail:"
"Password:","Hasło:"
"Password you set when creating account","Hasło, które można ustawić podczas tworzenia konta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapomniałeś swoje hasło? Kliknij <a href=""%reset_url""> tutaj</a> aby je zresetować."
"When you sign in to your account, you will be able to:","Gdy zalogujesz się na swoje konto, będziesz mógł:"
"Proceed through checkout faster","Przejdź szybciej przez proces zakupowy"
"Check the status of orders","Sprawdź status zamówienia"
"View past orders","Przeglądania historii zamówień"
"Store alternative addresses (for shipping to multiple family members and friends)","Wielu adresów dostawy (np. jeśli często wysyłasz coś do rodziny i znajomych)"
"We could not detect a size.","Nie można wykryć rozmiaru."
"We don't recognize this file extension.","Nie rozpoznajemy tego rozszerzenia pliku."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Pusty"
"1 column","1 kolumna"
"Configuration","Konfiguracja"
"Move JS code to the bottom of the page","Move JS code to the bottom of the page"
"Use CSS critical path","Use CSS critical path"
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously."
"Default welcome msg!","Domyślna wiadomość powitalna!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-obecnie Magento. Wszelkie prawa zastrzeżone."
"Design Config Grid","Siatka konfiguracji wyglądu"
"Rebuild design config grid index","Odbuduj indeks siatki konfiguracji wyglądu"
"Admin empty","Admin pusty"
"Admin 1column","Admin 1 kolumna"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Theme Information","Informacje o motywie"
"Other Settings","Inne"
"HTML Head","Nagłówek HTML"
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"Favicon Icon","Ikonka witryny (favicon)"
"Default Page Title","Domyślnie tytuł strony"
"Page Title Prefix","Prefiks tytułu strony"
"Page Title Suffix","Sufiks tytułu strony"
"Default Meta Description","Domyślny Meta opis"
"Default Meta Keywords","Domyślne Meta słowa kluczowe"
"This will be included before head closing tag in page HTML.","To będzie załączone przed znacznikiem zamykającym sekcję HEAD w HTML."
"Scripts and Style Sheets","Skrypty i arkuszy stylów"
"Display Demo Store Notice","Wyświetlaj informację o wersji demonstracyjnej"
"Header","Nagłówek"
"Logo Image","Obrazek logo"
"Logo Attribute Width","Szerokość atrybut logo"
"Logo Attribute Height","Wysokość atrybut logo"
"Welcome Text","Tekst powitalny"
"Logo Image Alt","ALT dla obrazka logo"
"Translate Title","Translate Title"
"Footer","Stopka"
"This will be displayed just before the body closing tag.","To będzie wyświetlane tuż przed zamykającym znacznikiem body."
"Miscellaneous HTML","Różny HTML"
"Copyright","Prawa autorskie"
"Display Report Bugs Link","Display Report Bugs Link"
"Default Robots","Domyślne roboty"
"Edit custom instruction of robots.txt File","Edytuj niestandardową instrukcję obsługi pliku robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Ta akcja będzie usuwać twoje niestandardowe instrukcje i zresetuje plik robots.txt do domyślnych ustawień systemu."
"Reset To Defaults","Zresetuj do ustawień domyślnych"
"Website","Witryna"
"Store","Sklep"
"Store View","Widok sklepu"
"ID","Identyfikator"
"Skip to Content","Przejdź do treści"
"Menu","Menu"
"Account","Konto"
"Settings","Ustawienia"
"2 columns with left bar","2 kolumny z lewym paskiem"
"2 columns with right bar","2 kolumny z prawym paskiem"
"3 columns","3 kolumny"
