"Back","Назад"
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"label","метка"
"-- Please Select --","-- Выберите --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Copy"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Сообщение об исключении"
"localized exception","localized exception"
"Message","Сообщение"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","Редактировать"
"View","Просмотр"
"thumbnail","thumbnail"
"We found no files.","We found no files."
"Browse Files","Browse Files"
"Scope:","Scope:"
"Remove","Удалить"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Welcome, %1!","Добро пожаловать, %1!"
"Toggle Nav","Toggle Nav"
"Loading...","Loading..."
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","элемент %1"
"%1 Item(s)","%1 Item(s)"
"Page","Страница"
"Previous","Предыдущее"
"Skip to page %1","Skip to page %1"
"You're currently reading page","You're currently reading page"
"Next","Следующее"
"Show","Показать"
"per page","на странице"
"About the calendar","О календаре"
"Close","Закрыть"
"Go Today","Перейти сегодня"
"WK","WK"
"Time","Время"
"Hour","Час"
"Minute","Минута"
"The store will not work correctly in the case when cookies are disabled.","The store will not work correctly in the case when cookies are disabled."
"%name,","%name,"
"Welcome to %store_name.","Добро пожаловать на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для входа на наш сайт, используйте эти учетные данные во время проверки или на странице Мой аккаунт</a> <a href=""%customer_url"">:"
"Email:","Электронная почта:"
"Password:","Пароль:"
"Password you set when creating account","Пароль, заданный при создании учетной записи"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забыл пароль учетной записи? Нажмите <a href=""%reset_url""> здесь</a>, чтобы сбросить его."
"When you sign in to your account, you will be able to:","Когда вы войдёте в свой аккаунт, вы будет иметь возможность:"
"Proceed through checkout faster","Пройти через проверку быстрее"
"Check the status of orders","Проверить статус заказов"
"View past orders","Просмотр предыдущих заказов"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"We could not detect a size.","Мы не смогли определить размер."
"We don't recognize this file extension.","We don't recognize this file extension."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Пустой"
"1 column","1 колонка"
"Configuration","Настройки"
"Move JS code to the bottom of the page","Move JS code to the bottom of the page"
"Use CSS critical path","Use CSS critical path"
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously."
"Default welcome msg!","Приветствие по умолчанию!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Theme Information","Theme Information"
"Other Settings","Другие настройки"
"HTML Head","HTML Head"
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"Favicon Icon","Значок Favicon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","Отображать уведомление о том, что это демонстрационный сайт"
"Header","Заголовок (header)"
"Logo Image","Logo Image"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","Welcome Text"
"Logo Image Alt","Logo Image Alt"
"Translate Title","Translate Title"
"Footer","Подвал (footer)"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","Copyright"
"Display Report Bugs Link","Display Report Bugs Link"
"Default Robots","Default Robots"
"Edit custom instruction of robots.txt File","Edit custom instruction of robots.txt File"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Reset To Defaults"
"Website","Веб-сайт"
"Store","Магазин"
"Store View","Представление магазина"
"ID","Идентификатор"
"Skip to Content","Skip to Content"
"Menu","Меню"
"Account","Учётная запись"
"Settings","Настройки"
"2 columns with left bar","2 колонки с левой полосой"
"2 columns with right bar","2 колонки с правой полосой"
"3 columns","3 колонки"
