"Back","ආපසු"
"You're currently reading page","ඔබ දැනට පිටුව කියවමින් සිටී"
"Next","ඊළඟ"
"Show","පෙන්වන්න"
"per page","පිටුවකට"
"About the calendar","කැලැන්ඩරය ගැන"
"Close","වසන්න"
"Go Today","අදම යන්න"
"WK","ඩබ්ලිව්.කේ"
"Time","කාලය"
"Hour","පැය"
"Minute","මිනිත්තුව"
"%name,","%nam,"
"Welcome to %store_name.","%store_name වෙත සාදරයෙන් පිළිගනිමු."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","අපගේ වෙබ් අඩවියට පුරනය වීමට, පිටවීමේදී හෝ <a href=""%customer_url"">My Account</a> පිටුවේ මෙම අක්තපත්‍ර භාවිතා කරන්න:"
"Email:","විද්යුත් තැපෑල:"
"Password:","මුරපදය:"
"Password you set when creating account","ගිණුමක් සෑදීමේදී ඔබ සැකසූ මුරපදය"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ඔබගේ ගිණුමේ මුරපදය අමතකද? එය නැවත සැකසීමට මෙහි <a href=""%reset_url""></a> ක්ලික් කරන්න."
"When you sign in to your account, you will be able to:","ඔබ ඔබගේ ගිණුමට පුරන විට, ඔබට හැකි වනු ඇත:"
"Proceed through checkout faster","ඉක්මනින් පිටවීම හරහා ඉදිරියට යන්න"
"Check the status of orders","ඇණවුම්වල තත්ත්වය පරීක්ෂා කරන්න"
"View past orders","පසුගිය ඇණවුම් බලන්න"
"Store alternative addresses (for shipping to multiple family members and friends)","විකල්ප ලිපින ගබඩා කරන්න (පවුලේ සාමාජිකයන් සහ මිතුරන් කිහිප දෙනෙකුට නැව්ගත කිරීම සඳහා)"
"We could not detect a size.","අපට ප්‍රමාණය හඳුනාගත නොහැකි විය."
"We don't recognize this file extension.","අපි මෙම ගොනු දිගුව හඳුනා නොගනිමු."
"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"Empty","හිස්"
"1 column","1 තීරු"
"Configuration","මානකරනය"
"Default welcome msg!","පෙරනිමි පිළිගැනීමේ පණිවිඩය!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","ප්‍රකාශන හිමිකම © 2013-වර්තමානයේ Magento, Inc. සියලුම හිමිකම් ඇවිරිණි."
"Design Config Grid","සැලසුම් වින්‍යාස ජාලකය"
"Rebuild design config grid index","සැලසුම් වින්‍යාස ජාල දර්ශකය නැවත ගොඩනඟන්න"
"Admin empty","පරිපාලක හිස්"
"Admin 1column","පරිපාලක 1 තීරුව"
"Theme Information","තේමා තොරතුරු"
"Other Settings","වෙනත් සැකසුම්"
"HTML Head","HTML හිස"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon නිරූපකය"
"Default Page Title","පෙරනිමි පිටු මාතෘකාව"
"Page Title Prefix","පිටු මාතෘකා උපසර්ගය"
"Page Title Suffix","පිටු මාතෘකා උපසර්ගය"
"Default Meta Description","පෙරනිමි මෙටා විස්තරය"
"Default Meta Keywords","පෙරනිමි මෙටා මූල පද"
"This will be included before head closing tag in page HTML.","HTML පිටුවෙහි හිස වැසීමට පෙර මෙය ඇතුළත් වේ."
"Scripts and Style Sheets","ස්ක්‍රිප්ට් සහ ස්ටයිල් ෂීට්"
"Display Demo Store Notice","Demo Store Notice පෙන්වන්න"
"Header","ශීර්ෂකය"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","ලාංඡන රූපය"
"Logo Attribute Width","ලාංඡනය Attribute Width"
"Logo Attribute Height","ලාංඡනය Attribute Height"
"Welcome Text","පිළිගැනීමේ පෙළ"
"Logo Image Alt","ලාංඡන රූපය Alt"
"Footer","පාදකය"
"This will be displayed just before the body closing tag.","මෙය ශරීරය වසා දැමීමේ ටැගයට මදක් පෙර දර්ශනය වනු ඇත."
"Miscellaneous HTML","විවිධ HTML"
"Copyright","කතුහිමිකම"
"Default Robots","පෙරනිමි රොබෝවරු"
"Edit custom instruction of robots.txt File","robots.txt ගොනුවේ අභිරුචි උපදෙස් සංස්කරණය කරන්න"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","මෙම ක්‍රියාව ඔබගේ අභිරුචි උපදෙස් මකා robots.txt ගොනුව පද්ධතියේ පෙරනිමි සැකසුම් වෙත යළි සකසනු ඇත."
"Reset To Defaults","පෙරනිමියට යළි පිහිටුවන්න"
"Website","වෙබ් අඩවිය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Skip to Content","අන්තර්ගතය වෙත යන්න"
"Menu","මෙනු"
"Account","ගිණුම"
"Settings","සැකසුම්"
"2 columns with left bar","වම් තීරුව සහිත තීරු 2"
"2 columns with right bar","දකුණු තීරුව සහිත තීරු 2"
"3 columns","තීරු 3 ක්"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","වාර්තා දෝෂ සබැඳිය පෙන්වන්න"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","පිටුව හමු නොවීය."
"The scope or scope ID is invalid. Verify both and try again.","විෂය පථය හෝ විෂය පථය ID වලංගු නොවේ. දෙකම තහවුරු කර නැවත උත්සාහ කරන්න."
"The backend model isn't specified for ""%1"".","පසුපෙළ ආකෘතිය ""%1"" සඳහා නිශ්චිතව දක්වා නැත."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","""%templateName"" අච්චුවේ වැරදි වින්‍යාසයක් අඩංගු වේ, එයම සඳහනක් ඇත. යොමුව ඉවත් කරන්න හෝ වෙනස් කරන්න, ඉන්පසු නැවත උත්සාහ කරන්න."
"The config can't be saved because it's empty. Complete the config and try again.","එය හිස් නිසා වින්‍යාසය සුරැකිය නොහැක. වින්‍යාසය සම්පූර්ණ කර නැවත උත්සාහ කරන්න."
"View","දැක්ම"
"This is a demo store. No orders will be fulfilled.","මේක demo store එකක්. කිසිදු නියෝගයක් ඉටු නොකෙරේ."
"Not all browsers support all these formats!","සියලුම බ්‍රව්සර් මෙම සියලු ආකෘති සඳහා සහය නොදක්වයි!"
"ID","හැඳුනුම්පත"
