"Back","Trở lại"
"Use only standard alphanumeric, dashes and underscores.","Chỉ Sử dụng chữ số tiêu chuẩn, dấu gạch ngang và dấu gạch dưới."
"We found a directory with the same name.","Chúng tôi tìm thấy một thư mục có cùng tên."
"We cannot find a directory with this name.","Chúng tôi không thể tìm thấy một thư mục với tên này."
"We can't delete root directory %1 right now.","Hiện tại không thể xóa thư mục gốc %1."
"Theme isn't deletable.","Chủ đề không thể xóa."
"Exception message","Tin nhắn ngoại lệ"
"localized exception","bản địa hoá ngoại lệ"
"Message","Tin nhắn"
"Test Label","Nhãn Kiểm tra"
"Phrase","Cụm từ"
"testMessage","kiểm tra tin nhắn"
"Edit","Chỉnh sửa"
"We found no files.","Chúng tôi không tìm thấy tập tin."
"Browse Files","Trình duyệt tập tin"
"Scope:","Phạm vi:"
"Remove","Loại bỏ"
"Help Us Keep Magento Healthy","Giúp chúng tôi giữ cho Magento khỏe mạnh"
"Report All Bugs","Báo cáo tất cả các lỗi"
"Welcome, %1!","Chào mừng, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu trong trình duyệt của bạn."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Để có trải nghiệm tốt nhất trên trang web của chúng tôi, đảm bảo bật Javascript trong trình duyệt của bạn."
"Local Storage seems to be disabled in your browser.","Lưu trữ cục bộ dường như bị vô hiệu trong trình duyệt của bạn."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Để có trải nghiệm tốt nhất trên trang web của chúng tôi, hãy chắc chắn bật lưu trữ cục bộ trong trình duyệt của bạn."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Mục %1 để %2 %3 tất cả"
"%1 Item","%1 mục"
"%1 Item(s)","%1 sản phẩm"
"Page","Trang"
"Previous","Trước"
"You're currently reading page","Bạn đang đọc trang"
"Next","Tiếp theo"
"Show","Hiển thị"
"per page","mỗi trang"
"About the calendar","Về lịch"
"Close","Đóng lại"
"Go Today","Đến ngày hôm nay"
"WK","WK"
"Time","Thời gian"
"Hour","Giờ"
"Minute","Phút"
"%name,","%name,"
"Welcome to %store_name.","Chào mừng đến với %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Để đăng nhập vào trang web của chúng tôi, sử dụng các thông tin đăng nhập khi checkout hoặc trên trang<a href=""%customer_url""> Tài khoản của tôi</a>:"
"Email:","Email:"
"Password:","Mật khẩu:"
"Password you set when creating account","Mật khẩu bạn thiết lập khi tạo tài khoản"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Quên mật khẩu tài khoản? Bấm vào <a href=""%reset_url""> đây</a> để đặt lại nó."
"When you sign in to your account, you will be able to:","Khi bạn đăng nhập vào tài khoản, bạn có thể:"
"Proceed through checkout faster","Tiến hành checkout nhanh hơn"
"Check the status of orders","Kiểm tra tình trạng đơn hàng"
"View past orders","Xem các đơn hàng đã đặt"
"Store alternative addresses (for shipping to multiple family members and friends)","Lưu trữ các địa chỉ thay thế (để vận chuyển đến nhiều thành viên gia đình và bạn bè)"
"We could not detect a size.","Chúng tôi không xác định một kích thước."
"We don't recognize this file extension.","Chúng tôi không nhận ra phần mở rộng tập tin này."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Trống"
"1 column","1 cột"
"Configuration","Cấu hình"
"Default welcome msg!","Chào mừng bạn đến tin nhắn mặc định!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Thiết kế cấu hình mạng lưới"
"Rebuild design config grid index","Xây dựng lại thiết kế cấu hình mạng lưới chỉ số"
"Admin empty","Quản trị trống"
"Admin 1column","Admin cột 1"
"Theme Information","Thông tin Chủ đề"
"Other Settings","Các cài đặt khác"
"HTML Head","HTML đầu"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Biểu tượng yêu thích"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","Điều này sẽ được bao gồm trước khi đóng cửa từ khóa trong trang HTML."
"Scripts and Style Sheets","Kịch bản và phong cách trang tính"
"Display Demo Store Notice","Thông báo màn hình giới thiệu cửa hàng"
"Header","Tiêu đề"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Hình ảnh biểu tượng"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","Chào mừng bạn đến văn bản"
"Logo Image Alt","Hình ảnh Logo thay thế"
"Footer","Chân trang"
"This will be displayed just before the body closing tag.","Điều này sẽ được hiển thị ngay trước khi đóng thể nội dung."
"Miscellaneous HTML","Linh tinh HTML"
"Copyright","Bản quyền"
"Default Robots","Mặc định robot"
"Edit custom instruction of robots.txt File","Chỉnh sửa các hướng dẫn tùy chỉnh của robots.txt tập tin"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Hành động này sẽ xóa bỏ hướng dẫn tùy chỉnh của bạn và thiết lập lại các tập tin robots.txt thiết đặt mặc định của hệ thống."
"Reset To Defaults","Reset To Defaults"
"Website","Trang web"
"Store","Cửa hàng"
"Store View","Xem cửa hàng"
"Skip to Content","Chuyển đến nội dung"
"Menu","Menu"
"Account","Tài khoản"
"Settings","Cài đặt"
"2 columns with left bar","2 cột với thanh trái"
"2 columns with right bar","2 cột với thanh bên phải"
"3 columns","3 cột"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Hiển thị"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
