"Back","Indietro"
"Help Us Keep Magento Healthy","Aiutaci a mantenere Magento in salute"
"Report All Bugs","Segnala tutti i Bugs"
"Welcome, %1!","Benvenuto, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","I JavaScript sembrano essere disabilitati nel tuo browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Per una migliore esperienza sul nostro sito, assicurati di attivare i javascript nel tuo browser."
"Local Storage seems to be disabled in your browser.","La memorizzazione locale sembra essere disabilitato nel tuo browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Per la migliore esperienza sul nostro sito, assicurati di attivare la memorizzazione locale nel tuo browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","%1 elementi di %2 di %3 totali"
"%1 Item","%1 elemento"
"%1 Item(s)","%1 elementi"
"Page","Pagina"
"Previous","Precedente"
"You're currently reading page","Attualmente stai leggendo la pagina"
"Next","Successivo"
"Show","Mostra"
"per page","per pagina"
"About the calendar","Informazioni sul calendario"
"Close","Chiudi"
"Go Today","Vai ad oggi"
"WK","WK"
"Time","Orario"
"Hour","Ora"
"Minute","Minuto"
"%name,","%nome,"
"Welcome to %store_name.","Benvenuto su %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per accedere al nostro sito, è necessario utilizzare queste credenziali durante il checkout o sulla pagina <a href=""%customer_url""> Mio Account</a>:"
"Email:","Email:"
"Password:","Password:"
"Password you set when creating account","Password impostata durante la creazione account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hai dimenticato la password dell'account? Clicca <a href=""%reset_url"">qui</a> per reimpostarla."
"When you sign in to your account, you will be able to:","Accedendo al tuo account, sarai in grado di:"
"Proceed through checkout faster","Procedere velocemente attraverso il checkout"
"Check the status of orders","Controllare lo stato degli ordini"
"View past orders","Visualizzare gli ordini precedenti"
"Store alternative addresses (for shipping to multiple family members and friends)","Aggiungere indirizzi alternativi (per la spedizione a più membri della famiglia e agli amici)"
"We could not detect a size.","Non è possibile individuare una dimensione."
"We don't recognize this file extension.","Non riconosciamo questa estensione file."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Vuoto"
"1 column","1 colonna"
"Configuration","Configurazione"
"Default welcome msg!","Testo di benvenuto predefinito!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. Tutti i diritti riservati."
"Design Config Grid","Griglia di configurazione del Design"
"Rebuild design config grid index","Rigenera l'indice della griglia di configurazione design"
"Admin empty","Admin vuoto"
"Admin 1column","Admin 1colonna"
"Theme Information","Informazioni tema"
"Other Settings","Altre impostazioni"
"HTML Head","Head HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Icona Favicon"
"Default Page Title","Titolo pagina predefinito"
"Page Title Prefix","Prefisso del titolo di pagina"
"Page Title Suffix","Suffisso del titolo di pagina"
"Default Meta Description","Meta Descrizione predefinita"
"Default Meta Keywords","Meta Keywords predefinite"
"This will be included before head closing tag in page HTML.","Questo sarà incluso prima della chiusura dei tag head nell'HTML della pagina."
"Scripts and Style Sheets","Gli Script e i Fogli di Stile"
"Display Demo Store Notice","Mostra Avviso Negozio Demo"
"Header","Intestazione"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Immagine logo"
"Logo Attribute Width","Attributo Larghezza logo"
"Logo Attribute Height","Attributo Altezza logo"
"Welcome Text","Testo di benvenuto"
"Logo Image Alt","Alt Immagine Logo"
"Footer","Piè di pagina"
"This will be displayed just before the body closing tag.","Questo verrà visualizzato poco prima del tag di chiusura del body."
"Miscellaneous HTML","Vario HTML"
"Copyright","Copyright"
"Default Robots","Robots Predefiniti"
"Edit custom instruction of robots.txt File","Modifica l'istruzione personalizzata del file robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Questa azione eliminerà le istruzioni personalizzate e ripristinerà il file robots.txt alle impostazioni predefinite del sistema."
"Reset To Defaults","Ripristina le impostazioni iniziali"
"Website","Sito Web"
"Store","Negozio"
"Store View","Vista Negozio"
"Skip to Content","Salta al contenuto"
"Menu","Menu"
"Account","Account"
"Settings","Impostazioni"
"2 columns with left bar","2 colonne con barra a sinistra"
"2 columns with right bar","2 colonne con barra a destra"
"3 columns","3 colonne"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Mostra"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
