"Back","Terug"
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Voor de beste gebruikservaring, moet u lokale opslag inschakelen in uw browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Producten %1 tot %2 van %3 in totaal"
"%1 Item","%1 product"
"%1 Item(s)","%1 producten(en)"
"Page","Pagina"
"Previous","Vorige"
"You're currently reading page","U lees momenteel pagina"
"Next","Volgende"
"Show","Toon"
"per page","per pagina"
"About the calendar","Over de kalender"
"Close","Sluiten"
"Go Today","Naar vandaag"
"WK","WK"
"Time","Tijd"
"Hour","Uur"
"Minute","Minuut"
"%name,","%name,"
"Welcome to %store_name.","Welkom op %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Om in te loggen op onze website, gebruik deze gegevens tijdens het betalen of op de <a href=""%customer_url"">Uw Account</a> pagina:"
"Email:","E-mail:"
"Password:","Wachtwoord:"
"Password you set when creating account","Opgegeven wachtwoord tijdens aanmaken van account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord vergeten? Klik <a href=""%reset_url"">hier</a> om het opnieuw in te stellen."
"When you sign in to your account, you will be able to:","Wanneer u inlogt op uw account kunt u:"
"Proceed through checkout faster","Sneller betalen"
"Check the status of orders","Orderstatus controleren"
"View past orders","Orderhistorie bekijken"
"Store alternative addresses (for shipping to multiple family members and friends)","Meerdere adressen opslaan (om bijvoorbeeld bestellingen naar vrienden en familie te sturen)"
"We could not detect a size.","We kunnen geen grootte detecteren."
"We don't recognize this file extension.","We herkennen dit bestandsformaat niet."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Leeg"
"1 column","1 kolom"
"Configuration","Configuratie"
"Default welcome msg!","Standaard-welkomstbericht"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-heden Magento. Alle rechten voorbehouden."
"Design Config Grid","Ontwerpconfiguratietabel"
"Rebuild design config grid index","Ontwerpconfigiguratietabel index opnieuw maken"
"Admin empty","Admin leeg"
"Admin 1column","Admin 1column"
"Theme Information","Ontwerpinformatie"
"Other Settings","Andere instellingen"
"HTML Head","HTML head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon Icoon"
"Default Page Title","Standaard pagina titel"
"Page Title Prefix","Paginatitel voorvoegsel"
"Page Title Suffix","Paginatitel achtervoegsel"
"Default Meta Description","Standaard Meta Description"
"Default Meta Keywords","Standaard Meta Keywords"
"This will be included before head closing tag in page HTML.","Dit script wordt geplaatst aan het begin van de HTML pagina, voor het einde van HEAD."
"Scripts and Style Sheets","Scripts en stylesheets"
"Display Demo Store Notice","Toon melding demowinkel"
"Header","Header"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logo afbeelding"
"Logo Attribute Width","Logo afmeting breedte"
"Logo Attribute Height","Logo afmeting hoogte"
"Welcome Text","Welkomsttekst"
"Logo Image Alt","Alt-tekst logo"
"Footer","onderschrift"
"This will be displayed just before the body closing tag.","Dit script wordt geplaatst aan het einde van de HTML pagina, voor het einde van BODY."
"Miscellaneous HTML","Diverse HTML"
"Copyright","Auteursrecht"
"Default Robots","Standaard Robots"
"Edit custom instruction of robots.txt File","Aangepaste instructie van robots.txt bestand bewerken"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Deze actie zal uw aangepaste instructies verwijderen en het robots.txt-bestand resetten naar de standaardinstellingen van het systeem."
"Reset To Defaults","Terugzetten op standaardwaarden"
"Website","Website"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Skip to Content","Ga naar de inhoud"
"Menu","Menu"
"Account","Account"
"Settings","Instellingen"
"2 columns with left bar","2 kolommen met linker balk"
"2 columns with right bar","2 kolommen met rechter balk"
"3 columns","3 kolommen"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Toon meldingslink"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Bekijk"
"This is a demo store. No orders will be fulfilled.","Dit is een demo winkel. Bestellingen zullen niet verwerkt worden."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
