"Back","رجوع"
"Sorry, something went wrong. That's all we know.","آسف، حدث خطأ. وهذا كل ما نعرفه."
"Invalid type","نوع غير صحيح"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 لا يحتوي على الحقل '%2'"
"Invalid regular expression: ""%1"".","تعبير عادي غير صحيح: ""%1""."
"%1 does not contain field 'file'","%1 لا يحتوي على الحقل 'ملف'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","التسمية"
"-- Please Select --","--الرجاء الاختيار-"
"The start date can't follow the end date.","تاريخ البدء لا يمكنه تتبع تاريخ الانتهاء."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","انسخ"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","لا يمكننا رفع الملف الآن."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","لا يمكننا حذف جذر الدليل %1 الآن."
"Theme isn't deletable.","التصميم ليس قابل للحذف."
"Exception message","Exception message"
"localized exception","localized exception"
"Message","رسالة"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","تعديل"
"We found no files.","We found no files."
"Browse Files","Browse Files"
"Scope:","النطاق:"
"Remove","ازالة"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","أبلغ عن كل الثغرات"
"Welcome, %1!","مرحبا, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","عناصر %1 إلى %2 من مجموع %3"
"%1 Item","%1 عنصر"
"%1 Item(s)","%1 عنصر (عناصر)"
"Page","حقيبة"
"Previous","السابق"
"You're currently reading page","حاليا انت تقرأ الصفحة"
"Next","التالي"
"Show","أعرض"
"per page","لكل صفحة"
"About the calendar","حول التقويم"
"Close","إغلاق"
"Go Today","الذهاب اليوم"
"WK","أسبوع"
"Time","الزمن"
"Hour","ساعة"
"Minute","دقيقة"
"%name,","%name،"
"Welcome to %store_name.","مرحبا بك في %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","لتسجيل الدخول إلى موقعنا استخدم بيانات الدخول التالية للشراء أو لإدارة <a href=""%customer_url""> عضويتك</a>:"
"Email:","البريد الالكترونى:"
"Password:","الرقم السري:"
"Password you set when creating account","كلمة المرور التي قمت بتعيينها عند إنشاء الحساب"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","نسيت كلمة مرور حسابك؟ <a href=""%reset_url"">اضغط هنا</a> لإعادة تعيينها."
"When you sign in to your account, you will be able to:","عند تسجيل الدخول إلى حسابك، سوف تكون قادراً على:"
"Proceed through checkout faster","أكمل في الشراء الفوري"
"Check the status of orders","التحقق من حالة الطلب"
"View past orders","عرض الطلبات السابقة"
"Store alternative addresses (for shipping to multiple family members and friends)","حفظ عناوين بديلة (للشحن إلى العديد من أفراد العائلة والأصدقاء)"
"We could not detect a size.","تعذر الكشف عن الحجم."
"We don't recognize this file extension.","We don't recognize this file extension."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","فارغ"
"1 column","1 column"
"Configuration","الضبط"
"Default welcome msg!","رسالة الترحيب الافتراضية!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Theme Information","Theme Information"
"Other Settings","إعدادات أخرى"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","رمز الأيقونة"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","إشعار عرض المتجر التجريبي"
"Header","الترويسة"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","صورة الشعار"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","نص الترحيب"
"Logo Image Alt","Alt صورة الشعار"
"Footer","ذيل الصفحة"
"This will be displayed just before the body closing tag.","هذا سيتم عرضه فقط قبل علامة إغلاق الجسم."
"Miscellaneous HTML","HTML المتنوعة"
"Copyright","حقوق الطبع والنشر"
"Default Robots","Default Robots"
"Edit custom instruction of robots.txt File","Edit custom instruction of robots.txt File"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Reset To Defaults"
"Website","الموقع"
"Store","متجر"
"Store View","عرض المتجر"
"Skip to Content","تخطي إلى المحتوى"
"Menu","القائمة"
"Account","الحساب"
"Settings","الإعدادات"
"2 columns with left bar","2 عمود مع الشريط الأيسر"
"2 columns with right bar","2 عمود مع الشريط الأيمن"
"3 columns","3 أعمدة"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","عرض"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","التعريف"
