"Back","Retour"
"This theme is not editable.","Ce thème n'est pas modifiable."
"You saved the theme.","Vous avez enregistré le thème."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","Nous ne pouvons pas trouver de thème avec l'id «%1 »."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Type non valide"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 ne contient pas le champ '%2'"
"Invalid regular expression: ""%1"".","Expression régulière non valide : ""%1""."
"%1 does not contain field 'file'","%1 ne contient pas le champ 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","Libellé"
"-- Please Select --","-- Faites un choix --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","La période de dates pour ce changement de design chevauche un autre changement de design pour le magasin spécifié."
"Copy","Copie"
"Theme id should be set","L'ID du thème doit être paramétré"
"Circular-reference in theme inheritance detected for ""%1""","Détection d'un référence circulaire (boucle) dans l'héritage du thème ""%1"""
"The CSS file must be less than %1M.","Le fichier CSS doit faire moins de %1M."
"The JS file must be less than %1M.","Le fichier JS doit faire moins de %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Utilisez uniquement les standards alphanumériques, tirets et underscores."
"We found a directory with the same name.","Un répertoire avec le même nom a été trouvé."
"We cannot find a directory with this name.","Impossible de trouver un répertoire avec le même nom."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Message d’exception"
"localized exception","exception localisée"
"Message","Message"
"Test Label","Etiquette de test"
"Phrase","Expression"
"testMessage","testMessage"
"Edit","Éditer"
"We found no files.","Aucun fichier trouvé."
"Browse Files","Parcourir les fichiers"
"Scope:","Portée :"
"Remove","Supprimer"
"Help Us Keep Magento Healthy","Aidez-nous à améliorer Magento"
"Report All Bugs","Signaler un dysfonctionnement"
"Welcome, %1!","Bienvenue, %1 !"
"Toggle Nav","Affichage navigation"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Pour une expérience optimale sur notre site, veuillez autoriser Javascript sur votre navigateur."
"Local Storage seems to be disabled in your browser.","Le stockage local semble ne pas être autorisé dans votre navigateur."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Pour une expérience optimale sur notre site, veuillez autoriser le stockage local dans votre navigateur."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Articles %1 à %2 sur %3 au total"
"%1 Item","%1 article"
"%1 Item(s)","%1 article(s)"
"Page","Page"
"Previous","Précédent"
"You're currently reading page","You're currently reading page"
"Next","Suivant"
"Show","Afficher"
"per page","par page"
"About the calendar","À propos du calendrier"
"Close","Fermer"
"Go Today","Aller à aujourd'hui"
"WK","Semaine"
"Time","Heure"
"Hour","Heure"
"Minute","Minute"
"%name,","%name,"
"Welcome to %store_name.","Bienvenue sur %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter à notre site, utiliser ces informations d'identification lors de votre commande ou sur la page <a href=""%customer_url""> Mon compte</a> :"
"Email:","Email :"
"Password:","Mot de passe :"
"Password you set when creating account","Mot de passe défini lors de la création de compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url""> ici</a> pour le réinitialiser."
"When you sign in to your account, you will be able to:","Lorsque vous vous connecterez à votre compte, vous serez en mesure de :"
"Proceed through checkout faster","Effectuer votre commande plus rapidement"
"Check the status of orders","Suivre le statut de vos commandes"
"View past orders","Voir votre historique de commandes"
"Store alternative addresses (for shipping to multiple family members and friends)","Enregistrer d'autres adresses (pour expédier à la famille ou des amis)"
"We could not detect a size.","Impossible de détecter le poids du fichier."
"We don't recognize this file extension.","Nous ne reconnaissons pas cette extension de fichier."
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"Empty","Vide"
"1 column","1 colonne"
"Configuration","Configuration"
"Default welcome msg!","Message d'accueil par défaut"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-aujourd'hui Magento, Inc. Tous droits réservés."
"Design Config Grid","Grille de configuration de design"
"Rebuild design config grid index","Reconstruire l'index de grille de configuration de design"
"Admin empty","Admin vide"
"Admin 1column","Admin 1 colonne"
"Theme Information","Informations du thème"
"Other Settings","Autres paramètres"
"HTML Head","En-tête HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Icône favicon"
"Default Page Title","Titre de la Page par défaut"
"Page Title Prefix","Préfixe de titre de la page"
"Page Title Suffix","Suffixe de titre de la page"
"Default Meta Description","Méta description par défaut"
"Default Meta Keywords","Meta mots clés par défaut"
"This will be included before head closing tag in page HTML.","Ceci sera inclus juste avant la balise de fermeture de body"
"Scripts and Style Sheets","Scripts et feuilles de Style"
"Display Demo Store Notice","Afficher le message d'avertissement de boutique de démo"
"Header","Haut de page"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Image du logo"
"Logo Attribute Width","Largeur Logo"
"Logo Attribute Height","Hauteur Logo"
"Welcome Text","Texte de bienvenue"
"Logo Image Alt","Texte alternatif du logo"
"Footer","Bas de page"
"This will be displayed just before the body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body."
"Miscellaneous HTML","Code HTML divers"
"Copyright","Copyright"
"Default Robots","Robots par défaut"
"Edit custom instruction of robots.txt File","Editer les instructions du fichier robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Cette action va supprimer les instructions sur mesure et remettre le fichier robots.txt par défaut."
"Reset To Defaults","Réinitialiser avec les valeurs par défaut"
"Website","Site web"
"Store","Magasin"
"Store View","Vue magasin"
"Skip to Content","Aller au contenu"
"Menu","Menu"
"Account","Compte"
"Settings","Paramètres"
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","XML d'Excel"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPEG, APNG, SVG. Attention, certains formats ne sont pas supportés par certains navigateurs."
"Default Title","Titre par défaut"
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Miscellaneous Scripts","Scripts divers"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body"
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Requête erronée."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page introuvable."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Voir"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Identifiant"
