"Back","Voltar"
"We found a directory with the same name.","Encontrámos uma diretoria com o mesmo nome."
"We cannot find a directory with this name.","Não conseguimos encontrar uma diretoria com este nome."
"We can't delete root directory %1 right now.","De momento não é possível apagar a pasta de raiz %1."
"Theme isn't deletable.","O tema não é removível."
"Exception message","Mensagem da exceção"
"localized exception","exceção localizada"
"Message","Mensagem"
"Test Label","Etiqueta de Teste"
"Phrase","Frase"
"testMessage","testMessage"
"Edit","Editar"
"We found no files.","Não encontrámos nenhum ficheiro."
"Browse Files","Procurar Ficheiros"
"Scope:","Âmbito:"
"Remove","Eliminar"
"Help Us Keep Magento Healthy","Ajude-nos A Manter O Magento Saudável"
"Report All Bugs","Reportar Todos Os Bugs"
"Welcome, %1!","Bem-vindo(a), %1!"
"Toggle Nav","Alternar Nav"
"JavaScript seems to be disabled in your browser.","O JavaScript parece estar desativado no seu browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Para usufruir da melhor experiência no nosso site, certifique-se que ativa o JavaScript no seu browser."
"Local Storage seems to be disabled in your browser.","O Armazenamento Local parece estar desativado no seu browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Para usufruir da melhor experiência no nosso site, certifique-se que ativa o Armazenamento Local no seu browser."
"This is demo store. No orders will be fulfilled.","Esta é uma loja de demonstração. Nenhuma encomenda será concretizada."
"Items %1 to %2 of %3 total","Itens %1 a %2 do total de %3"
"%1 Item","%1 artigo"
"%1 Item(s)","%1 Item(s)"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","Está de momento a ler a página"
"Next","Seguinte"
"Show","Mostrar"
"per page","por página"
"About the calendar","Sobre o calendário"
"Close","Fechar"
"Go Today","Hoje"
"WK","WK"
"Time","Hora"
"Hour","Hora"
"Minute","Minuto"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo à %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para iniciar sessão no nosso site, use estas credenciais durante a compra ou na página <a href=""%customer_url"">A Minha Conta</a>:"
"Email:","E-mail:"
"Password:","Palavra-passe:"
"Password you set when creating account","Palavra-passe que definiu ao criar a sua conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu-se da palavra-passe? Clique <a href=""%reset_url"">aqui</a> para a redefinir."
"When you sign in to your account, you will be able to:","Quando iniciar sessão, vai poder:"
"Proceed through checkout faster","Finalizar a compra de forma mais rápida"
"Check the status of orders","Verificar o estado das encomendas"
"View past orders","Ver encomendas antigas"
"Store alternative addresses (for shipping to multiple family members and friends)","Guardar moradas alternativas (para enviar para familiares e amigos)"
"We could not detect a size.","Não foi possível detetar um tamanho."
"We don't recognize this file extension.","Não reconhecemos esta extensão de ficheiro."
"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"Empty","Vazio"
"1 column","1 coluna"
"Configuration","Configuração"
"Default welcome msg!","Mensagem de boas-vindas pré-definida!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-presente Magento, Inc. Todos os direitos reservados."
"Design Config Grid","Configuração da grelha de design"
"Rebuild design config grid index","Reconstruir índice da grelha de configuração do design"
"Admin empty","Admin vazio"
"Admin 1column","Admin 1coluna"
"Theme Information","Informações do Tema"
"Other Settings","Outras Definições"
"HTML Head","Head HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Tipos de ficheiro permitidos: ico, png, Gifgif jpg, jpeg, apng. Nem todos os navegadores suportam todos estes formatos!"
"Favicon Icon","Ícone Favicon"
"Default Page Title","Título Padrão da Página"
"Page Title Prefix","Prefixo do Título da Página"
"Page Title Suffix","Sufixo do Título da Página"
"Default Meta Description","Descrição meta padrão"
"Default Meta Keywords","Palavras-chave meta padrão"
"This will be included before head closing tag in page HTML.","Isto será incluído antes do fecho da tag head na página HTML."
"Scripts and Style Sheets","Scripts e Folhas de Estilo"
"Display Demo Store Notice","Mostrar Aviso de Loja de Demonstração"
"Header","Cabeçalho"
"Allowed file types: png, gif, jpg, jpeg.","Tipos de ficheiros permitidos: png, gif, jpg, jpeg."
"Logo Image","Imagem do Logótipo"
"Logo Attribute Width","Atributo Largura do Logotipo"
"Logo Attribute Height","Atributo Altura do Logotipo"
"Welcome Text","Texto de Boas-vindas"
"Logo Image Alt","Texto Alternativo à Imagem do Logótipo"
"Footer","Rodapé"
"This will be displayed just before the body closing tag.","Isto será mostrado antes do fecho da tag body."
"Miscellaneous HTML","HTML Miscelâneo"
"Copyright","Direitos de Autor"
"Default Robots","Robôs Pré-definidos"
"Edit custom instruction of robots.txt File","Editar instrução personalizada do ficheiro robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Esta ação irá apagar as suas instruções personalizadas e irá redefinir o ficheiro robots.txt para as configurações do sistema pré-definidas."
"Reset To Defaults","Repor pré-definições"
"Website","Site"
"Store","Loja"
"Store View","Vista da Loja"
"Skip to Content","Ir para o Conteúdo"
"Menu","Menu"
"Account","Conta"
"Settings","Definições"
"2 columns with left bar","2 colunas com a barra à esquerda"
"2 columns with right bar","2 colunas com a barra à direita"
"3 columns","3 colunas"
"Exception does not contain field '%1'","A exceção não contém o campo '%1'"
"exception","exceção"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de ficheiro permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nem todos os navegadores suportam todos estes formatos!"
"Default Title","Título por Omissão"
"Title Prefix","Prefixo do Título"
"Title Suffix","Sufixo do Título"
"Default Description","Descrição Pré-definida"
"Default Keywords","Palavras-chave Pré-definidas"
"Miscellaneous Scripts","Scripts Miscelâneos"
"Search Engine Robots","Robôs de Motores de Pesquisa"
"Reset to Defaults","Repor Pré-definições"
"Logo Image Width","Largura da Imagem do Logotipo"
"Logo Image Height","Altura da Imagem do Logotipo"
"This will be displayed just before body closing tag.","Isto será mostrado antes do fecho da tag body."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2016 Magento. Todos os direitos reservados."
"Wrong request.","Pedido Errado."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Todos os direitos reservados."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017- Magento, Inc. Todos os direitos reservados."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Tipos de ficheiro permitidos: ico, png, Gifgif jpg, jpeg, apng, svg. Nem todos os navegadores suportam todos estes formatos!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Tipos de ficheiros permitidos: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. Todos os direitos reservados."
"Display Report Bugs Link","Mostrar a ligação Reportar Erros"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Tipos de ficheiro permitidos: ICO, PNG, GIF, JPG, JPEG, APNG. Nem todos os navegadores suportam todos estes formatos!"
"Page not found.","Página não encontrada."
"The scope or scope ID is invalid. Verify both and try again.","O âmbito ou o ID de âmbito é inválido. Verifique ambos e tente novamente."
"The backend model isn't specified for ""%1"".","O modelo de backend não foi especificado para ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","O template ""%templateName"" contém uma configuração incorreta, com uma referência a si mesmo. Remova ou altere a referência e tente novamente."
"The config can't be saved because it's empty. Complete the config and try again.","A configuração não pode ser guardada porque está vazia. Complete a configuração e tente novamente."
"View","Visualizar"
"This is a demo store. No orders will be fulfilled.","Esta é uma loja de demonstração. Nenhuma encomenda será concretizada."
"Not all browsers support all these formats!","Nem todos os navegadores suportam esses formatos!"
"ID","Id."
