"Back","Tillbaka"
"Page","Sida"
"Previous","Föregående"
"You're currently reading page","You're currently reading page"
"Next","Nästa"
"Show","Visa"
"per page","per sida"
"About the calendar","Om kalendern"
"Close","Stäng"
"Go Today","Gå till Idag"
"WK","WK"
"Time","Tid"
"Hour","Timme"
"Minute","Minut"
"%name,","%name"
"Welcome to %store_name.","Välkommen till %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","För att logga in på vår webbsida, använd dessa uppgifter under utcheckningen på sidan <a href=""%customer_url"">Mitt konto </a>:"
"Email:","Epost:"
"Password:","Lösenord:"
"Password you set when creating account","Lösenord du valde när kontot skapades"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glömt ditt lösenord? Klicka <a href=""%reset_url"">här</a> för att återställa det."
"When you sign in to your account, you will be able to:","När du loggar in på ditt konto kommer du att kunna:"
"Proceed through checkout faster","Gå genom kassan snabbare"
"Check the status of orders","Se status på ordrar"
"View past orders","Visa tidigare beställningar"
"Store alternative addresses (for shipping to multiple family members and friends)","Lagra alternativa adresser (för frakt till flera familjemedlemmar och vänner)"
"We could not detect a size.","Vi kunde inte hitta en storlek."
"We don't recognize this file extension.","Vi känner inte igen denna filtyp."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Tom"
"1 column","1 kolumn"
"Configuration","Konfiguration"
"Default welcome msg!","Standard välkomstmeddelande!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Alla rättigheter reserverade."
"Design Config Grid","Design Konfiguration Rutnät"
"Rebuild design config grid index","Bygg om design konfiguration rutnät index"
"Admin empty","Admin tom"
"Admin 1column","Admin 1column"
"Theme Information","Temainformation"
"Other Settings","Andra inställningar"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon-ikonen"
"Default Page Title","Standard sidtitel"
"Page Title Prefix","Sidtitel prefix"
"Page Title Suffix","Sidtitel suffix"
"Default Meta Description","Standard meta-beskrivning"
"Default Meta Keywords","Standard meta-nyckelord"
"This will be included before head closing tag in page HTML.","Detta kommer att finnas före huvudets avslutande tagg i sidans HTML."
"Scripts and Style Sheets","Skript och stilmallar"
"Display Demo Store Notice","Visa Demo Affär meddelande"
"Header","Sidhuvud"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logotypbild"
"Logo Attribute Width","Logotyp attributet bredd"
"Logo Attribute Height","Logotyp attributet höjd"
"Welcome Text","Välkommen Text"
"Logo Image Alt","Logo bild Alt"
"Footer","Sidfot"
"This will be displayed just before the body closing tag.","Detta kommer att visas strax innan HTML kroppens avslutande tagg."
"Miscellaneous HTML","Diverse HTML"
"Copyright","Copyright"
"Default Robots","Standard robotar"
"Edit custom instruction of robots.txt File","Redigera anpassade anvisning av robots.txt fil"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Denna åtgärd kommer att ta bort dina anpassade instruktioner och återställa filen robots.txt till systemets standardinställningar."
"Reset To Defaults","Återställ till standard"
"Website","Webbplats"
"Store","Butik"
"Store View","Butiksvy"
"Skip to Content","Hoppa till innehållet"
"Menu","Meny"
"Account","Konto"
"Settings","Inställningar"
"2 columns with left bar","2 kolumner med vänster bar"
"2 columns with right bar","2 kolumner med höger sektion"
"3 columns","3 kolumner"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Visa"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
