"Back","Zpět"
"We found a directory with the same name.","Byl nalezen adresář se stejným názvem."
"We cannot find a directory with this name.","Adresář s tímto názvem nelze najít."
"We can't delete root directory %1 right now.","Kořenový adresář %1 momentálně nelze odstranit."
"Theme isn't deletable.","Téma nelze odstranit."
"Exception message","Zpráva výjimky"
"localized exception","lokalizovaná výjimka"
"Message","Zpráva"
"Test Label","Testovací označení"
"Phrase","Fráze"
"testMessage","testMessage"
"Edit","Upravit"
"View","Zobrazit"
"thumbnail","thumbnail"
"We found no files.","Nebyly nalezeny žádné soubory."
"Browse Files","Procházet soubory"
"Scope:","Rozsah:"
"Remove","Odstranit"
"Help Us Keep Magento Healthy","Pomozte udržovat Magento v pořádku"
"Report All Bugs","Hlašte všechny chyby"
"Welcome, %1!","Přihlášen jako %1"
"Toggle Nav","Přepnout menu"
"Loading...","Loading..."
"JavaScript seems to be disabled in your browser.","Javascript ve vašem prohlížeči se zdá být vypnutý."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Pro optimální funkčnost webu je nutné ve vašem prohlížeči zapnout Javascript."
"Local Storage seems to be disabled in your browser.","Místní úložiště ve vašem prohlížeči se zdá být vypnuté."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Pro optimální funkčnost webu je třeba zapnout místní úložiště ve vašem prohlížeči."
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Položky %1 až %2 z celkem %3"
"%1 Item","%1 položka"
"%1 Item(s)","položek %1"
"Page","Stránka"
"Previous","Předchozí"
"Skip to page %1","Skip to page %1"
"You're currently reading page","Právě si prohlížíte stránku"
"Next","Následující"
"Show","Zobrazit"
"per page","na stránce"
"About the calendar","O kalendáři"
"Close","Zavřít‏"
"Go Today","Dnes"
"WK","T"
"Time","Čas"
"Hour","Hodina"
"Minute","Minuta"
"The store will not work correctly in the case when cookies are disabled.","The store will not work correctly in the case when cookies are disabled."
"%name,","%name,"
"Welcome to %store_name.","Vítejte v %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Tyto přihlašovací údaje použijte k přihlášení na naše stránky v průběhu dokončení objednávky nebo na <a href=""%customer_url"">Můj účet</a> stránce:"
"Email:","E-mail:"
"Password:","Heslo:"
"Password you set when creating account","Heslo, které jste zadali při registraci"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Zapoměli jste své heslo? Kliknutím <a href=""%reset_url"">zde</a> jej obnovíte."
"When you sign in to your account, you will be able to:","Po přihlášení k vašemu účtu můžete provádět následující:"
"Proceed through checkout faster","Rychlejší proces dokončení objednávky"
"Check the status of orders","Zkontrolovat stav objednávek"
"View past orders","Zobrazit předchozí objednávky"
"Store alternative addresses (for shipping to multiple family members and friends)","Používání alternativních adres (pro doručování dalším členům rodiny či přátelům)"
"We could not detect a size.","Velikost nelze zjistit."
"We don't recognize this file extension.","Typ souboru nelze rozpoznat."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Prázdné"
"1 column","1 sloupec"
"Configuration","Nastavení"
"Move JS code to the bottom of the page","Move JS code to the bottom of the page"
"Use CSS critical path","Use CSS critical path"
"<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously.","<strong class=""colorRed"">Warning!</strong> Be sure that you have critical.css file for your theme. Other CSS files will be loaded asynchronously."
"Default welcome msg!","Výchozí uvítací zpráva!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Nastavení mřížky vzhledu"
"Rebuild design config grid index","Znovu sestavit index nastavení mřížky vzhledu"
"Admin empty","Správa prázdný"
"Admin 1column","Správa 1sloupec"
"Admin 2 columns with left bar","Admin 2 columns with left bar"
"Theme Information","Nastavení tématu"
"Other Settings","Další nastavení"
"HTML Head","HTML hlavička"
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"Favicon Icon","Ikona favicon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","Obsah bude vložen před uzavírací tag HEAD."
"Scripts and Style Sheets","Skripty a styly"
"Display Demo Store Notice","Zobrazit DEMO upozornění"
"Header","Záhlaví"
"Logo Image","Obrázek loga"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","Uvítací zpráva"
"Logo Image Alt","Alternativní text loga"
"Translate Title","Translate Title"
"Footer","Zápatí"
"This will be displayed just before the body closing tag.","Bude zobrazeno těsně před uzavíracím tagem body."
"Miscellaneous HTML","Další HTML"
"Copyright","Autorská práva"
"Display Report Bugs Link","Display Report Bugs Link"
"Default Robots","Výchozí nastavení robotů"
"Edit custom instruction of robots.txt File","Upravit vlastní instrukce souboru robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Tato činnost odstraní vlastní instrukce a obnoví soubor robots.txt do výchozího nastavení systému."
"Reset To Defaults","Reset To Defaults"
"Website","Webová stránka"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"ID","ID"
"Skip to Content","Přejít na obsah"
"Menu","Menu"
"Account","Účet"
"Settings","Nastavení"
"2 columns with left bar","2 sloupce, postranní vlevo"
"2 columns with right bar","2 sloupce, postranní vpravo"
"3 columns","3 sloupce"
