"Back","返回"
"Use only standard alphanumeric, dashes and underscores.","只使用标准的字母数字、破折号和下划线。"
"We found a directory with the same name.","我们发现一个具有相同名称的目录。"
"We cannot find a directory with this name.","我们找不到具有此名称的目录。"
"We can't delete root directory %1 right now.","我们现在不能删除根目录 %1。"
"Theme isn't deletable.","主题不能删除。"
"Exception message","异常消息"
"localized exception","本地化的异常"
"Message","信息"
"Test Label","测试标签"
"Phrase","短语"
"testMessage","testMessage"
"Edit","编辑"
"We found no files.","我们没有发现任何文件。"
"Browse Files","浏览文件"
"Scope:","范围:"
"Remove","删除"
"Help Us Keep Magento Healthy","帮助我们保持 Magento 健康"
"Report All Bugs","报告所有 Bug"
"Welcome, %1!","欢迎您，%1!"
"Toggle Nav","切换导航"
"JavaScript seems to be disabled in your browser.","JavaScript 似乎在您的浏览器中被禁用。"
"For the best experience on our site, be sure to turn on Javascript in your browser.","为了您在我们网站能获得最好的体验，建议在浏览器中打开Javascript。"
"Local Storage seems to be disabled in your browser.","本地存储似乎在您的浏览器中被禁用。"
"For the best experience on our site, be sure to turn on Local Storage in your browser.","为了您在我们网站能获得最好的体验，建议在您的浏览器中打开本地储存。"
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","项目% 1到% 2 % 3总数"
"%1 Item","%1 项目"
"%1 Item(s)","%1 项目 (s)"
"Page","页面"
"Previous","前一页"
"You're currently reading page","您当前正在阅读页"
"Next","下一页"
"Show","显示"
"per page","每页"
"About the calendar","关于日历"
"Close","关闭"
"Go Today","今天去"
"WK","周"
"Time","时间"
"Hour","小时"
"Minute","分钟"
"%name,","%名称，"
"Welcome to %store_name.","欢迎来到 %store_name。"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","如果要登录到我们的网站，请使用这些凭据，在签出期间或在 <a href=""%customer_url""> 我的帐户</a> 页面:"
"Email:","邮箱："
"Password:","密码:"
"Password you set when creating account","在创建帐户时设置的密码"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","忘记了您的帐户密码?点击 <a href=""%reset_url""> 这里</a> 重置它。"
"When you sign in to your account, you will be able to:","当您登录到您的帐户时，您将能够:"
"Proceed through checkout faster","更快地进行结帐"
"Check the status of orders","检查订单的状态"
"View past orders","查看过去的订单"
"Store alternative addresses (for shipping to multiple family members and friends)","存储备用地址 (用于运送到多个家庭成员和朋友)"
"We could not detect a size.","我们未能检测到的大小。"
"We don't recognize this file extension.","我们没有认识到这种文件扩展名。"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","产品 %1"
"1 column","1 列"
"Configuration","设置"
"Default welcome msg!","默认欢迎msg!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","设计配置网格"
"Rebuild design config grid index","重新生成设计配置网格索引"
"Admin empty","管理员为空"
"Admin 1column","管理员 1column"
"Theme Information","主题信息"
"Other Settings","其他设置"
"HTML Head","HTML 标头"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","图标图标"
"Default Page Title","默认页面标题"
"Page Title Prefix","页面标题前缀"
"Page Title Suffix","页面标题后缀"
"Default Meta Description","默认 Meta 描述"
"Default Meta Keywords","默认 Meta 关键字"
"This will be included before head closing tag in page HTML.","这将包括在页面HTML的头部关闭标签之前。"
"Scripts and Style Sheets","脚本和样式表"
"Display Demo Store Notice","显示演示店铺通知"
"Header","页眉"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logo 替代文字"
"Logo Attribute Width","标识属性宽度"
"Logo Attribute Height","标识属性高度"
"Welcome Text","欢迎文本"
"Logo Image Alt","Logo 图像 Alt"
"Footer","页脚"
"This will be displayed just before the body closing tag.","这将在正文结束标签之前显示。"
"Miscellaneous HTML","杂项的 HTML"
"Copyright","版权："
"Default Robots","默认机器人"
"Edit custom instruction of robots.txt File","编辑自定义指令的 robots.txt 文件"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","此操作将删除您的自定义说明并置 robots.txt 文件为系统的默认设置。"
"Reset To Defaults","重置为默认值"
"Website","网站"
"Store","商店"
"Store View","商店界面"
"Skip to Content","跳到内容"
"Menu","菜单"
"Account","账户"
"Settings","设置"
"2 columns with left bar","2 列左侧的栏"
"2 columns with right bar","与右 2 列栏"
"3 columns","3 列"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","查看"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","编号ID"
