"Back","Geri"
"We cannot delete the theme.","Tema silinemiyor."
"File not found: ""%1"".","Dosya bulunamadı: ""%1""."
"We can't find file.","Dosyayı bulamıyoruz."
"We cannot find theme ""%1"".","Tema ""%1"" bulunamadı."
"We cannot find the theme.","Tema bulunamadı."
"This theme is not editable.","Bu tema düzenlenebilir değildir."
"You saved the theme.","Tema kaydedildi."
"We can't upload the CSS file right now.","Şu anda CSS dosyasını yükleyemiyoruz."
"We cannot find a theme with id ""%1"".","""%1"" kimlikli bir tema bulunamıyor."
"We can't upload the JS file right now.","Şu anda JS dosyasını yükleyemiyoruz."
"Sorry, something went wrong. That's all we know.","Üzgünüz, bir şeyler ters gitti. Tüm bildiğimiz bu."
"Invalid type","Geçersiz tür"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1, '%2' alanını içermiyor"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etiket"
"-- Please Select --","-- Lütfen Seçiniz --"
"The start date can't follow the end date.","Başlangıç tarihi bitiş tarihinden sonra gelemez."
"The date range for this design change overlaps another design change for the specified store.","Bu tasarım değişikliği tarih aralığı, belirtilen mağaza için başka bir tasarım değişikliği ile çakışıyor."
"Copy","Kopyala"
"Theme id should be set","Tema kimliği ayarlamanız gerekir"
"Circular-reference in theme inheritance detected for ""%1""","""%1"" için tema kalıtımında dairesel referans tespit edildi"
"The CSS file must be less than %1M.","CSS dosyası %1M den az olmalı."
"The JS file must be less than %1M.","JS dosyası %1M den az olmalı."
"We can't upload the file right now.","Dosyayı şu an yükleyemiyoruz."
"Use only standard alphanumeric, dashes and underscores.","Yalnızca standart alfanumerik, kesik ve alt çizgi kullanın."
"We found a directory with the same name.","Aynı isme sahip bir rehber bulduk."
"We cannot find a directory with this name.","Bu ada sahip bir dizin bulamıyoruz."
"We can't delete root directory %1 right now.","%1 kök dizinini şu an silemiyoruz."
"Theme isn't deletable.","Tema silinebilir değil."
"Exception message","İstisna mesajı"
"localized exception","yerelleşmiş istisna"
"Message","Mesaj"
"Test Label","Test etiketi"
"Phrase","Cümle"
"testMessage","tesMesaj"
"Edit","Düzenle"
"We found no files.","Hiçbir dosya bulmadık."
"Browse Files","Dosyaları araştır"
"Scope:","Kapsam:"
"Remove","Kaldır"
"Help Us Keep Magento Healthy","Magentoyu Sağlıklı Tutmak için Bize Yardım Edin"
"Report All Bugs","Tüm Hataları Raporla"
"Welcome, %1!","Hoş Geldin, %1!"
"Toggle Nav","Navigasyon aç/kapat"
"JavaScript seems to be disabled in your browser.","Tarayıcınızda, Javascript Özelliği kapatılmış olarak görünmektedir."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Sitemizde iyi vakit geçirmeniz için tarayıcınızda JavaScript’in açık olduğundan emin olun."
"Local Storage seems to be disabled in your browser.","Tarayıcınızda, Yerel Depolama alanı kapatılmış olarak görünüyor."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Sitemizde iyi vakit geçirmeniz için tarayıcınızda JavaScript’in açık olduğundan emin olun."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 öğe"
"%1 Item(s)","%1 öğe(ler)"
"Page","Sayfa"
"Previous","Önceki"
"You're currently reading page","Şu anda okuma sayfasındasınız"
"Next","Sonraki"
"Show","Göster"
"per page","sayfa başı"
"About the calendar","Takvim hakkında"
"Close","Kapat"
"Go Today","Bugüne Git"
"WK","WK"
"Time","Saat"
"Hour","Saat"
"Minute","Dakika"
"%name,","%isim,"
"Welcome to %store_name.","%store_name 'ye Hoşgeldiniz."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Oturum açmak için <a href=""%customer_url"">Hesabım</a> a girin veya satın alma sayfasına devam edin:"
"Email:","E-posta:"
"Password:","Şifre:"
"Password you set when creating account","Hesap oluşturulurken belirlediğiniz parola"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Hesap şifrenizi mi unuttunuz? Sıfırlamak için <a href=""%reset_url"">buraya</a> tıklayın."
"When you sign in to your account, you will be able to:","Hesabınızda oturum açtığınız zaman, şunları yapabileceksiniz:"
"Proceed through checkout faster","Ödemeye hızlı bir şekilde geçin"
"Check the status of orders","Sipariş durumunu denetleyin"
"View past orders","Geçmiş siparişleri görüntüleyin"
"Store alternative addresses (for shipping to multiple family members and friends)","Alternatif adresleri sakla (birden fazla aile üyelerine ve arkadaşlarına kargo için)"
"We could not detect a size.","Bir boyut tespit edemedik."
"We don't recognize this file extension.","Bu dosya uzantısı türü tanınamıyor veya desteklenmiyor."
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfaya Gidin"
"Empty","Boş"
"1 column","1 kolon"
"Configuration","Yapılandırma"
"Default welcome msg!","Hoşgeldiniz!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Tasarım yapılandırma"
"Rebuild design config grid index","Tasarım yapılandırma tablosu dizinini yeniden oluştur"
"Admin empty","Admin boş"
"Admin 1column","Admin 1colon"
"Theme Information","Tema bilgileri"
"Other Settings","Diğer ayarlar"
"HTML Head","HTML Başlık"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon İkonu"
"Default Page Title","Varsayılan Sayfa Başlığı"
"Page Title Prefix","Sayfa Başlığı Öneki"
"Page Title Suffix","Sayfa Başlığı Soneki"
"Default Meta Description","Varsayılan Meta Açıklaması"
"Default Meta Keywords","Varsayılan Meta anahtar kelimeleri"
"This will be included before head closing tag in page HTML.","Bu alandaki veriler head kapatma verisinden önceki alana yerleştirilecektir."
"Scripts and Style Sheets","Komut dosyaları ve stil sayfaları"
"Display Demo Store Notice","Demo Mağaza Yazısını Göster"
"Header","Başlıklar"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logo Resim Dosyası"
"Logo Attribute Width","Logo Nitelik Genişliği"
"Logo Attribute Height","Logo Nitelik Yüksekliği"
"Welcome Text","Karşılama Yazısı"
"Logo Image Alt","Logo Dosyası Alt Açıklaması"
"Footer","Altbilgi"
"This will be displayed just before the body closing tag.","Bu, vücut kapanış etiketinin hemen öncesinde görüntülenecektir."
"Miscellaneous HTML","Çeşitli HTML"
"Copyright","Telif Hakkı"
"Default Robots","Varsayılan Robotlar"
"Edit custom instruction of robots.txt File","robots.txt belgesindeki özel talimatları değiştir"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Bu eylem özel talimatlarınızı silecek ve robots.txt belgesini varsayılan sistem ayarlarına sıfırlayacak."
"Reset To Defaults","Varsayılan Ayarlara Sıfırla"
"Website","Web sitesi"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Skip to Content","İçeriğe geç"
"Menu","Menü"
"Account","Hesap"
"Settings","Ayarlar"
"2 columns with left bar","Sol sütunlu 2 kolon"
"2 columns with right bar","Sağ sütunlu 2 kolon"
"3 columns","3 kolon"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Sayfa bulunamadı."
"The scope or scope ID is invalid. Verify both and try again.","Kapsam veya kapsam kimliği geçersiz. İkisini de doğrulayıp tekrar deneyiniz."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Göster"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","No"
