"Back","પાછા"
"Local Storage seems to be disabled in your browser.","સ્થાનિક સ્ટોરેજ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","અમારી સાઇટ પરના શ્રેષ્ઠ અનુભવ માટે, તમારા બ્રાઉઝરમાં સ્થાનિક સ્ટોરેજ ચાલુ કરવાનું સુનિશ્ચિત કરો."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","કુલ %3 માંથી %1 થી %2 વસ્તુઓ"
"%1 Item","%1 આઇટમ"
"%1 Item(s)","%1 વસ્તુ (ઓ)"
"Page","પૃષ્ઠ"
"Previous","અગાઉના"
"You're currently reading page","તમે હાલમાં પૃષ્ઠ વાંચી રહ્યા છો"
"Next","આગળ"
"Show","બતાવો"
"per page","પૃષ્ઠ દીઠ"
"About the calendar","કૅલેન્ડર વિશે"
"Close","બંધ"
"Go Today","આજે જાઓ"
"WK","ડબલ્યુકે"
"Time","સમય"
"Hour","કલાક"
"Minute","મિનિટ"
"%name,","%name,"
"Welcome to %store_name.","%Store_name માં આપનું સ્વાગત છે."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","અમારી સાઇટ પર સાઇન ઇન કરવા માટે, ચેકઆઉટ દરમિયાન અથવા <a href=""%customer_url""> મારું એકાઉન્ટ </a> પૃષ્ઠ પર આ ઓળખપત્રોનો ઉપયોગ કરો:"
"Email:","ઇમેઇલ:"
"Password:","પાસવર્ડ:"
"Password you set when creating account","એકાઉન્ટ બનાવતી વખતે તમે સેટ કરેલ પાસવર્ડ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","તમારું ખાતું પાસવર્ડ ભૂલી ગયો? તેને ફરીથી સેટ કરવા માટે <a href=""%reset_url""> અહીં </a> ક્લિક કરો."
"When you sign in to your account, you will be able to:","જ્યારે તમે તમારા એકાઉન્ટમાં સાઇન ઇન કરો છો, ત્યારે તમે આ કરી શકશો:"
"Proceed through checkout faster","ઝડપી ચેકઆઉટ દ્વારા આગળ વધો"
"Check the status of orders","ઓર્ડરની સ્થિતિ તપાસો"
"View past orders","ભૂતકાળના આદેશો જુઓ"
"Store alternative addresses (for shipping to multiple family members and friends)","વૈકલ્પિક સરનામાંઓ સ્ટોર કરો (બહુવિધ કૌટુંબિક સભ્યો અને મિત્રોને શિપિંગ માટે)"
"We could not detect a size.","અમે કદ શોધી શક્યા નથી."
"We don't recognize this file extension.","અમે આ ફાઇલ એક્સ્ટેંશનને ઓળખતા નથી."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","ખાલી"
"1 column","1 કૉલમ"
"Configuration","રૂપરેખાંકન"
"Default welcome msg!","મૂળભૂત સ્વાગત સંદેશ!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","કૉપિરાઇટ © 2013-વર્તમાન Magento, Inc. બધા અધિકારો અનામત."
"Design Config Grid","ડિઝાઇન રૂપરેખા ગ્રીડ"
"Rebuild design config grid index","ડિઝાઇન રૂપરેખા ગ્રીડ અનુક્રમણિકા ફરીથી બનાવો"
"Admin empty","એડમિન ખાલી"
"Admin 1column","એડમિન 1column"
"Theme Information","થીમ માહિતી"
"Other Settings","અન્ય સેટિંગ્સ"
"HTML Head","એચટીએમએલ હેડ"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","ફેવિકોન આયકન"
"Default Page Title","મૂળભૂત પૃષ્ઠ શીર્ષક"
"Page Title Prefix","પૃષ્ઠ શીર્ષક ઉપસર્ગ"
"Page Title Suffix","પૃષ્ઠ શીર્ષક ઉપસર્ગ"
"Default Meta Description","ડિફૉલ્ટ મેટા વર્ણન"
"Default Meta Keywords","ડિફોલ્ટ મેટા કીવર્ડ્સ"
"This will be included before head closing tag in page HTML.","આ પૃષ્ઠ HTML માં હેડ ક્લોઝિંગ ટૅગ પહેલાં શામેલ કરવામાં આવશે."
"Scripts and Style Sheets","સ્ક્રિપ્ટો અને સ્ટાઇલ શીટ્સ"
"Display Demo Store Notice","પ્રદર્શન ડેમો નોટિસ"
"Header","હેડર"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","લોગો છબી"
"Logo Attribute Width","લોગો એટ્રીબ્યુટ પહોળાઈ"
"Logo Attribute Height","લોગો લક્ષણ ઊંચાઈ"
"Welcome Text","સ્વાગત ટેક્સ્ટ"
"Logo Image Alt","લોગો છબી Alt"
"Footer","ફૂટર"
"This will be displayed just before the body closing tag.","આ શરીરને બંધ કરવાના ટેગ કરતા પહેલા જ પ્રદર્શિત કરવામાં આવશે."
"Miscellaneous HTML","વિવિધ એચટીએમએલ"
"Copyright","કૉપિરાઇટ"
"Default Robots","ડિફૉલ્ટ રોબોટ્સ"
"Edit custom instruction of robots.txt File","Robots.txt ફાઇલના કસ્ટમ સૂચનાને સંપાદિત કરો"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","આ ક્રિયા તમારી કસ્ટમ સૂચનાઓ કાઢી નાખશે અને robots.txt ફાઇલને સિસ્ટમની ડિફોલ્ટ સેટિંગ્સ પર ફરીથી સેટ કરશે."
"Reset To Defaults","ડિફોલ્ટ્સ પર ફરીથી સેટ કરો"
"Website","વેબસાઇટ"
"Store","દુકાન"
"Store View","સ્ટોર જુઓ"
"Skip to Content","સામગ્રી પર જાઓ"
"Menu","મેનુ"
"Account","ખાતું"
"Settings","સેટિંગ્સ"
"2 columns with left bar","ડાબી બાર સાથે 2 સ્તંભો"
"2 columns with right bar","જમણી બાર સાથે 2 કૉલમ"
"3 columns","3 કૉલમ"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","ડિસ્પ્લે રિપોર્ટ બગ્સ લિંક"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","જુઓ"
"This is a demo store. No orders will be fulfilled.","આ એક ડેમો સ્ટોર છે. કોઈ ઓર્ડર પૂરા થશે નહીં."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","આઇડી"
