"Back","Tilbake"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","etikett"
"-- Please Select --","-Vennligst velg--"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Kopi"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Unntaksmelding"
"localized exception","lokaliserte unntak"
"Message","Beskjed"
"Test Label","Testetikett"
"Phrase","Uttrykk"
"testMessage","testMelding"
"Edit","Redigere"
"We found no files.","Vi fant ingen filer."
"Browse Files","Browse Files"
"Scope:","Scope:"
"Remove","Fjern"
"Help Us Keep Magento Healthy","Hjelp oss å holde Magento sunn"
"Report All Bugs","Rapporter alle feil"
"Welcome, %1!","Velkommen, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript kan være deaktivert i din nettleseren."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Produkt"
"%1 Item(s)","%1 Produkt(er)"
"Page","Side"
"Previous","Forrige"
"You're currently reading page","You're currently reading page"
"Next","Neste"
"Show","Vis"
"per page","per side"
"About the calendar","Om kalenderen"
"Close","Lukk"
"Go Today","I Dag"
"WK","WK"
"Time","Tid"
"Hour","Time"
"Minute","Minutt"
"%name,","%name,"
"Welcome to %store_name.","Velkommen til %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","For å logge deg på nettstedet vårt, kan du bruke disse opplysningene i kassen eller på siden <a href=""%customer_url""> Min konto</a>:"
"Email:","E-Post:"
"Password:","Passord:"
"Password you set when creating account","Passordet du oppga når du opprettet kontoen"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glemt passordet? Klikk <a href=""%reset_url"">her</a> for å tilbakestille det."
"When you sign in to your account, you will be able to:","Når du logger inn på kontoen din, vil du kunne:"
"Proceed through checkout faster","Fortsett gjennom kassen raskere"
"Check the status of orders","Kontrollere statusen for ordrer"
"View past orders","Vis tidligere ordrer"
"Store alternative addresses (for shipping to multiple family members and friends)","Lagre alternative adresser (for å kunne sende til familiemedlemmer og venner)"
"We could not detect a size.","Vi kunne ikke oppdage en størrelse."
"We don't recognize this file extension.","Vi gjenkjenner ikke denne filtypen."
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"Empty","Tom"
"1 column","1 kolonne"
"Configuration","Innstillinger"
"Default welcome msg!","Standard velkommen msg!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-nåtid Magento, Inc. Alle rettigheter reservert."
"Design Config Grid","Design Konfigurasjon Rutenett"
"Rebuild design config grid index","Gjenoppbygge design config rutenettet indeks"
"Admin empty","Admin tom"
"Admin 1column","Admin 1column"
"Theme Information","Temainformasjon"
"Other Settings","Andre innstillinger"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon ikon"
"Default Page Title","Standard sidetittel"
"Page Title Prefix","Sidetittel prefiks"
"Page Title Suffix","Sidetittel suffiks"
"Default Meta Description","Standard Metabeskrivelse"
"Default Meta Keywords","Standard Meta søkeord"
"This will be included before head closing tag in page HTML.","Dette vil bli inkludert før den avsluttende head-taggen i HTML-siden."
"Scripts and Style Sheets","Skript og stilark"
"Display Demo Store Notice","Vis Demo Butikken Varsel"
"Header","Header"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logobilde"
"Logo Attribute Width","Logo attributt bredde"
"Logo Attribute Height","Logoen attributt høyde"
"Welcome Text","Velkommen tekst"
"Logo Image Alt","Logobilde Alt"
"Footer","Bunntekst"
"This will be displayed just before the body closing tag.","Dette vil bli vist like før den avsluttende body-taggen."
"Miscellaneous HTML","Diverse HTML"
"Copyright","Opphavsrett"
"Default Robots","Standard roboter"
"Edit custom instruction of robots.txt File","Redigere egendefinerte instruksjon av robots.txt Fil"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Denne handlingen vil fjerne dine tilpassede instruksjoner og restarte robots.txt-filen til systemets standardinnstillinger."
"Reset To Defaults","Tilbakestille til standardinnstillingene"
"Website","Nettsted"
"Store","Butikk"
"Store View","Butikkvisning"
"Skip to Content","Hopp til innhold"
"Menu","Meny"
"Account","Konto"
"Settings","Innstillinger"
"2 columns with left bar","2 kolonner med venstre stolpe"
"2 columns with right bar","2 kolonner med høyre stolpe"
"3 columns","Tre kolonner"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","unntak"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Standard tittel"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Feil forespørsel."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. Alle rettigheter reservert."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Siden finnes ikke."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Visning"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
