"Back","ಹಿಂದೆ"
"Welcome to %store_name.","%store_name ಗೆ ಸುಸ್ವಾಗತ."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","ನಮ್ಮ ಜಾಲತಾಣಕ್ಕೆ ಸೈನ್ ಇನ್ ಆಗಲು, ಚೆಕೌಟ್ ಆಗುವಾಗ ಅಥವಾ <a href=""%customer_url"">ನನ್ನ ಖಾತೆ</a> ಪುಟದಲ್ಲಿ ಈ ಕ್ರೆಡೆಂಶಿಯಲ್ ಗಳನ್ನು ಬಳಸಿ:"
"Email:","ಮಿಂಚೆ:"
"Password:","ಗುಪ್ತಪದ:"
"Password you set when creating account","ನೀವು ಖಾತೆಯನ್ನು ರಚಿಸಿದಾಗ ನಮೂದಿಸಿದ ಗುಪ್ತಪದ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ನಿಮ್ಮ ಖಾತೆಯ ಗುಪ್ತಪದವನ್ನು ಮರೆತಿರುವಿರಾ? ಅದನ್ನು ಮರುನಮೂದಿಸುವುದಕ್ಕಾಗಿ <a href=""%reset_url"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"When you sign in to your account, you will be able to:","ನೀವು ನಿಮ್ಮ ಖಾತೆಗೆ ಪ್ರವೇಶಿಸಿದಾಗ, ನಿಮಗೆ ಇದೆಲ್ಲವೂ ಸಾಧ್ಯ:"
"Proceed through checkout faster","ಕ್ಷಿಪ್ರ ಚೆಕೌಟ್ ಮೂಲಕ ಮುಂದುವರೆಯಿರಿ"
"Check the status of orders","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ"
"View past orders","ಹಿಂದಿನ ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"We could not detect a size.","ನಮಗೆ ಗಾತ್ರವನ್ನು ಗುರುತಿಸಲಾಗಲಿಲ್ಲ."
"We don't recognize this file extension.","We don't recognize this file extension."
"Home","ಮುಖಪುಟ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Empty","ಖಾಲಿ"
"1 column","1 ಉದ್ದಸಾಲುಗಳು"
"Configuration","ಸಂರಚನೆ"
"Default welcome msg!","ನಿಯೋಜಿತ ಸ್ವಾಗತ ಮಿಂಚೆ!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Theme Information","ಥೀಮ್ ಮಾಹಿತಿ"
"Other Settings","ಇತರೆ ಸಂಯೋಜನೆಗಳು"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon Icon"
"Default Page Title","ನಿಯೋಜಿತ ಪುಟದ ಶೀರ್ಷಿಕೆ"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","ನಿಯೋಜಿತ ಮೆಟಾ ವಿವರಣೆಗಳು"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","Display Demo Store Notice"
"Header","ತಲೆಬರಹ"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","ಲೋಗೋ ಚಿತ್ರ"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","ಸ್ವಾಗತ ಪಠ್ಯ"
"Logo Image Alt","Logo Image Alt"
"Footer","ಅಡಿಬರಹ"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","ಕೃತಿಸ್ವಾಮ್ಯ"
"Default Robots","Default Robots"
"Edit custom instruction of robots.txt File","Edit custom instruction of robots.txt File"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Reset To Defaults"
"Website","ಜಾಲತಾಣ"
"Store","ಮಳಿಗೆ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Skip to Content","Skip to Content"
"Menu","ಮೆನು"
"Account","ಖಾತೆ"
"Settings","ಸಂಯೋಜನೆಗಳು"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 ಉದ್ದಸಾಲುಗಳು"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","ವೀಕ್ಷಿಸಿ"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","ID"
