"Back","Назад"
"We don't recognize this file extension.","We don't recognize this file extension."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Порожній"
"1 column","1 column"
"Configuration","Налаштування"
"Default welcome msg!","Default welcome msg!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Theme Information","Інформація про тему"
"Other Settings","Інші Налаштування"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon Icon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Meta опис слова за замовчуванням"
"Default Meta Keywords","Meta ключові слова за замовчуванням"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Scripts and Style Sheets"
"Display Demo Store Notice","Display Demo Store Notice"
"Header","Верхній колонтитул"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logo Image"
"Logo Attribute Width","Logo Attribute Width"
"Logo Attribute Height","Logo Attribute Height"
"Welcome Text","Welcome Text"
"Logo Image Alt","Logo Image Alt"
"Footer","Нижній колонтитул"
"This will be displayed just before the body closing tag.","This will be displayed just before the body closing tag."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","Copyright"
"Default Robots","Default Robots"
"Edit custom instruction of robots.txt File","Edit custom instruction of robots.txt File"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Reset To Defaults","Reset To Defaults"
"Website","Веб-сайт"
"Store","Магазин"
"Store View","Вид Магазину"
"Skip to Content","Skip to Content"
"Menu","Меню"
"Account","Обліковий запис"
"Settings","Налаштування"
"2 columns with left bar","2 стовпчики з панеллю зліва"
"2 columns with right bar","2 стовпчики з панеллю справа"
"3 columns","3 стовпчики"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","View"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Ідентифікатор"
