"Cart Price Rules","قوانین قیمت سبد خرید"
"Item totals are not set for the rule.","مجموع مورد برای این قانون تنظیم نشده است."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 قوانین سبد خرید قیمت بر اساس ویژگی ""%2"" غیر فعال شده است."
"Apply Discount Code","درخواست کد تخفیف"
"Enter discount code","کد تخفیف را وارد کنید"
"Apply Discount","اعمال تخفیف"
"Cancel coupon","لغو کوپن"
"Your coupon was successfully removed.","کوپن شما با موفقیت حذف شد."
"Your coupon was successfully applied.","کوپن شما با موفقیت اعمال شد."
"Promotion","ترفیع"
"Auto Generated Specific Coupon Codes","توليد خودكار كد كوپن هاي ويژه"
"Web Site","وب سایت"
"Priority","اولویت"
"Cart Price Rule","قانون قيمت سبد خرید"
"Back","بازگشت"
"Currently Active","Currently Active"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Description","توصیف"
"Websites","وب سایت ها"
"Customer Groups","گروه‌های مشتری"
"Coupon","کوپن"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
اگر قانون را انتخاب و ذخیره کنید، می توانید کدهای چندین کوپن را تولید کنید.
                "
"Use Auto Generation","استفاده از ایجاد خودکار"
"Uses per Coupon","استفاده بر کوپن"
"
                    Usage limit enforced for logged in customers only.
                ","
محدودیت استفاده فقط برای مشتریان وارد شده است.
                "
"Uses per Customer","استفاده بر مشتری"
"From","از"
"To","به"
"Public In RSS Feed","عمومی در فید RSS"
"Apply","اعمال"
"Discount Amount","مبلغ تخفیف"
"Maximum Qty Discount is Applied To","بیشینه تخفیف تعداد اعمال شده است برای"
"Discount Qty Step (Buy X)","مرحله‌ی تعداد تخفیف (خرید X)"
"Discount amount is applied to subtotal only","مبلغ تخفیف فقط به مجموع کل اعمال می شود"
"Discount amount is applied to subtotal and shipping amount separately","مبلغ تخفیف به صورت جداگانه به کل مبلغ کل مبلغ و حمل و نقل اعمال می شود"
"Apply to Shipping Amount","اعمال برای مبلغ ارسال"
"Discard subsequent rules","قوانین بعدی را حذف کنید"
"Default Rule Label for All Store Views","برچسب قانون پیش فرض برای همه‌ی نماهای فروشگاه"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Coupons Information","Coupons Information"
"Default Label","Default Label"
"General Information","General Information"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Payment Method","Payment Method"
"Your coupon was successfully removed","Your coupon was successfully removed"
"Your coupon was successfully applied","Your coupon was successfully applied"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    "
"
                        Usage limit enforced for logged in customers only.
                    ","
                        Usage limit enforced for logged in customers only.
                    "
"Category (Parent only)","Category (Parent only)"
"Category (Children Only)","Category (Children Only)"
"(Parent Only)","(Parent Only)"
"(Children Only)","(Children Only)"
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
"Your coupons are ready","Your coupons are ready"
"You can check your coupons at sales rule page","You can check your coupons at sales rule page"
"Error during coupons generator process occurred","Error during coupons generator process occurred"
"Error during coupons generator process occurred. Please check logs for detail","Error during coupons generator process occurred. Please check logs for detail"
