"Cart Price Rules","Sepet fiyat kuralları"
"Auto Generated Specific Coupon Codes","Otomatik Üretilmiş Özel Kupon Kodları"
"Web Site","İnternet sitesi"
"Priority","Öncelik"
"Cart Price Rule","Sepet fiyatı kuralı"
"Back","Geri"
"Currently Active","Currently Active"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Description","Açıklama"
"Websites","Websiteleri"
"Customer Groups","Müşteri Grupları"
"Coupon","Kupon"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
                    Eğer siparişi seçer ve kaydederseniz birden fazla kupon kodu oluşturabilirsiniz.
                "
"Use Auto Generation","Otomatik Üretmeyi Kullan"
"Uses per Coupon","Kupon başı Kullanım Sayısı"
"
                    Usage limit enforced for logged in customers only.
                ","
                    Yalnızca giriş yapmış müşteriler için kullanım limiti uygulanır.
                "
"Uses per Customer","Müşteri başına Kullanım"
"From","Baş"
"To","Bit"
"Public In RSS Feed","RSS Akışı Genele Açık"
"Apply","Onayla"
"Discount Amount","İndirim Tutarı"
"Maximum Qty Discount is Applied To","En fazla adet indirimi uygulandı "
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Discount amount is applied to subtotal only","İndirim tutarı sadece alt toplam için uygulanır"
"Discount amount is applied to subtotal and shipping amount separately","İndirim tutarı alt toplam ve nakliye tutarı için ayrıca uygulanır"
"Apply to Shipping Amount","Teslimat Tutarını Uygula"
"Discard subsequent rules","Sonraki kuralları at"
"Default Rule Label for All Store Views","Bütün mağaza görünümleri için varsayılan Kural Adı"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Coupons Information","Coupons Information"
"Default Label","Default Label"
"General Information","General Information"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Payment Method","Payment Method"
"Your coupon was successfully removed","Your coupon was successfully removed"
"Your coupon was successfully applied","Your coupon was successfully applied"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    "
"
                        Usage limit enforced for logged in customers only.
                    ","
                        Usage limit enforced for logged in customers only.
                    "
"Category (Parent only)","Category (Parent only)"
"Category (Children Only)","Category (Children Only)"
"(Parent Only)","(Parent Only)"
"(Children Only)","(Children Only)"
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
"Your coupons are ready","Your coupons are ready"
"You can check your coupons at sales rule page","You can check your coupons at sales rule page"
"Error during coupons generator process occurred","Error during coupons generator process occurred"
"Error during coupons generator process occurred. Please check logs for detail","Error during coupons generator process occurred. Please check logs for detail"
