"Cart Price Rules","Warenkorb Preisregeln"
"Uses per Coupon","Verwendungen pro Rabattcode"
"
                    Usage limit enforced for logged in customers only.
                ","Nutzungslimit wird nur für angemeldete Kunden erzwungen."
"Uses per Customer","Verwendungen pro Kunde"
"From","Von"
"To","Bis"
"Public In RSS Feed","Im öffentlichen RSS-Feed anzeigen"
"Apply","Anwenden"
"Discount Amount","Rabattbetrag"
"Maximum Qty Discount is Applied To","Maximale Anzahl, auf die der Rabatt angewendet wird"
"Discount Qty Step (Buy X)","Rabatt-Mengenschritt (X kaufen)"
"Discount amount is applied to subtotal only","Rabattbetrag wird nur auf die Zwischensumme angewendet"
"Discount amount is applied to subtotal and shipping amount separately","Rabattbetrag wird auf Zwischensumme und Versandkosten Betrag separat angewendet"
"Apply to Shipping Amount","Auf Versandbetrag anwenden"
"Discard subsequent rules","Nachfolgende Regeln verwerfen"
"Default Rule Label for All Store Views","Standard-Regel-Bezeichnung für alle StoreViews"
"Edit Rule '%1'","Regelname"
"Pricing Structure Rules","Artikel aktualisieren"
"Coupons Information","Gutscheininformationen"
"Default Label","Standard-Beschriftung"
"General Information","Allgemeine Information"
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn Sie dies aktivieren und die Regel speichern, können Sie im nächsten Schritt den Assistent für mehrere Rabattcodes nutzen."
"Usage limit enforced for logged in customers only.","Nutzungslimit wird nur für angemeldete Kunden erzwungen."
"Payment Method","Zahlungsart"
"Your coupon was successfully removed","Ihr Rabattcode wurde erfolgreich entfernt"
"Your coupon was successfully applied","Ihr Rabattcode wurde erfolgreich angewendet"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","
Wenn Sie dies aktivieren und die Regel speichern, können Sie im nächsten Schritt den Assistent für mehrere Rabattcodes nutzen.                    "
"
                        Usage limit enforced for logged in customers only.
                    ","Nutzungslimit wird nur für angemeldete Kunden erzwungen."
"Category (Parent only)","Kategorie (Nur Eltern)"
"Category (Children Only)","Kategorie (nur Kinder)"
"(Parent Only)","(Nur Eltern)"
"(Children Only)","(Nur Kinder)"
"Message is added to queue, wait to get your coupons soon","Nachricht wird zur Warteschlange hinzugefügt, warten Sie, um Ihre Datei bald zu erhalten"
"Your coupons are ready","Ihre Gutscheine sind bereit"
"You can check your coupons at sales rule page","Sie können Ihre Gutscheine auf der Verkaufsregelseite überprüfen"
"Error during coupons generator process occurred","Fehler beim Generieren von Gutscheinen ist aufgetreten"
"Error during coupons generator process occurred. Please check logs for detail","Fehler beim Generieren von Gutscheinen. Bitte überprüfen Sie die Protokolle für Details"
