"Reimburse Balance","Reembolsar Saldo"
"No such entity","Entidade não encontrada"
"Edit","Editar"
"%1 made an update. %2 can exceed the Credit Limit.","%1 fez uma atualização. %2 pode exceder o limite de crédito."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 fez uma atualização. %2 não pode exceder o limite de crédito."
"Order # %1","Pedido #%1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 alterou a moeda de crédito de %2 para %3 na taxa de conversão de %2/%3 %4."
"Outstanding Balance:","Saldo pendente:"
"Available Credit:","Crédito disponível:"
"Credit Limit:","Limite de crédito:"
"Purchase Order Number","Número do pedido"
"Charged off the company credit: %1","Cobrado do crédito da empresa: %1"
"Purchase Order Number: %1","Número do Pedido de Compra: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","A moeda base para %1 foi atualizada. A moeda %2 ainda é definida como a moeda de crédito para uma ou mais empresas. Use o seguinte link de <a href=""%3"" id=""update-credit-link""></a> para executar uma operação em massa que atualiza a moeda de crédito para as empresas."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 excedeu o limite de crédito (%2) em %3. Seu saldo pendente, incluindo este pedido, atualmente totaliza %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","O limite de crédito para %1 é %2. Seu saldo pendente, incluindo este pedido, atualmente totaliza %3"
"Outstanding Balance","Saldo pendente"
"Available Credit","Crédito disponível"
"Credit Limit","Limite de crédito"
"Charged off the company credit","Cobrado o crédito da empresa"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","O crédito da empresa em todas as empresas selecionadas será convertido usando a taxa abaixo. Esta operação não pode ser desfeita."
"Credit allocated to %company_name","Crédito alocado para %company_name"
"Dear %name,","Caro %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Sua empresa recebeu um crédito de %available_credit.
    Agora você pode usar o método Pagamento em conta para fazer pedidos."
"The history of your credit operations is available on the Company Credit page.","A história de suas operações de crédito está disponível na página de crédito da empresa."
"%company_name account reimbursed","%company_name conta reembolsada"
"Your company credit account has been reimbursed by %reimbursed_amount.","Sua conta de crédito de empresa foi reembolsada por %reimbursed_amount."
"If you have any questions, please contact the seller.","Se você tiver alguma dúvida, entre em contato com o vendedor."
"%company_name credit limit updated","Limite de crédito %company_name atualizado"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Seu limite de crédito foi atualizado e agora é %available_credit.
    Atualmente, seu saldo pendente totaliza %outstanding_balance. Você está com %exceed_limit para exceder o limite de crédito."
"Order %order_id refunded","Pedido %order_id reembolsado"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Um reembolso de %refunded_amount foi emitido no pedido nº %order_id. Este montante foi aplicado ao crédito da empresa."
"Order %order_id reverted","Pedido %order_id revertido"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Seu pedido #%order_id foi cancelado. O valor do pedido foi revertido para o crédito da empresa."
"Available Credit ","Crédito disponível "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","O pagamento no método de conta não está disponível na moeda selecionada. Entre em contato com o vendedor."
"Company credit account will be charged: ","A conta de crédito da empresa será cobrada: "
"Place Order","Finalizar Pedido"
"Cancel the Order","Cancelar o pedido"
"This is a required field.","Este é um campo obrigatório."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} taxa"
"Reimburse","Reembolsar"
"Save","Salvar"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Por favor, use apenas letras (a-z ou A-Z), números (0-9), traço (-) ou barra (/) neste campo."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","O limite de crédito para %s é %s. Será excedido por %s com este pedido."
"Payment on Account","Pagamento por conta"
"Enabled","Habilitado"
"New Order Status","Novo status do pedido"
"Sort Order","Ordernação"
"Title","Título"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Minimum Order Total","Total mínimo do pedidos"
"Maximum Order Total","Total máximo de pedidos"
"Company Credit Change Email Sender","Remetente do e-mail de alteração de crédito da empresa"
"Send Company Credit Change Email Copy To","Enviar cópia do e-mail de alteração de crédito da empresa para"
"Comma-separated","Separado por vírgula"
"Send Email Copy Method","Enviar método de cópia de e-mail"
"Allocated Email Template","Modelo de email alocado"
"This email is sent to the Company Admin.","Este e-mail é enviado para o administrador da empresa."
"Updated Email Template","Modelo de e-mail atualizado"
"Reimbursed Email Template","Modelo de email de reembolso"
"Refunded Email Template","Modelo de email de devolução"
"Reverted Email Template","Modelo de email Revertido"
"View","Visualizar"
"Credit Currency","Moeda de crédito"
"Allow To Exceed Credit Limit","Permitir ultrapassar o limite de crédito"
"Reason For Change","Motivo da alteração"
"Amount","Quantidade"
"
                            Limit one PO number per reimburse transaction
                        ","
Limite de um número de PO por transação de reembolso                        "
"
                                Maximum 255 characters are allowed.
                        ","
São permitidos no máximo 255 caracteres.                        "
"Comment","Comente"
"Rate","Avaliação"
"Convert Credit","Converter o crédito"
"Date","Data"
"Operation","Operação"
"Updated By","Atualizado por"
"Purchase Order","Ordem de compra"
"You will be charged for","Você será cobrado por"
"Order Total","Total do Pedido"
"%fieldName is a required field.","%fieldName é um campo obrigatório."
