"Reimburse Balance","ബാലൻസ് റീഇംബേഴ്സ് ചെയ്യുക"
"Order is canceled. We reverted %1 to the company credit.","ഓർഡർ റദ്ദാക്കി. ഞങ്ങൾ %1 കമ്പനി ക്രെഡിറ്റിലേക്ക് മാറ്റി."
"Order is canceled. The order amount is not reverted to the company credit.","ഓർഡർ റദ്ദാക്കി. ഓർഡർ തുക കമ്പനി ക്രെഡിറ്റിലേക്ക് പഴയപടിയാക്കില്ല."
"Order is cancelled. The order amount is not reverted to the company credit because the company to which this customer belongs does not exist.","ഓർഡർ റദ്ദാക്കി. ഓർഡർ തുക കമ്പനി ക്രെഡിറ്റിലേക്ക് പഴയപടിയാക്കില്ല, കാരണം ഈ ഉപഭോക്താവിന്റെ കമ്പനി നിലവിലില്ല."
"unavailable.","ലഭ്യമല്ല."
"We can't save the credit memo because the company associated with this customer does not exist.","ഞങ്ങൾക്ക് ക്രെഡിറ്റ് മെമ്മോ സേവ് ചെയ്യാൻ കഴിയില്ല കാരണം ഈ ഉപഭോക്താവുമായി ബന്ധപ്പെട്ട കമ്പനി നിലവിലില്ല."
"We can't save the credit memo because the company associated with customer is not active.","ഉപഭോക്താവുമായി ബന്ധപ്പെട്ട കമ്പനി സജീവമല്ലാത്തതിനാൽ ഞങ്ങൾക്ക് ക്രെഡിറ്റ് മെമ്മോ സംരക്ഷിക്കാൻ കഴിയില്ല."
"Yes","അതെ"
"No","ഇല്ല"
"The requested Payment Method is not available.","അഭ്യർത്ഥിച്ച പേയ്‌മെന്റ് രീതി ലഭ്യമല്ല."
"Payment On Account cannot be used for this order because your order amount exceeds your credit amount.","ഈ ഓർഡറിനായി പേയ്‌മെന്റ് ഓൺ അക്കൗണ്ട് ഉപയോഗിക്കാൻ കഴിയില്ല കാരണം നിങ്ങളുടെ ഓർഡർ തുക നിങ്ങളുടെ ക്രെഡിറ്റ് തുക കവിയുന്നു."
"Cannot process the request. Please check the operation type and try again.","അഭ്യർത്ഥന പ്രോസസ്സ് ചെയ്യാൻ കഴിയില്ല. പ്രവർത്തന തരം പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","ആട്രിബ്യൂട്ട് മൂല്യം അസാധുവാണ്. വരി ID: %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%ഫീൽഡ്നെയിം"" ആവശ്യമാണ്. നൽകി വീണ്ടും ശ്രമിക്കുക."
"The selected currency is not available. Please select a different currency.","തിരഞ്ഞെടുത്ത കറൻസി ലഭ്യമല്ല. മറ്റൊരു കറൻസി തിരഞ്ഞെടുക്കുക."
"Could not update history","ഹിസ്റ്ററി അപ്‌ഡേറ്റുചെയ്യാനായില്ല"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","അഭ്യർത്ഥിച്ച കമ്പനി കണ്ടെത്തിയില്ല. വരി ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","ഐഡി %1 ഉപയോഗിച്ച് ക്രെഡിറ്റ് പരിധി ഇല്ലാതാക്കാൻ കഴിയില്ല"
"Allocated","Allocated"
"Updated","അപ്‌ഡേറ്റുചെയ്‌തു"
"Purchased","വാങ്ങി"
"Reimbursed","തിരിച്ചടച്ചു"
"Refunded","റീഫണ്ട് ചെയ്തു"
"Reverted","പഴയപടിയാക്കി"
"Could not save history","ഹിസ്റ്ററി സേവ്ചെയ്യാനായില്ല"
"Cannot delete history with id %1","ഐഡി %1 ഉപയോഗിച്ച് ചരിത്രം ഇല്ലാതാക്കാൻ കഴിയില്ല"
"No such entity with %fieldName = %fieldValue","%FieldName = %fieldValue ഉള്ള അത്തരം എന്റിറ്റികളൊന്നുമില്ല"
"Could not save company credit limit","കമ്പനി ക്രെഡിറ്റ് പരിധി സേവ് ചെയ്യാനായില്ല"
"Invalid value of ""%value"" provided for the %fieldName field.","%ഫീൽഡ്നെയിം ഫീൽഡിനായി ""%മൂല്യം"" അസാധുവായ മൂല്യം നൽകി."
"Please enter a valid %1/%2 currency rate.","സാധുവായ %1 /%2 കറൻസി നിരക്ക് നൽകുക."
"Invoice created for %1","%1 നായി ഇൻവോയ്സ് സൃഷ്ടിച്ചു"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","തിരഞ്ഞെടുത്ത ക്രെഡിറ്റ് കറൻസി സാധുവല്ല.
                        നിങ്ങൾ ക്രെഡിറ്റ് കറൻസി അപ്‌ഡേറ്റ് ചെയ്യുന്നതുവരെ ഉപയോക്താക്കൾക്ക് ഓർഡറുകൾ നൽകാനാവില്ല."
"Store Credit","സ്റ്റോർ ക്രെഡിറ്റ്"
"Refund to Company Credit","കമ്പനി ക്രെഡിറ്റിലേക്ക് റീഫണ്ട്"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","ഈ ഓർ‌ഡറിനായി ഭാഗിക അളവുകൾ‌ക്കായി ഒരു ഇൻ‌വോയ്‌സ് നൽ‌കാൻ‌ കഴിയില്ല. തുടരാൻ, നിർദ്ദിഷ്ട അളവ് പൂർണ്ണ അളവിലേക്ക് മാറ്റുക."
"We refunded %1 online.","ഞങ്ങൾ ഓൺലൈനിൽ %1 മടക്കിനൽകി."
"We refunded %1 offline.","ഞങ്ങൾ %1 ഓഫ്‌ലൈനിൽ റീഫണ്ട് ചെയ്തു."
"We refunded %1 to the company credit.","കമ്പനി ക്രെഡിറ്റിലേക്ക് ഞങ്ങൾ %1 മടക്കിനൽകി."
"Exception message.","Exception message."
"Exception Message","Exception Message"
"No such entity","No such entity"
"Edit","Edit"
"%1 made an update. %2 can exceed the Credit Limit.","%1 made an update. %2 can exceed the Credit Limit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 made an update. %2 cannot exceed the Credit Limit."
"Order # %1","Order # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4."
"Outstanding Balance:","Outstanding Balance:"
"Available Credit:","Available Credit:"
"Credit Limit:","Credit Limit:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","Charged off the company credit: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3"
"Outstanding Balance","Outstanding Balance"
"Available Credit","Available Credit"
"Credit Limit","Credit Limit"
"Charged off the company credit","Charged off the company credit"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone."
"Credit allocated to %company_name","Credit allocated to %company_name"
"Dear %name,","Dear %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders."
"The history of your credit operations is available on the Company Credit page.","The history of your credit operations is available on the Company Credit page."
"%company_name account reimbursed","%company_name account reimbursed"
"Your company credit account has been reimbursed by %reimbursed_amount.","Your company credit account has been reimbursed by %reimbursed_amount."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"%company_name credit limit updated","%company_name credit limit updated"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit."
"Order %order_id refunded","Order %order_id refunded"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit."
"Order %order_id reverted","Order %order_id reverted"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Your order #%order_id has been cancelled. The order amount reverted to the company credit."
"Available Credit ","Available Credit "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","The Payment on Account method is not available in the selected currency. Please contact the seller."
"Company credit account will be charged: ","Company credit account will be charged: "
"Place Order","Place Order"
"Cancel the Order","Cancel the Order"
"This is a required field.","This is a required field."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Rate"
"Reimburse","Reimburse"
"Save","Save"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","The credit limit for %s is %s. It will be exceeded by %s with this order."
"Payment on Account","Payment on Account"
"Enabled","Enabled"
"New Order Status","New Order Status"
"Sort Order","Sort Order"
"Title","Title"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Company Credit Change Email Sender","Company Credit Change Email Sender"
"Send Company Credit Change Email Copy To","Send Company Credit Change Email Copy To"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Send Email Copy Method"
"Allocated Email Template","Allocated Email Template"
"This email is sent to the Company Admin.","This email is sent to the Company Admin."
"Updated Email Template","Updated Email Template"
"Reimbursed Email Template","Reimbursed Email Template"
"Refunded Email Template","Refunded Email Template"
"Reverted Email Template","Reverted Email Template"
"View","View"
"Credit Currency","Credit Currency"
"Allow To Exceed Credit Limit","Allow To Exceed Credit Limit"
"Reason For Change","Reason For Change"
"Amount","Amount"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limit one PO number per reimburse transaction
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maximum 255 characters are allowed.
                        "
"Comment","Comment"
"Rate","Rate"
"Convert Credit","Convert Credit"
"Date","Date"
"Operation","Operation"
"Updated By","Updated By"
"Purchase Order","Purchase Order"
"You will be charged for","You will be charged for"
"Order Total","Order Total"
"%fieldName is a required field.","%fieldName is a required field."
