"Reimburse Balance","Rimborsa Saldo"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","La valuta selezionata per il credito non è valida. 
                        I clienti non saranno in grado di inserire ordini fintanto che non cambierai la valuta del credito."
"Store Credit","Credito negozio"
"Refund to Company Credit","Rimborsa al credito aziendale"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","Sono stati rimborsati %1 online."
"We refunded %1 offline.","Sono stati rimborsati %1 offline."
"We refunded %1 to the company credit.","Sono stati rimborsati %1 a favore del credito aziendale."
"Exception message.","Exception message."
"Exception Message","Messaggio di eccezione"
"No such entity","Nessuna entità"
"Edit","Modifica"
"%1 made an update. %2 can exceed the Credit Limit.","%1 ha fatto un aggiornamento. %2 può superare il limite di credito."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 ha fatto un aggiornamento. %2 non può superare il limite di credito."
"Order # %1","Ordine # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 ha cambiato la valuta di credito da %2 a %3 al tasso di conversione di %2/%3 %4."
"Outstanding Balance:","Saldo in Sospeso:"
"Available Credit:","Credito disponibile:"
"Credit Limit:","Limite di credito:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","Addebitato sul credito azienda: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","La valuta di base per %1 è stata aggiornata. La valuta %2 è ancora impostata come valuta di credito per una o più società. Utilizzare il seguente <a href=""%3"" id=""update-credit-link"">link</a> per eseguire un'operazione di massa che aggiorni la valuta di credito per queste aziende."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 ha superato il limite di credito (%2) di %3. Il suo saldo in sospeso, incluso quest'ordine, attualmente ammonta a %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Il limite di credito per %1 è %2. Il saldo dovuto, tra cui quello relativo a questo ordine, ammonta attualmente a %3"
"Outstanding Balance","Saldo in Sospeso"
"Available Credit","Credito disponibile"
"Credit Limit","Limite di credito"
"Charged off the company credit","Addebitato sul credito azienda"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Il credito aziendale di tutte le aziende selezionate verrà convertito usando il tasso seguente. Questa operazione non può essere annullata."
"Credit allocated to %company_name","Credito assegnato a %company_name"
"Dear %name,","Caro %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Alla tua azienda è stato assegnato un credito di %available_credit.
    Puoi ora usare il metodo di pagamento Mettilo in conto Per eseguire ordini."
"The history of your credit operations is available on the Company Credit page.","La cronologia delle operazioni relative al tuo credito è disponibile sulla pagina Credito Aziendale."
"%company_name account reimbursed","account %company_name rimborsato"
"Your company credit account has been reimbursed by %reimbursed_amount.","Il tuo credito aziendale è stato rimborsato per il valore di %reimbursed_amount."
"If you have any questions, please contact the seller.","Se hai domande ti preghiamo di contattare il venditore."
"%company_name credit limit updated","Limite di credito per %company_name aggiornato"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Il tuo limite di credito è stato aggiornato e ora ammonta a %available_credit.
    Il tuo saldo in sospeso, attualmente ammonta a %outstanding_balance. Hai a disposizione %exceed_limit prima di eccedere il limite di credito."
"Order %order_id refunded","Ordine %order_id rimborsato"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Un rimborso si %refunded_amount è stato emesso per l'ordine #%order_id. Questo importo è stato riconosciuto sul tuo credito aziendale."
"Order %order_id reverted","Ordine %order_id ripristinato"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Il tuo ordine #%order_id è stato cancellato. Il valore dell'ordine è stato ripristinato sul credito aziendale."
"Available Credit ","Credito disponibile "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Il metodo di pagamento Mettilo In Conto non è disponibile nella valuta selezionata. Per favore contatta il venditore."
"Company credit account will be charged: ","L'account del credito aziendale verrà cambiato: "
"Place Order","Effettua Ordine"
"Cancel the Order","Annulla l'ordine"
"This is a required field.","Questo è un campo obbligatorio."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"{oldCur}/{newCur} Rate","Cambio {oldCur}/{newCur}"
"Reimburse","Rimborsa"
"Save","Salva"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Per favore usa solo lettere (a-z or A-Z), numeri (0-9), trattino (-) o slash (/) in questo campo."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Il limite di credito per %s è %s. Verrà superato di %s con questo ordine."
"Payment on Account","Mettilo In Conto"
"Enabled","Abilitato"
"New Order Status","Nuovo stato dell'ordine"
"Sort Order","Ordinamento"
"Title","Titolo"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Minimum Order Total","Totale ordine minimo"
"Maximum Order Total","Totale ordine massimo"
"Company Credit Change Email Sender","Mittente Email per Variazione credito aziendale"
"Send Company Credit Change Email Copy To","Inviare copia dell'E-mail di variazione credito aziendale a"
"Comma-separated","Separati da virgola"
"Send Email Copy Method","Metodo invio copia email"
"Allocated Email Template","Template Email Assegnato"
"This email is sent to the Company Admin.","Questa email è stata inviata all'amministratore aziendale."
"Updated Email Template","Template Email per Aggiornato"
"Reimbursed Email Template","Template email per Rimborsato"
"Refunded Email Template","Template email per Rimborsato"
"Reverted Email Template","Template email per Ripristinato"
"View","Mostra"
"Credit Currency","Valuta Credito"
"Allow To Exceed Credit Limit","Autorizza ad eccedere il limite di credito"
"Reason For Change","Motivo per la modifica"
"Amount","Importo"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limita ad un numero PO per ogni transazione rimborsata
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Sono ammessi al massimo 255 caratteri.
                        "
"Comment","Commento"
"Rate","Aliquota"
"Convert Credit","Converti Credito"
"Date","Data"
"Operation","Operazione"
"Updated By","Aggiornato da"
"Purchase Order","Purchase Order"
"You will be charged for","Ti verranno addebitati"
"Order Total","Totale ordine"
"%fieldName is a required field.","%fieldName is a required field."
