"Reimburse Balance","Rembourser le solde"
"Cannot process the request. Please check the operation type and try again.","Impossible de traiter la demande. S’il vous plaît vérifiez le type d’opération et réessayez."
"Invalid attribute value. Row ID: %fieldName = %fieldValue.","Attribut non valide. Identifiant de la ligne : %fieldName = %fieldValue."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" est requis. Entrez une valeur et réessayez."
"The selected currency is not available. Please select a different currency.","La devise sélectionnée n’est pas disponible. Veuillez sélectionner une autre devise."
"Could not update history","Impossible de mettre à jour l'historique"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","La société demandée est introuvable. identifiant de la ligne : %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Impossible de supprimer la limite de crédit ayant l'identifiant %1"
"Allocated","Alloué"
"Updated","Mis à jour"
"Purchased","Acheté"
"Reimbursed","Remboursé"
"Refunded","Remboursé"
"Reverted","Reversé"
"Could not save history","Impossible de sauvegarder l'historique"
"Cannot delete history with id %1","Impossible de supprimer l'historique ayant l'identifiant %1"
"No such entity with %fieldName = %fieldValue","Pas d’entité ayant %fieldName = %fieldValue"
"Could not save company credit limit","Impossible d'enregistrer la limite de crédit de la société"
"Invalid value of ""%value"" provided for the %fieldName field.","Valeur non valide ""%value"" fournie pour le champ ""%fieldName""."
"Please enter a valid %1/%2 currency rate.","Merci de saisir un taux de change valide %1 %2."
"Invoice created for %1","Facture créée pour %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","La devise de crédit sélectionnée n'est pas valide. Les clients ne pourront pas passer de commandes tant que vous ne mettrez pas à jour la devise de crédit."
"Store Credit","Crédit du magasin"
"Refund to Company Credit","Remboursement au crédit de la société"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Une facture pour des quantités partielles ne peut pas être émise pour cette commande. Pour continuer, remplacez la quantité spécifiée par la quantité totale."
"We refunded %1 online.","Nous avons remboursé %1 en ligne."
"We refunded %1 offline.","Nous avons remboursé %1 hors ligne (offline)."
"We refunded %1 to the company credit.","Nous avons remboursé %1 au crédit de la société."
"Exception message.","Message d’exception."
"Exception Message","Message d’exception"
"No such entity","Aucune entité de ce type"
"Edit","Éditer"
"%1 made an update. %2 can exceed the Credit Limit.","%1 a fait une mise à jour. %2 peut dépasser la limite de crédit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 a fait une mise à jour. %2 ne peut pas dépasser la limite de crédit."
"Order # %1","Commande n° %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 a changé la devise de crédit de %2 à %3 au taux de change de %2/%3 %4."
"Outstanding Balance:","Solde :"
"Available Credit:","Crédit disponible :"
"Credit Limit:","Limite de crédit :"
"Purchase Order Number","Numéro de bon de commande"
"Charged off the company credit: %1","Chargé du crédit de la société : %1"
"Purchase Order Number: %1","Numéro de bon de commande : %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","La devise de base pour %1 a été mise à jour. La devise %2 est toujours définie comme la devise de crédit pour une ou plusieurs sociétés. Utiliser ce <a href=""%3"" id=""update-credit-link"">lien</a> pour effectuer une opération globale qui mettra à jour la devise de crédit pour ces sociétés."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 a dépassé sa limite de crédit (%2) de %3. Son solde impayé, y compris la présente commande, s’élève actuellement à %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","La limite de crédit de %1 est %2. Son solde impayé, y compris la présente commande, s’élève actuellement à %3"
"Outstanding Balance","Solde impayé"
"Available Credit","Crédit disponible"
"Credit Limit","Limite de crédit"
"Charged off the company credit","Chargé du crédit de la société"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Le crédit de la société pour toutes les sociétés sélectionnées sera converti en utilisant le taux ci-dessous. Cette opération ne peut pas être annulée."
"Credit allocated to %company_name","Crédit alloué à %company_name"
"Dear %name,","Cher %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Il a été alloué à votre société un crédit de %available_credit."
"The history of your credit operations is available on the Company Credit page.","L'historique de vos opérations de crédit est disponible sur la page 'Crédit de la société'."
"%company_name account reimbursed","Le compte %company_name a été remboursé"
"Your company credit account has been reimbursed by %reimbursed_amount.","Le compte de crédit de votre société a reçu un remboursement de %reimbursed_amount."
"If you have any questions, please contact the seller.","Si vous avez des questions, veuillez contacter le vendeur."
"%company_name credit limit updated","Limite de crédit de la société %company_name mise à jour"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Votre limite de crédit a été mise à jour et est maintenant de %available_credit.
  Votre solde impayé est maintenant de %outstanding_balance. Vous êtes à %exceed_limit de dépasser votre limite de crédit."
"Order %order_id refunded","Commande %order_id remboursée"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Un remboursement de %refunded_amount a été créé pour la commande #%order_id. Ce montant a été appliqué au crédit de la société."
"Order %order_id reverted","Commande %order_id extournée"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Votre commande n° %order_id a été annulée. Son montant a été reversé au crédit de la société."
"Available Credit ","Crédit disponible "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Le mode de paiement sur compte n'est pas disponible dans la devise choisie. Merci de contacter le vendeur."
"Company credit account will be charged: ","Le compte de crédit de la société sera débité de : "
"Place Order","Passez la commande"
"Cancel the Order","Annuler la commande"
"This is a required field.","Ce champ est obligatoire."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide dans ce champ."
"{oldCur}/{newCur} Rate","Taux {oldCur} / {newCur}"
"Reimburse","Rembourser"
"Save","Sauvegarder"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9), un tiret '-' ou une barre oblique '/' dans ce champ."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","La limite de crédit de %s est %s. Il sera dépassé par %s avec cette commande."
"Payment on Account","Paiement sur le compte"
"Enabled","Activé"
"New Order Status","Statut d'une nouvelle commande"
"Sort Order","Ordre de tri"
"Title","Titre"
"Payment from Applicable Countries","Mode de paiement autorisé pour les pays concernés"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Minimum Order Total","Total minimum d'une commande"
"Maximum Order Total","Total maximum d'une commande"
"Company Credit Change Email Sender","Modifier l'expéditeur de l'email de la compagnie de crédit"
"Send Company Credit Change Email Copy To","Envoyer copie d’Email de changement compagnie crédit à"
"Comma-separated","Séparées par des virgules"
"Send Email Copy Method","Mode d'envoi d'une copie de courriel"
"Allocated Email Template","Sélectionner le modèle d'email"
"This email is sent to the Company Admin.","Cet email est envoyé à l'administrateur de la compagnie."
"Updated Email Template","Éditer le gabarit de l'email"
"Reimbursed Email Template","Gabarit d'email de remboursement"
"Refunded Email Template","Gabarit d'email de remboursement"
"Reverted Email Template","Gabarit d'email de d'annulation de crédit"
"View","Voir"
"Credit Currency","Devise du crédit"
"Allow To Exceed Credit Limit","Autoriser à excéder la limite de crédit"
"Reason For Change","Raison du changement"
"Amount","Montant"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limite une PO par remboursement de transaction
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maximum de 255 caractères autorisés.
                        "
"Comment","Commentaire"
"Rate","Taux"
"Convert Credit","Convertir crédit"
"Date","Date"
"Operation","Opération"
"Updated By","Mis à jour par"
"Purchase Order","Bon de commande"
"You will be charged for","Vous serez redevable de"
"Order Total","Total de la commande"
"%fieldName is a required field.","%fieldName est un champ obligatoire."
