"Reimburse Balance","بازپرداخت تتمه حساب"
"Could not save history","نمی توان تاریخچه را ذخیره کرد"
"Cannot delete history with id %1","نمیتوان تاریخچه با شناسه %1 را حذف کرد"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue وجود ندارد"
"Could not save company credit limit","Could not save company credit limit"
"Invalid value of ""%value"" provided for the %fieldName field.","مقدار نامعتبر ""%value"" برای فیلد %fieldName ارائه شده است."
"Please enter a valid %1/%2 currency rate.","لطفا یک مقدارمعتبر %1/%2 نرخ ارز وارد کنید."
"Invoice created for %1","فاکتور ایجاد شده برای %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","ارز اعتباری انتخاب شده معتبر نیست. 
                        تا زمانی که ارز اعتباری را به روز رسانی نکرده اید مشتریان قادر به ثبت سفارشات نخواهند بود."
"Store Credit","اعتبار فروشگاه"
"Refund to Company Credit","بازپرداخت به اعتبار شرکت"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","ما %1 را آنلاین مسترد کردیم."
"We refunded %1 offline.","ما %1 را آفلاین مسترد کردیم."
"We refunded %1 to the company credit.","ما %1 را به اعتبار شرکت مسترد کردیم."
"Exception message.","Exception message."
"Exception Message","پیغام استثنا"
"No such entity","چنین چیزی وجود ندارد"
"Edit","ويرايش"
"%1 made an update. %2 can exceed the Credit Limit.","%1 روز رسانی شده است. %2 می تواند از سقف اعتبار موجود تجاوز کند."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 روز رسانی شده است. %2 نمی تواند از سقف اعتبار موجود تجاوز کند."
"Order # %1","سفارش # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 ارز اعتباری را با نرخ تبدیل %2/%3 %4 از %2 به %3 تغییر داد."
"Outstanding Balance:","مانده حساب:"
"Available Credit:","اعتبار موجود:"
"Credit Limit:","سقف اعتبار:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","%1 از اعتبار شرکت کسر شد."
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","ارز پایه برای %1 به روز شد. ارز %2 هم چنان به عنوان ارز اعتباری برای یک شرکت یا بیشتر تعریف شده است. از این <a href=""%3"" id=""update-credit-link"">لینک</a> جهت فعالسازی ارز اعتباری برای شرکت های مذکور استفاده کنید."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 از سقف اعتباری (%2) به میزان %3 فراتر رفته است. مانده حساب شما با احتساب این سفارش مجموعا %4 خواهد بود."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","سقف اعتبار برای %1، %2 است. مانده حساب شما با احتساب این سفارش، در حال حاضر مجموعا %3 است"
"Outstanding Balance","مانده حساب"
"Available Credit","اعتبار موجود"
"Credit Limit","سقف اعتبار"
"Charged off the company credit","از اعتبار شرکت کسر شد"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","اعتبار شرکت در همه شرکت های انتخاب شده بر اساس نرخ زیر تبدیل خواهد شد. این عملیات برگشت پذیر نیست."
"Credit allocated to %company_name","اعتبار اختصاص داده شده به %company_name"
"Dear %name,","%name گرامی,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","شرکت شما مقدار %available_credit اعتبار اختصاص داده است.
    هم اکنون می توانید از روش پرداخت اعتباری برای ثبت سفارشات خود استفاده کنید."
"The history of your credit operations is available on the Company Credit page.","تاریخچه عملیات اعتباری شما در صفحه اعتباری شرکت موجود است."
"%company_name account reimbursed","حساب شرکت %company_name بازپرداخت شد"
"Your company credit account has been reimbursed by %reimbursed_amount.","حساب اعتباری شرکت شما reimbursed_amount را بازپرداخت کرده است."
"If you have any questions, please contact the seller.","اگر سؤالی دارید، لطفا با فروشنده تماس بگیرید."
"%company_name credit limit updated","سقف اعتباری شرکت %company_name به روز شد"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","سقف اعتبار شما به روز شده است و در حال حاضر %available_credit است.
    مانده حساب شما در حال حاضر مجموعا %outstanding_balance است. شما تا %exceed_limit می توانید از اعتبار خود استفاده است."
"Order %order_id refunded","سفارش %order_id مسترد شد"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","بازپرداختی به میزان % refunded_amount برای سفارش #%order_id صادر شده است. این مقدار به اعتبار شرکت افزوده خواهد شد."
"Order %order_id reverted","سفارش %order_id بازگشت داده شد"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","سفارش #%order_id شما لغو شده است. مبلغ سفارش به اعتبار شرکت باز خواهد گشت."
"Available Credit ","اعتبار موجود "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","پرداخت به روش اعتباری در کشور انتخاب شده قابل انجام نیست. لطفا با فروشنده تماس بگیرید."
"Company credit account will be charged: ","از حساب اعتباری شرکت به این میزان کسر خواهد شد: "
"Place Order","ایجاد سفارش"
"Cancel the Order","لغو سفارش"
"This is a required field.","این فیلد الزامی است."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"{oldCur}/{newCur} Rate","{oldCur} / {newCur} نرخ تبدیل"
"Reimburse","بازپرداخت"
"Save","ذخيره"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","لطفا فقط از حروف (a-z یا A-Z)، اعداد (0-9)، فاصله (-) یا (/) در این فیلد استفاده کنید."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","سقف اعتبار %s، %s است. این سفارش به میزان %s از سقف اعتبار فراتر خواهد رفت."
"Payment on Account","پرداخت با حساب"
"Enabled","فعال"
"New Order Status","وضعيت سفارش جديد"
"Sort Order","ترتيب سفارش"
"Title","عنوان"
"Payment from Applicable Countries","پرداخت از کشورهای قابل قبول"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Minimum Order Total","مجموع حداقل تعداد سفارش"
"Maximum Order Total","مجموع حداکثر تعداد سفارش"
"Company Credit Change Email Sender","فرستنده ایمیل تغییر اعتبار شرکت"
"Send Company Credit Change Email Copy To","کپی ایمیل تغییر اعتبار شرکت را بفرست به"
"Comma-separated","جدا شده با کاما"
"Send Email Copy Method","روش ارسال کپی ایمیل"
"Allocated Email Template","قالب ایمیل اختصاص داده شده"
"This email is sent to the Company Admin.","این ایمیل برای مدیریت شرکت ارسال می شود."
"Updated Email Template","قالب ایمیل به روز شده"
"Reimbursed Email Template","قالب ایمیل بازپرداخت"
"Refunded Email Template","قالب ایمیل استرداد"
"Reverted Email Template","قالب ایمیل برگشت داده شده"
"View","مشاهده"
"Credit Currency","ارز اعتباری"
"Allow To Exceed Credit Limit","اجازه بده تا از سقف اعتبار فراتر رود"
"Reason For Change","علتی برای تغییر"
"Amount","مبلغ"
"
                            Limit one PO number per reimburse transaction
                        ","
یک کد پستی برای هر تراکنش
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                حداكثر 255 کاراکتر مجاز است.
                        "
"Comment","نظر"
"Rate","نرخ"
"Convert Credit","تبدیل اعتبار"
"Date","تاریخ"
"Operation","عملیات"
"Updated By","به روز شده توسط"
"Purchase Order","Purchase Order"
"You will be charged for","شما شارژ خواهد شد برای"
"Order Total","مجموع سفارش"
"%fieldName is a required field.","%fieldName is a required field."
