"Reimburse Balance","Reembolsar Saldo"
"Your company credit account has been reimbursed by %reimbursed_amount.","Su cuenta de crédito de la empresa ha sido reembolsada por %reimbursed_amount."
"If you have any questions, please contact the seller.","Si tiene alguna pregunta, por favor contacte con el vendedor."
"%company_name credit limit updated","El límite de crédito de %company_name se ha actualizado"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Su límite de crédito se ha actualizado y ahora es %available_credit.
    Su saldo pendiente asciende actualmente a %outstanding_balance. Esta a %exceed_limit de exceder el límite de crédito."
"Order %order_id refunded","Pedido %order_id reembolsado"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Un reembolso de %refunded_amount se ha hecho en el pedido #%order_id. Esta cantidad se ha aplicado al crédito de la empresa."
"Order %order_id reverted","Pedido %order_id reembolsado"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Se ha cancelado su pedido #%order_id. La cantidad de pedido se devolvió al crédito de la empresa."
"Available Credit ","Crédito Disponible "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","El pago en el método A Cuenta no está disponible en la moneda seleccionada. Por favor, póngase en contacto con el vendedor."
"Company credit account will be charged: ","Se cargará a la cuenta de crédito de la empresa: "
"Place Order","Realizar pedido"
"Cancel the Order","Cancelar Pedido"
"This is a required field.","Campo obligatorio."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"{oldCur}/{newCur} Rate","Tasa {oldCur}/{newCur}"
"Reimburse","Reembolsar"
"Save","Guardar"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Utilice sólo letras (a-z o A-z), números (0-9), guión (-) o barra (/) en este campo."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","El limite de credito para %s es %s. Será sobrepasado en %s para este pedido."
"Payment on Account","Pago A Cuenta"
"Enabled","Habilitado"
"New Order Status","Nuevo estado del pedido"
"Sort Order","Orden de aparición"
"Title","Título"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Minimum Order Total","Total mínimo del pedido"
"Maximum Order Total","Total máximo del pedido"
"Company Credit Change Email Sender","Remitente email de la empresa de credito"
"Send Company Credit Change Email Copy To","Enviar copia del crédito de la empresa por email a"
"Comma-separated","Separados por comas"
"Send Email Copy Method","Enviar copia por email del método"
"Allocated Email Template","Plantilla de correo electrónico asignada"
"This email is sent to the Company Admin.","Este email se ha enviado al Admin de la empresa."
"Updated Email Template","Plantilla del email actualizada"
"Reimbursed Email Template","Volver a la anterior plantilla de email"
"Refunded Email Template","Devolver plantilla del email"
"Reverted Email Template","Revertir plantilla del email"
"View","Ver"
"Credit Currency","Moneda de Crédito"
"Allow To Exceed Credit Limit","Permitir Exceder el Límite del Crédito"
"Reason For Change","Razón del Cambio"
"Amount","Importe"
"
                            Limit one PO number per reimburse transaction
                        ","
Limit one PO number per reimburse transaction
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Máximo 255 caracteres permitidos.
                        "
"Comment","Comentario"
"Rate","Tasa"
"Convert Credit","Convertir Crédito"
"Date","Fecha"
"Operation","Operación"
"Updated By","Actualizado por"
"Purchase Order","Orden de compra"
"You will be charged for","Se le cobrará por"
"Order Total","Total del pedido"
"%fieldName is a required field.","%fieldName es un campo obligatorio."
