"Reimburse Balance","Надокнади салдо"
"Charged off the company credit","Наплаћено са кредита компаније"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Тхе Компанија цредит он алл селецтед цомпаниес wилл бе цонвертед усинг тхе рате белоw. Тхис оператион не може бе ундоне."
"Credit allocated to %company_name","Credit allocated to %company_name"
"Dear %name,","Dear %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Вашој компанији је додељен кредит од %аваилабле_цредит.
    Сада можете користити метод плаћања на рачун за наручивање."
"The history of your credit operations is available on the Company Credit page.","Тхе хисторy оф yоур цредит оператионс ис аваилабле он тхе Кредит компаније паге."
"%company_name account reimbursed","%company_name account reimbursed"
"Your company credit account has been reimbursed by %reimbursed_amount.","Yоур цомпанy цредит аццоунт је реимбурсед бy %реимбурсед_амоунт."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"%company_name credit limit updated","%company_name credit limit updated"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Ваш кредитни лимит је ажуриран и сада износи %аваилабле_цредит.
    Ваше неизмирено стање тренутно износи %оутстандинг_баланце. Можете %еxцеед_лимит да прекорачите кредитни лимит."
"Order %order_id refunded","Поруџбина %ордер_ид рефундед"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","А рефунд оф %рефундед_амоунт је иссуед он ордер #%ордер_ид. Тхис амоунт је апплиед то тхе цомпанy цредит."
"Order %order_id reverted","Поруџбина %ордер_ид ревертед"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Yоур ордер #%ордер_ид је цанцеллед. Тхе ордер амоунт ревертед то тхе цомпанy цредит."
"Available Credit ","Расположиви кредит"
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Тхе Плаћање он Налог метход ис нот аваилабле ин тхе селецтед цурренцy. Плеасе цонтацт тхе селлер."
"Company credit account will be charged: ","Кредитни рачун компаније ће бити задужен:"
"Place Order","Поставите поруџбину"
"Cancel the Order","Откажи поруџбину"
"This is a required field.","Ово поље је неопходно."
"Please enter a valid number in this field.","Молимо унесите важећи број у ово поље."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Rate"
"Reimburse","Надокнади"
"Save","Сачувај"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","The credit limit for %s is %s. It will be exceeded by %s with this order."
"Payment on Account","Плаћање на рачун"
"Enabled","Омогућено"
"New Order Status","Нови статус поруџбине"
"Sort Order","Редослед поруџбина"
"Title","Наслов"
"Payment from Applicable Countries","Плаћања из приваћених земаља"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Minimum Order Total","Минимална вредност поруџбине"
"Maximum Order Total","Максимална вредност поруџбине"
"Company Credit Change Email Sender","Пошиљалац емаила о промени кредита компаније"
"Send Company Credit Change Email Copy To","Пошаљи Кредит компаније Цханге Е-пошта Копирај То"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Метод слања копије емаила"
"Allocated Email Template","Шаблон емаила доделе"
"This email is sent to the Company Admin.","Тхис емаил ис сент то тхе Компанија Админ."
"Updated Email Template","Шаблон емаила ажурирања"
"Reimbursed Email Template","Шаблон емаила надокнаде"
"Refunded Email Template","Шаблон емаила рефундације"
"Reverted Email Template","Шаблон емаила враћања"
"View","Преглед"
"Credit Currency","Валута кредита"
"Allow To Exceed Credit Limit","Дозволи прекорачење кредитног лимита"
"Reason For Change","Разлог за промену"
"Amount","Износ"
"
                            Limit one PO number per reimburse transaction
                        ","Лимит оне ПО нумбер пер реимбурсе трансацтион"
"
                                Maximum 255 characters are allowed.
                        ","Маxимум 255 цхарацтерс аре аллоwед."
"Comment","Коментар"
"Rate","Rate"
"Convert Credit","Конвертуј кредит"
"Date","Датум"
"Operation","Operation"
"Updated By","Ажурирао"
"Purchase Order","Набавна поруџбина"
"You will be charged for","Бићете наплаћени за"
"Order Total","Укупан износ"
"%fieldName is a required field.","%фиелд назив је обавезно поље."
