"Reimburse Balance","ශේෂය ප්‍රතිපූරණය කරන්න"
"No such entity","එවැනි ආයතනයක් නැත"
"Edit","සංස්කරණය කරන්න"
"%1 made an update. %2 can exceed the Credit Limit.","%1 යාවත්කාලීන කිරීමක් කළා. %2 ණය සීමාව ඉක්මවිය හැක."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 යාවත්කාලීන කිරීමක් කළා. %2 ණය සීමාව ඉක්මවිය නොහැක."
"Order # %1","ඇණවුම # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 ණය මුදල %2 සිට %3 %4%2%3 වෙනස් කළේය."
"Outstanding Balance:","කැපී පෙනෙන ශේෂය:"
"Available Credit:","ලබා ගත හැකි ණය:"
"Credit Limit:","ණය සීමාව:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","සමාගමේ ණය අයකිරීම: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","%1 සඳහා මූලික මුදල් යාවත්කාලීන කර ඇත. මුදල් %2 තවමත් සමාගම් එකක් හෝ කිහිපයක් සඳහා ණය මුදල් ලෙස අර්ථ දක්වා ඇත. එම සමාගම් සඳහා ණය මුදල් යාවත්කාලීන කරන තොග</a> සිදු කිරීමට පහත සබැඳි <a href=""%3"" id=""update-credit-link"">භාවිතා කරන්න."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 එහි ණය සීමාව (%2) %3කින් ඉක්මවා ඇත. මෙම ඇණවුම ඇතුළුව එහි හිඟ ශේෂය දැනට එකතුව %4යි."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","%1 සඳහා ණය සීමාව %2වේ. මෙම ඇණවුම ඇතුළුව එහි හිඟ ශේෂය දැනට %3කි"
"Outstanding Balance","කැපී පෙනෙන ශේෂය"
"Available Credit","ලබා ගත හැකි ණය"
"Credit Limit","ණය සීමාව"
"Charged off the company credit","සමාගමේ ණය අයකර ඇත"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","තෝරාගත් සියලුම සමාගම්වල සමාගම් ණය පහත අනුපාතය භාවිතයෙන් පරිවර්තනය කරනු ලැබේ. මෙම මෙහෙයුම පසුගමනය කළ නොහැක."
"Credit allocated to %company_name","%company_name වෙත ණය වෙන් කර ඇත"
"Dear %name,","හිතවත් %nam,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","ඔබේ සමාගමට %available_credit ක ණයක් වෙන් කර ඇත.
    ඔබට දැන් ඔබට ඇණවුම් කිරීමට ගිණුම් මත ගෙවීම් ක්‍රමය භාවිතා කළ හැක."
"The history of your credit operations is available on the Company Credit page.","ඔබේ ණය මෙහෙයුම් ඉතිහාසය සමාගම් ණය පිටුවේ ඇත."
"%company_name account reimbursed","%company_name ගිණුමක් ප්‍රතිපූරණය කරන ලදී"
"Your company credit account has been reimbursed by %reimbursed_amount.","ඔබේ සමාගමේ ණය ගිණුම %reimbursed_amount මගින් ප්‍රතිපූරණය කර ඇත."
"If you have any questions, please contact the seller.","ඔබට කිසියම් ප්රශ්නයක් ඇත්නම්, කරුණාකර විකුණුම්කරු අමතන්න."
"%company_name credit limit updated","%company_name ණය සීමාව යාවත්කාලීන කරන ලදී"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","ඔබගේ ණය සීමාව යාවත්කාලීන කර ඇති අතර දැන් %available_credit වේ.
    ඔබගේ හිඟ ශේෂය දැනට utstanding_balance %oකි. ණය සීමාව ඉක්මවීමට ඔබ %exceed_limit වේ."
"Order %order_id refunded","ඇණවුම %order_id ආපසු ගෙවන ලදී"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","#%order_id ඇණවුම මත ආපසු ගෙවන ලද_මුදල් ආපසු ගෙවීමක් නිකුත් කර ඇත. මෙම මුදල සමාගමේ ණය සඳහා යොදවා ඇත."
"Order %order_id reverted","ඇණවුම %order_id ප්‍රතිවර්තනය කරන ලදී"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","ඔබගේ ඇණවුම #%order_id අවලංගු කර ඇත. ඇණවුමේ මුදල සමාගමේ ණය වෙත ආපසු ලබා දෙන ලදී."
"Available Credit ","ලබා ගත හැකි ණය "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","ගිණුම මත ගෙවීමේ ක්‍රමය තෝරාගත් මුදලින් නොමැත. කරුණාකර විකුණුම්කරු අමතන්න."
"Company credit account will be charged: ","සමාගමේ ණය ගිණුම අය කරනු ලැබේ: "
"Place Order","ඇනවුම කරන්න"
"Cancel the Order","ඇණවුම අවලංගු කරන්න"
"This is a required field.","මෙය අවශ්ය ක්ෂේත්රයකි."
"Please enter a valid number in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ වලංගු අංකයක් ඇතුළත් කරන්න."
"{oldCur}/{newCur} Rate","{oldCur}{newCur}"
"Reimburse","ආපසු ගෙවන්න"
"Save","සුරකින්න"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අකුරු (az හෝ AZ), අංක (0-9), ඉර (-) හෝ slash (/) පමණක් භාවිතා කරන්න."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","%s සඳහා ණය සීමාව %sවේ. මෙම ඇණවුම සමඟ එය %s කින් ඉක්මවනු ඇත."
"Payment on Account","ගිණුම මත ගෙවීම"
"Enabled","සබල කර ඇත"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Title","ශීර්ෂය"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Minimum Order Total","අවම ඇණවුම මුළු"
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Company Credit Change Email Sender","සමාගම් ණය වෙනස් කිරීම ඊමේල් යවන්නා"
"Send Company Credit Change Email Copy To","සමාගමේ ණය වෙනස් කිරීමේ ඊමේල් පිටපතක් යවන්න"
"Comma-separated","කොමාවකින් වෙන් කරන ලද"
"Send Email Copy Method","ඊමේල් පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Allocated Email Template","වෙන් කරන ලද විද්‍යුත් තැපැල් අච්චුව"
"This email is sent to the Company Admin.","මෙම විද්‍යුත් තැපෑල සමාගම් පරිපාලක වෙත යවනු ලැබේ."
"Updated Email Template","යාවත්කාලීන කරන ලද විද්‍යුත් තැපැල් අච්චුව"
"Reimbursed Email Template","ප්‍රතිපූරණය කරන ලද විද්‍යුත් තැපැල් අච්චුව"
"Refunded Email Template","ආපසු ගෙවන ලද ඊමේල් ආකෘතිය"
"Reverted Email Template","ප්‍රතිවර්තිත විද්‍යුත් තැපැල් අච්චුව"
"View","දැක්ම"
"Credit Currency","ණය මුදල්"
"Allow To Exceed Credit Limit","ණය සීමාව ඉක්මවා යාමට ඉඩ දෙන්න"
"Reason For Change","වෙනස් වීමට හේතුව"
"Amount","ප්රමාණය"
"
                            Limit one PO number per reimburse transaction
                        ","
                            ප්‍රතිපූරණ ගනුදෙනුවකට එක් PO අංකයක් සීමා කරන්න
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                උපරිම අනුලකුණු 255කට අවසර ඇත.
                        "
"Comment","අදහස් දක්වන්න"
"Rate","අගය කරන්න"
"Convert Credit","ණය පරිවර්තනය කරන්න"
"Date","දිනය"
"Operation","මෙහෙයුම්"
"Updated By","විසින් යාවත්කාලීන කරන ලදී"
"Purchase Order","Purchase Order"
"You will be charged for","ඔබට අය කරනු ලැබේ"
"Order Total","මුළු ඇණවුම"
"%fieldName is a required field.","%fieldName is a required field."
