"Reimburse Balance","Rückerstattungssaldo"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","Eine Rechnung für Teilmengen kann für diese Bestellung nicht ausgestellt werden. Um fortzufahren, ändern Sie die angegebene Menge auf die volle Menge."
"We refunded %1 online.","Es wurden %1 online erstattet."
"We refunded %1 offline.","Es wurden %1 offline erstattet."
"We refunded %1 to the company credit.","Wir haben %1 auf den Firmenkredit erstattet."
"Exception message.","Fehlermeldung."
"Exception Message","Fehlermeldung"
"No such entity","Keine solche Einheit:"
"Edit","Bearbeiten"
"%1 made an update. %2 can exceed the Credit Limit.","%1 hat ein Update gemacht. %2 kann das Kreditlimit überschreiten."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 hat ein Update gemacht. %2 kann das Kreditlimit nicht überschreiten."
"Order # %1","Bestellung # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 hat die Kreditwährung von %2 auf %3 zum Umrechnungskurs von %2/%3 %4 geändert."
"Outstanding Balance:","Offener Betrag:"
"Available Credit:","Verfügbarer Kredit:"
"Credit Limit:","Kreditrahmen:"
"Purchase Order Number","Bestellnummer"
"Charged off the company credit: %1","Vom Firmenkredit wird abgerechnet: %1"
"Purchase Order Number: %1","Auftragsnummer: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Die Basiswährung für %1 wurde aktualisiert. Die Währung %2 ist noch als Kreditwährung für ein oder mehrere Unternehmen definiert. Benutzen Sie den folgenden <a href=""%3"" id=""update-credit-link"">Link</a> , um eine Massenaktion durchzuführen, die die Kreditwährung für diese Unternehmen aktualisiert."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 hat den Kreditrahmen (%2) um %3 überzogen. Die ausstehende Summe, inklusive dieser Bestellung, beträgt aktuell %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Der Kreditrahmen für %1 ist %2. Die ausstehende Summe, inklusive dieser Bestellung, beträgt aktuell %3"
"Outstanding Balance","Offener Betrag"
"Available Credit","Verfügbarer Kredit"
"Credit Limit","Kreditrahmen"
"Charged off the company credit","Vom Firmenkredit abgerechnet"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Die Firmenkredite aller ausgewählten Firmen wird anhand dieses Kurses umgerechnet. Dieser Vorgang kann nicht rückgängig gemacht werden."
"Credit allocated to %company_name","Kredit zugewiesen zu %company_name"
"Dear %name,","Hallo %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Ihrem Unternehmen wurde ein Kreditlimit von %available_credit zugewiesen.
    Sie können nun die Zahlungsart Kauf auf Rechnung verwenden, um Ihre Bestellungen zu tätigen."
"The history of your credit operations is available on the Company Credit page.","Die Historie Ihrer Kreditbuchungen ist auf der Firmenkredit-Seite verfügbar."
"%company_name account reimbursed","%company_name Konto erstattet"
"Your company credit account has been reimbursed by %reimbursed_amount.","Ihrem Firmenkreditkonto wurde der Betrag %reimbursed_amount gutgeschrieben."
"If you have any questions, please contact the seller.","Wenn Sie Fragen haben, kontaktieren Sie bitte den Verkäufer."
"%company_name credit limit updated","%company_name Kreditlimit aktualisiert"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Ihr Kreditlimit wurde aktualisiert und ist jetzt %available_credit.
    Ihr offener Betrag beträgt derzeit %outstanding_balance. Sie sind %exceed_limit, um das Kreditlimit zu überschreiten."
"Order %order_id refunded","Bestellung %order_id erstattet"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Ein Betrag von %refunded_amount wurde für Bestellung #%order_id erstattet. Der Betrag wurde dem Firmenkredit hinzugefügt."
"Order %order_id reverted","Bestellung %order_id rückabgewickelt"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Ihre Bestellung #%order_id wurde storniert. Der Bestellbetrag wird wieder zum Firmenkredit gutgeschrieben."
"Available Credit ","Verfügbarer Kredit "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Die Zahlungsmethode Kauf auf Rechnung ist in der gewählten Währung nicht verfügbar. Bitte kontaktieren Sie den Verkäufer."
"Company credit account will be charged: ","Firmenkreditkonto wird belastet: "
"Place Order","Jetzt kaufen"
"Cancel the Order","Bestellung abbrechen"
"This is a required field.","Vervollständigen Sie bitte die notwendigen Angaben."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Nummer in dieses Feld ein."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Kurs"
"Reimburse","Erstatten"
"Save","Speichern"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Bitte benutzen Sie in diesem Feld nur Buchstaben (a-z oder A-Z), Zahlen (0-9), Strich (-) oder Schrägstrich (/)."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Das Kreditlimit für %s ist %s. Es wird mit dieser Bestellung um %s überschritten."
"Payment on Account","Kauf auf Rechnung"
"Enabled","Aktiviert"
"New Order Status","Neuer Bestellstatus"
"Sort Order","Sortierreihenfolge"
"Title","Titel"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Company Credit Change Email Sender","E-Mail-Absender für Änderungen des Firmenkredits"
"Send Company Credit Change Email Copy To","Kopie der E-Mail zu Änderungen des Firmenkredits versenden an"
"Comma-separated","Durch Kommata getrennt"
"Send Email Copy Method","Versandmethode der E-Mail-Kopie"
"Allocated Email Template","Zugewiesene E-Mail-Vorlage"
"This email is sent to the Company Admin.","Diese E-Mail wird an den Admin der Firma gesendet."
"Updated Email Template","Aktualisierte E-Mail-Vorlage"
"Reimbursed Email Template","Erstattungs Email Template"
"Refunded Email Template","Verrechnungs Email Template"
"Reverted Email Template","Rückabwicklungs Email Template"
"View","Anzeigen"
"Credit Currency","Kreditwährung"
"Allow To Exceed Credit Limit","Überschreiten des Kreditlimits erlauben"
"Reason For Change","Grund der Änderung"
"Amount","Betrag"
"
                            Limit one PO number per reimburse transaction
                        ","
Limit von einer Auftragsnummer pro Rückzahlungstransaktion
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maximal 255 Zeichen sind erlaubt.
                        "
"Comment","Kommentar"
"Rate","Satz"
"Convert Credit","Kredit konvertieren"
"Date","Datum"
"Operation","Vorgang"
"Updated By","Aktualisiert von"
"Purchase Order","Kauf auf Rechnung"
"You will be charged for","Es wird Ihnen berechnet werden"
"Order Total","Bestellsumme"
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
