"Reimburse Balance","Balans terugbetalen"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","De basisvaluta voor %1 is bijgewerkt. De valuta %2 wordt nog steeds gedefinieerd als de kredietvaluta voor een of meer bedrijven. Gebruik de volgende <a href=""%3"" id=""update-credit-link"">link</a> om bulkbewerkingen uit te voeren die de kredietvaluta voor die bedrijven bewerkt."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 heeft zijn kredietlimiet (%2) met %3 overschreden. Het uitstaande saldo, inclusief deze bestelling, bedraagt momenteel %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Het kredietlimiet voor %1 is %2. Het uitstaande saldo, inclusief deze bestelling, bedraagt momenteel %3"
"Outstanding Balance","Uitstaande saldo"
"Available Credit","Beschikbaar krediet"
"Credit Limit","Kredietlimiet"
"Charged off the company credit","Afgeschreven van het bedrijfskrediet"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Het bedrijfskrediet voor alle geselecteerde bedrijven zal worden omgezet met behulp van de onderstaande koers. Deze bewerking kan niet ongedaan worden gemaakt."
"Credit allocated to %company_name","Krediet toegekend aan %company_name"
"Dear %name,","Beste %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Je bedrijf heeft een krediet van %available_credit toegekend.
    Je kunt nu gebruik maken van betaal op rekening om je orders te plaatsen."
"The history of your credit operations is available on the Company Credit page.","De geschiedenis van je krediet-transacties is beschikbaar op de pagina Bedrijfskrediet."
"%company_name account reimbursed","%company_name account terugbetaald"
"Your company credit account has been reimbursed by %reimbursed_amount.","Het bedrijfskrediet is terugbetaald met %reimbursed_amount."
"If you have any questions, please contact the seller.","Wanneer je vragen heeft kan je contact opnemen met met de verkoper."
"%company_name credit limit updated","%company_name kredietlimiet bijgewerkt"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Je kredietlimiet is bijgewerkt en is nu %available_credit.
     Je openstaande saldo bedraagt momenteel %outstanding_balance. Je bent %exceed_limit vandaan om de kredietlimiet te overschrijden."
"Order %order_id refunded","Bestelling %order_id terugbetaald"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Op bestelling #%order_id is een restitutie van %refunded_amount uitgekeerd. Dit bedrag is toegepast op het bedrijfskrediet."
"Order %order_id reverted","Bestelling %order_id teruggedraaid"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Je bestelling #%order_id is geannuleerd. Het orderbedrag is teruggeplaatst naar het bedrijfskrediet."
"Available Credit ","Beschikbaar krediet "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Betaal op rekening is niet beschikbaar voor de geselecteerde valuta. Neem contact op met de verkoper."
"Company credit account will be charged: ","Bedrijfskrediet wordt in rekening gebracht: "
"Place Order","Plaats bestelling"
"Cancel the Order","Annuleer bestelling"
"This is a required field.","Dit is een verplicht veld."
"Please enter a valid number in this field.","Voer a.j.b. een geldig getal in dit veld in."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Koers"
"Reimburse","Vergoeden"
"Save","Opslaan"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9), streepje (-) of schuine streep (/) in dit veld."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","De kredietlimiet voor %s is %s. Bij deze bestelling wordt deze met %s overschreden."
"Payment on Account","Betaal op rekening"
"Enabled","Ingeschakeld"
"New Order Status","Nieuwe orderstatus"
"Sort Order","Sorteervolgorde"
"Title","Titel"
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Minimum Order Total","Minimum orderbedrag"
"Maximum Order Total","Maximum orderbedrag"
"Company Credit Change Email Sender","Bedrijfskrediet wijziging E-mail afzender"
"Send Company Credit Change Email Copy To","Sttur Bedrijfskrediet wijzigen E-mail kopie naar"
"Comma-separated","Komma gescheiden"
"Send Email Copy Method","Verzend methode voor kopie van e-mail"
"Allocated Email Template","Toegewezen E-mail sjabloon"
"This email is sent to the Company Admin.","Deze e-mail wordt verzonden naar de bedrijfsbeheerder."
"Updated Email Template","Bijgewerkt E-mail sjabloon"
"Reimbursed Email Template","Terugbetaald E-mail sjabloon"
"Refunded Email Template","Teruggestort E-mail sjabloon"
"Reverted Email Template","Teruggekeerd E-mail sjabloon"
"View","Bekijk"
"Credit Currency","Kredietvaluta"
"Allow To Exceed Credit Limit","Toestaan kredietlimiet te overschrijden"
"Reason For Change","Reden voor wijziging"
"Amount","Aantal"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Beperk tot één PO-nummer per terugbetalingstransactie
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maximaal 255 tekens zijn toegestaan.
                        "
"Comment","Opmerking"
"Rate","Ratio"
"Convert Credit","Krediet converteren"
"Date","Datum"
"Operation","Bewerking"
"Updated By","Bijgewerkt op"
"Purchase Order","Purchase Order"
"You will be charged for","Wij incasseren een bedrag van"
"Order Total","Totaal"
"%fieldName is a required field.","%fieldName is a required field."
