"Reimburse Balance","Refundere balanse"
"The selected currency is not available. Please select a different currency.","Den valgte valutaen er ikke tilgjengelig. Velg en annen valuta."
"Could not update history","Kan ikke oppdatere historie"
"Requested company is not found. Row ID: %fieldName = %fieldValue.","Finner ikke forespurt selskap. Rad-ID: %fieldName = %fieldValue."
"Cannot delete credit limit with id %1","Kan ikke slette kredittgrensen med Iden %1"
"Allocated","Tildelt"
"Updated","Oppdatert"
"Purchased","Kjøpt"
"Reimbursed","Reimbursed"
"Refunded","Refundert"
"Reverted","Reverted"
"Could not save history","Kan ikke lagre historie"
"Cannot delete history with id %1","Kan ikke slette historie med id %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Could not save company credit limit","Could not save company credit limit"
"Invalid value of ""%value"" provided for the %fieldName field.","Ugyldig verdi for ""% verdi"" gitt for feltet %fieldName."
"Please enter a valid %1/%2 currency rate.","Please enter a valid %1/%2 currency rate."
"Invoice created for %1","Invoice created for %1"
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency."
"Store Credit","Kreditt"
"Refund to Company Credit","Refund to Company Credit"
"An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity.","An invoice for partial quantities cannot be issued for this order. To continue, change the specified quantity to the full quantity."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"We refunded %1 to the company credit.","We refunded %1 to the company credit."
"Exception message.","Exception message."
"Exception Message","Exception Message"
"No such entity","Ingen slik entitet"
"Edit","Redigere"
"%1 made an update. %2 can exceed the Credit Limit.","%1 made an update. %2 can exceed the Credit Limit."
"%1 made an update. %2 cannot exceed the Credit Limit.","%1 made an update. %2 cannot exceed the Credit Limit."
"Order # %1","Ordre # %1"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4."
"Outstanding Balance:","Outstanding Balance:"
"Available Credit:","Available Credit:"
"Credit Limit:","Credit Limit:"
"Purchase Order Number","Innkjøpsordrenummer"
"Charged off the company credit: %1","Charged off the company credit: %1"
"Purchase Order Number: %1","Innkjøpsordrenummer: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3"
"Outstanding Balance","Outstanding Balance"
"Available Credit","Available Credit"
"Credit Limit","Credit Limit"
"Charged off the company credit","Charged off the company credit"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone."
"Credit allocated to %company_name","Credit allocated to %company_name"
"Dear %name,","Kjære %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders."
"The history of your credit operations is available on the Company Credit page.","The history of your credit operations is available on the Company Credit page."
"%company_name account reimbursed","%company_name account reimbursed"
"Your company credit account has been reimbursed by %reimbursed_amount.","Your company credit account has been reimbursed by %reimbursed_amount."
"If you have any questions, please contact the seller.","Hvis du har noen spørsmål, vennligst kontakt selgeren."
"%company_name credit limit updated","%company_name credit limit updated"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit."
"Order %order_id refunded","Order %order_id refunded"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit."
"Order %order_id reverted","Order %order_id reverted"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Your order #%order_id has been cancelled. The order amount reverted to the company credit."
"Available Credit ","Tilgjengelig Kreditt "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","The Payment on Account method is not available in the selected currency. Please contact the seller."
"Company credit account will be charged: ","Company credit account will be charged: "
"Place Order","Bestill"
"Cancel the Order","Fjern bestillingen"
"This is a required field.","Dette er et obligatorisk felt."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} Rate"
"Reimburse","Reimburse"
"Save","Lagre"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","The credit limit for %s is %s. It will be exceeded by %s with this order."
"Payment on Account","Payment on Account"
"Enabled","Aktivert"
"New Order Status","Ny ordrestatus"
"Sort Order","Sorteringsrekkefølge"
"Title","Tittel"
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Minimum Order Total","Minimum ordretotal"
"Maximum Order Total","Maks ordretotal"
"Company Credit Change Email Sender","Company Credit Change Email Sender"
"Send Company Credit Change Email Copy To","Send Company Credit Change Email Copy To"
"Comma-separated","Kommadelt"
"Send Email Copy Method","Send Email Copy Method"
"Allocated Email Template","Allocated Email Template"
"This email is sent to the Company Admin.","This email is sent to the Company Admin."
"Updated Email Template","Updated Email Template"
"Reimbursed Email Template","Reimbursed Email Template"
"Refunded Email Template","Refunded Email Template"
"Reverted Email Template","Reverted Email Template"
"View","Visning"
"Credit Currency","Credit Currency"
"Allow To Exceed Credit Limit","Allow To Exceed Credit Limit"
"Reason For Change","Årsaken til forandring"
"Amount","Antall"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limit one PO number per reimburse transaction
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maximum 255 characters are allowed.
                        "
"Comment","Kommentar"
"Rate","Rate"
"Convert Credit","Convert Credit"
"Date","Dato"
"Operation","Operasjon"
"Updated By","Updated By"
"Purchase Order","Innkjøpsordre"
"You will be charged for","Du vil bli belastet for"
"Order Total","Ordretotal"
"%fieldName is a required field.","%fieldName er et obligatorisk."
