"Reimburse Balance","残高を払い戻す"
"%1 changed the credit currency from %2 to %3 at the conversion rate of %2/%3 %4.","%1は、%2/%3 %4の換算率で、信用通貨を%2から%3に変更しました。"
"Outstanding Balance:","残高:"
"Available Credit:","利用可能なクレジット:"
"Credit Limit:","与信限度:"
"Purchase Order Number","Purchase Order Number"
"Charged off the company credit: %1","与信枠を償却しました: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","%1の基本通貨が更新されました。 通貨%2は、依然として1つ以上の会社の信用通貨として定義されています。 これらの会社の信用通貨を更新する一括操作を実行するには、次の<a href=""%3"" id=""update-credit-link"">リンク</a>を使用してください。"
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1が %3によって与信限度額（%2）を超えました。 この注文を含む未払いの残高は、現在合計で %4です。"
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","%1の与信限度額は%2です。 この注文を含む未払いの残高は、現在合計で%3です"
"Outstanding Balance","残高"
"Available Credit","利用可能なクレジット"
"Credit Limit","与信限度"
"Charged off the company credit","与信枠を償却"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","選択されたすべての企業に対する会社のクレジットは、以下の率で換算されます。 この操作は取り消せません。"
"Credit allocated to %company_name","クレジットが %company_name に割り当てられました"
"Dear %name,","こんにちは %name 様"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","あなたの会社には %available_credit のクレジットが割り当てられています。
    注文を確定するのに内金支払いを使用できます。"
"The history of your credit operations is available on the Company Credit page.","クレジット操作の履歴は、「会社クレジット」ページで利用できます。"
"%company_name account reimbursed","%company_name アカウントは払い戻しました。"
"Your company credit account has been reimbursed by %reimbursed_amount.","あなたの会社のクレジットアカウントは、%reimbursed_amount で払い戻されています。"
"If you have any questions, please contact the seller.","ご不明な点がございましたら、販売者にお問い合わせ下さい。"
"%company_name credit limit updated","%company_name の与信限度を更新しました"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","与信限度が更新され、現在は %available_creditです。
    現在の未払い残高は合計で %outstanding_balanceです。与信限度を越えるには %exceed_limit です。"
"Order %order_id refunded","注文 %order_id は払い戻しました"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","注文 %order_id で ％refunded_amountの払い戻しが行われました。 この金額は会社のクレジットに適用されています。"
"Order %order_id reverted","注文 %order_id は元に戻されました。"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","あなたの注文 #%order_id がキャンセルされました。 注文金額は会社のクレジットに戻りました。"
"Available Credit ","利用可能なクレジット "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","選択された通貨では「アカウントでの支払い」方法は利用できません。 販売業者にご連絡下さい。"
"Company credit account will be charged: ","会社のクレジットアカウントに請求されます: "
"Place Order","注文を確定する"
"Cancel the Order","注文をキャンセルする"
"This is a required field.","必須項目です"
"Please enter a valid number in this field.","正しい数字で入力してください。"
"{oldCur}/{newCur} Rate","{oldCur}/{newCur} レート"
"Reimburse","払い戻す"
"Save","保存"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","半角英数字またはダッシュ、スラッシュを使用してください。"
"The credit limit for %s is %s. It will be exceeded by %s with this order.","%s の与信限度は %s です。この注文で %s を超えます。"
"Payment on Account","内金支払い"
"Enabled","有効"
"New Order Status","新規注文ステータス"
"Sort Order","表示順"
"Title","タイトル"
"Payment from Applicable Countries","支払方法を適用できる国"
"Payment from Specific Countries","特定の国からの支払い"
"Minimum Order Total","注文合計最小値"
"Maximum Order Total","注文合計最大値"
"Company Credit Change Email Sender","会社クレジット変更メール送信者"
"Send Company Credit Change Email Copy To","会社クレジット変更コピーメール送信先"
"Comma-separated","カンマ区切り"
"Send Email Copy Method","コピーメール送信方法"
"Allocated Email Template","割り当てられたEメールテンプレート"
"This email is sent to the Company Admin.","このメールは会社管理者に送信されます。"
"Updated Email Template","メールテンプレートを更新"
"Reimbursed Email Template","払い戻されたEメールテンプレート"
"Refunded Email Template","払い戻されたEメールテンプレート"
"Reverted Email Template","元に戻すEメールテンプレート"
"View","表示"
"Credit Currency","信用通貨"
"Allow To Exceed Credit Limit","与信限度を超過することを許可する"
"Reason For Change","変更の理由"
"Amount","金額"
"
                            Limit one PO number per reimburse transaction
                        ","
                            払い戻しトランザクションごとに1つのPO番号を制限する
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                最大255文字を使用できます。
                        "
"Comment","コメント"
"Rate","レート"
"Convert Credit","クレジットを変換"
"Date","日付"
"Operation","処理"
"Updated By","更新者"
"Purchase Order","Purchase Order"
"You will be charged for","お支払いただく金額"
"Order Total","注文合計"
"%fieldName is a required field.","%fieldName is a required field."
