"Reimburse Balance","Nadoknadi saldo"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","The credit limit for %s is %s. It will be exceeded by %s with this order."
"Payment on Account","Plaćanje na račun"
"Enabled","Omogućeno"
"New Order Status","Novi status porudžbine"
"Sort Order","Redosled porudžbina"
"Title","Naslov"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Minimum Order Total","Minimalna vrednost porudžbine"
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Company Credit Change Email Sender","Pošiljalac emaila o promeni kredita kompanije"
"Send Company Credit Change Email Copy To","Pošalji Kredit kompanije Change E-pošta Kopiraj To"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Metod slanja kopije emaila"
"Allocated Email Template","Šablon emaila dodele"
"This email is sent to the Company Admin.","This email is sent to the Kompanija Admin."
"Updated Email Template","Šablon emaila ažuriranja"
"Reimbursed Email Template","Šablon emaila nadoknade"
"Refunded Email Template","Šablon emaila refundacije"
"Reverted Email Template","Šablon emaila vraćanja"
"View","Pregled"
"Credit Currency","Valuta kredita"
"Allow To Exceed Credit Limit","Dozvoli prekoračenje kreditnog limita"
"Reason For Change","Razlog za promenu"
"Amount","Iznos"
"
                            Limit one PO number per reimburse transaction
                        ","Limit one PO number per reimburse transaction"
"
                                Maximum 255 characters are allowed.
                        ","Maximum 255 characters are allowed."
"Comment","Komentar"
"Rate","Rate"
"Convert Credit","Konvertuj kredit"
"Date","Datum"
"Operation","Operation"
"Updated By","Ažurirao"
"Purchase Order","Nabavna porudžbina"
"You will be charged for","Bićete naplaćeni za"
"Order Total","Ukupan iznos"
"%fieldName is a required field.","%field naziv je obavezno polje."
