"Static Blocks","Bloki statyczne"
"To apply changes you should fill in hidden required ""%1"" field","Aby zastosować zmiany należy wypełnić ukryte wymagane pole ""%1"""
"You saved the page.","Strona została zapisana."
"You duplicated the page.","Strona została zduplikowana."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Katalog %1 jest w ścieżce katalogu głównego magazynu."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Upewnij się, że zawartość bloków statycznych nie odwołuje się do bloku."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Włączone domyślnie"
"Disabled by Default","Wyłączone domyślnie"
"Disabled Completely","Wyłączone kompletnie"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Ten identyfikator jest zarezerwowany dla ""CMS Brak Strony"" w konfiguracji."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Ten identyfikator jest zarezerwowany dla ""CMS Strona główna"" w konfiguracji."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Ten identyfikator jest zarezerwowany dla ""Pliki cookie na stronie CMS "" w konfiguracji."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Nie można zapisać strony: %1"
"Could not delete the page: %1","Nie można usunąć strony: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Identyfikator bloku o tych samych właściwościach już istnieje w wybranym sklepie."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Znaleźliśmy katalog o tej samej nazwie. Spróbuj inną nazwę folderu."
"We cannot create a new directory.","Nie możemy utworzyć nowego katalogu."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Nie możemy usunąć katalogu %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","Nie możemy teraz wgrać pliku."
"We can't delete root directory %1 right now.","Nie możemy teraz usunąć głównego katalogu %1."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Polityka prywatności i pliki cookie"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Nie można utworzyć katalogu."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Edytuj"
"Delete","Usuń"
"Delete %1","Usuń %1"
"Are you sure you want to delete a %1 record?","Czy na pewno chcesz usunąć rekord ""%1""?"
"All Store Views","Wszystkie widoki sklepu"
"View","Zobacz"
"px.","px."
"No files found","Nie znaleziono plików"
"Upload Images","Upload Images"
"Collapse All","Zwiń wszystko"
"Expand All","Rozwiń wszystko"
"Save Page","Zapisz stronę"
"Edit Page Design","Edit Page Design"
"Media Gallery","Galeria multimediów"
"Content Management","Zarządzanie treścią"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","Strona główna CMS"
"CMS No Route Page","Strona CMS Brak przekierowania"
"CMS No Cookies Page","Strona CMS Brak cookie"
"Show Breadcrumbs for CMS Pages","Pokaż ścieżki powrotu (okruszki) dla stron CMS"
"Browser Capabilities Detection","Wykrywanie możliwości przeglądarki"
"Redirect to CMS-page if Cookies are Disabled","Przekieruj do strony CMS jeśli cookies są wyłączone"
"Show Notice if JavaScript is Disabled","Pokaż komunikat jeśli JavaScript jest wyłączony"
"Show Notice if Local Storage is Disabled","Pokaż informację jeśli lokalna baza danych jest niedostępna"
"Default Page Layout","Domyślny układ strony"
"WYSIWYG Options","Opcje WYSIWYG"
"Enable WYSIWYG Editor","Włącz edytor"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","Link strony CMS"
"Link to a CMS Page","Link do strony CMS"
"CMS Page","Strona CMS"
"Select Page...","Wybierz stronę..."
"Anchor Custom Text","Własny tekst kotwicy"
"If empty, the Page Title will be used","Tytuł strony zostanie użyty, jeśli puste"
"Anchor Custom Title","Własny tytuł kotwicy"
"Template","Szablon"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"CMS Static Block","Blok statyczny CMS"
"Contents of a Static Block","Zawartość bloku statycznego"
"Block","Blok"
"Select Block...","Wybierz blok..."
"CMS Static Block Default Template","Domyślny szablon blokowy statycznego bloku CMS"
"General Information","Ogólne"
"Enable Block","Włącz blok"
"Block Title","Tytuł bloku"
"Are you sure you want to delete selected items?","Czy na pewno chcesz usunąć wszystkie zaznaczone towary?"
"Delete items","Usuń pozycje"
"Page Information","Informacje o stronie"
"Enable Page","Włącz stronę"
"Content","Zawartość"
"Content Heading","Nagłowek treści"
"Search Engine Optimization","Optymalizacja dla wyszukiwarek"
"Meta Title","Meta tytuł"
"Meta Keywords","Słowa kluczowe"
"Meta Description","Opis strony META"
"Page in Websites","Strona w stronach internetowych"
"Design","Wygląd"
"Layout Update XML","XML aktualizacji układu"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Własne zmiany w projekcie"
"From","Od"
"To","Do"
"New Theme","Nowy temat"
"-- Please Select --","-- Prosimy wybrać --"
"New Layout","Nowy układ"
"Disable","Wyłącz"
"Enable","Włącz"
"Custom design from","Własne zmiany od"
"Custom design to","Własne zmiany do"
"Custom Theme","Indywidualny motyw graficzny"
"Custom Layout","Indywidualny układ"
