"Static Blocks","بلوک های ایستا"
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","این شناسه برای ""CMS بدون صفحه کوکی"" در پیکربندی ذخیره شده است."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","صفحه %1 ذخیره نشد"
"Could not delete the page: %1","صفحه %1 حذف نشد"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","در فروشگاه انتخاب شده یک شناسه با مشخصات یکسان وجود دارد."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","ما یک پوشه با همین نام پیدا کردیم. لطفا نام دیگری را امتحان کنید."
"We cannot create a new directory.","ما نمی توانیم یک پوشه جدید ایجاد کنیم."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","ما نمی توانیم پوشه %1 را حذف کنیم."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","اکنون نمیتوانیم فایل را بارگیری کنیم."
"We can't delete root directory %1 right now.","ما اکنون نمی توانیم ریشه دایرکتوری %1 را حذف کنیم."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","سیاست حریم خصوصی و کوکی"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","استثناء محلی"
"Error","Error"
"Could not create a directory.","نمی توانید پوشه ایجاد نمایید."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","ويرايش"
"Delete","حذف"
"Delete %1","حذف %1"
"Are you sure you want to delete a %1 record?","آیا مطمئن هستید که میخواهید رکورد %1 را حذف کنید؟"
"All Store Views","همه‌ی نماهای فروشگاه"
"View","مشاهده"
"px.","پیکسل."
"No files found","فایلی یافت نشد"
"Upload Images","Upload Images"
"Collapse All","بستن همه"
"Expand All","باز کردن همه"
"Save Page","ذخیره صفحه"
"Edit Page Design","Edit Page Design"
"Media Gallery","گالری رسانه"
"Content Management","مدیریت محتوا"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","صفحه اصلی سیستم مدیریت محتوا"
"CMS No Route Page","سیستم مدیریت محتوا بدون مسیر صفحه"
"CMS No Cookies Page","سیستم مدیریت محتوا بدون صفحه کوکی ها"
"Show Breadcrumbs for CMS Pages","نمایش نشانگر صفحات برای صفحات CMS"
"Browser Capabilities Detection","تشخیص قابلیت‌ های مرورگر"
"Redirect to CMS-page if Cookies are Disabled","هدایت مجدد به صفحه‌ی CMS درصورت غیرفعال شدن کوکی ها"
"Show Notice if JavaScript is Disabled","اگر JavaScript غیرفعال شد، هشدار بده"
"Show Notice if Local Storage is Disabled","اگر ذخیره سازی محلی غیرفعال شد، هشدار بده"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","گزینه های WYSIWYG"
"Enable WYSIWYG Editor","فعالسازی ویرایشگر WYSIWYG"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","لینک صفحه سیستم مدیریت محتوا"
"Link to a CMS Page","لینک به صفحه سیستم مدیریت محتوا"
"CMS Page","صفحه سیستم مدیریت محتوا"
"Select Page...","انتخاب صفحه..."
"Anchor Custom Text","متن سفارشی مرجع"
"If empty, the Page Title will be used","اگر خالی باشد، عنوان صفحه استفاده خواهد شد"
"Anchor Custom Title","عنوان سفارشی مرجع"
"Template","قالب"
"CMS Page Link Block Template","قالب بلوک لینک صفحه سیستم مدیریت محتوا"
"CMS Page Link Inline Template","قالب درون خطی لینک صفحه سیستم مدیریت محتوا"
"CMS Static Block","بلوک ایستای سیستم مدیریت محتوا"
"Contents of a Static Block","محتویات یک بلوک ایستا"
"Block","مسدود کردن"
"Select Block...","انتخاب بلوک..."
"CMS Static Block Default Template","قالب پیش فرض بلوک استاتیک سیستم مدیریت محتوا"
"General Information","اطلاعات عمومی"
"Enable Block","فعالسازی بلوک"
"Block Title","عنوان بلاک"
"Are you sure you want to delete selected items?","آیا مطمئن هستید که می خواهید مورد(های) انتخاب شده را حذف کنید؟"
"Delete items","حذف موارد"
"Page Information","اطلاعات صفحه"
"Enable Page","فعالسازی صفحه"
"Content","محتوا"
"Content Heading","سرفصل مطالب"
"Search Engine Optimization","بهینه سازی موتور جستجو"
"Meta Title","عنوان متا"
"Meta Keywords","کلمات کلیدی متا"
"Meta Description","توضیحات متا"
"Page in Websites","صفحه در وب سایت"
"Design","طراحی"
"Layout Update XML","به روز رسانی چیدمان XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","به روز رسانی طراحی سفارشی"
"From","از"
"To","به"
"New Theme","تم جدید"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"New Layout","چیدمان جدید"
"Disable","غیرفعال کردن"
"Enable","فعال"
"Custom design from","طرح سفارشی از"
"Custom design to","طراحی سفارشی به"
"Custom Theme","تم سفارشی"
"Custom Layout","چیدمان سفارشی"
