"Static Blocks","Blocs statiques"
"Are you sure you wan't to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"File validation failed.","La validation du fichier a échoué."
"Are you sure you wan't to delete a %1 record?","Êtes-vous certain(e) de vouloir supprimer un enregistrement de %1?"
"Search Engine Optimisation","Optimisation pour les moteurs de recherche"
"Save","Sauvegarder"
"Save & Duplicate","Enregistrer & Dupliquer"
"Save & Close","Sauvegarder & Fermer"
"Cancel","Annuler"
"Delete Selected","Supprimer la sélection"
"Create Folder","Créer un dossier"
"Add Selected","Ajouter la sélection"
"You duplicated the block.","Vous avez dupliqué le bloc."
"You duplicated the page.","Vous avez dupliqué la page."
"The CMS block with the ""%1"" ID doesn't exist.","Le bloc CMS avec l'identifiant ""%1"" n'existe pas."
"The CMS page with the ""%1"" ID doesn't exist.","La page CMS avec l'identifiant ""%1"" n'existe pas."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","La clé URL de la page ne peut pas utiliser de lettres majuscules ou de symboles interdits. Supprimez les lettres et symboles et réessayez."
"The page URL key can't use only numbers. Add letters or words and try again.","La clé URL de la page ne peut pas utiliser uniquement des chiffres. Ajoutez des lettres ou des mots et réessayez."
"Upload Images","Télécharger les images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Mise en page par défaut"
"WYSIWYG Editor","Éditeur WYSIWYG"
