"Static Blocks","સ્થિર વિભાગો"
"The page has been deleted.","પૃષ્ઠ કાઢી નાખવામાં આવ્યું છે."
"We can't find a page to delete.","કાઢી નાખવા માટે અમને કોઈ પૃષ્ઠ મળી શક્યું નથી."
"This page no longer exists.","આ પૃષ્ઠ હવે અસ્તિત્વમાં નથી."
"Edit Page","પૃષ્ઠ સંપાદિત કરો"
"New Page","નવું પૃષ્ઠ"
"Pages","પાના"
"Something went wrong while saving the page.","પૃષ્ઠ સાચવતી વખતે કંઈક ખોટું થયું."
"A total of %1 record(s) have been disabled.","કુલ %1 રેકોર્ડ (ઓ) અક્ષમ કરવામાં આવ્યા છે."
"A total of %1 record(s) have been enabled.","કુલ %1 રેકોર્ડ (ઓ) ને સક્ષમ કરવામાં આવ્યા છે."
"Page Title","પૃષ્ઠ શીર્ષક"
"To apply changes you should fill in hidden required ""%1"" field","ફેરફારો લાગુ કરવા માટે તમારે છુપાયેલા જરૂરી ""%1"" ફીલ્ડ ભરવું જોઈએ"
"You saved the page.","તમે પૃષ્ઠ સાચવ્યું."
"You duplicated the page.","તમે પૃષ્ઠની નકલ કરી"
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","ડિરેક્ટરી %1 સ્ટોરેજ રૂટ પાથ હેઠળ નથી."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","ખાતરી કરો કે સ્થિર અવરોધિત સામગ્રી બ્લ contentકનો સંદર્ભ લેતી નથી."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","ડિફોલ્ટ દ્વારા સક્ષમ"
"Disabled by Default","ડિફોલ્ટ દ્વારા અક્ષમ કરેલ"
"Disabled Completely","સંપૂર્ણપણે અક્ષમ કર્યું"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","આ ઓળખકર્તા ગોઠવણીમાં ""સીએમએસ નો રૂટ પેજ"" માટે અનામત છે."
"This identifier is reserved for ""CMS Home Page"" in configuration.","આ ઓળખકર્તા ગોઠવણીમાં ""સીએમએસ હોમ પેજ"" માટે આરક્ષિત છે."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","આ ઓળખકર્તા ગોઠવણીમાં ""સીએમએસ નો કૂકીઝ પૃષ્ઠ"" માટે અનામત છે."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","પૃષ્ઠ સાચવી શક્યું નથી:%1"
"Could not delete the page: %1","પૃષ્ઠ કાઢી શક્યું નહીં:%1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","સમાન ગુણધર્મોવાળા બ્લોક ઓળખકર્તા પસંદ કરેલા સ્ટોરમાં પહેલાથી અસ્તિત્વમાં છે."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","અમને એ જ નામની ડિરેક્ટરી મળી. કૃપા કરીને બીજું ફોલ્ડર નામ અજમાવો."
"We cannot create a new directory.","આપણે નવી ડિરેક્ટરી બનાવી શકતા નથી."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","અમે ડિરેક્ટરી %1 કાઢી શકતા નથી."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","અમે હમણાં ફાઇલ અપલોડ કરી શકતા નથી."
"We can't delete root directory %1 right now.","અમે હમણાં જ રૂટ ડિરેક્ટરી%1 કાઢી શકતા નથી."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","ગોપનીયતા અને કૂકી નીતિ"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","સ્થાનિકીકરણ"
"Error","Error"
"Could not create a directory.","ડિરેક્ટરી બનાવી શકી નથી."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","સંપાદિત કરો"
"Delete","કાઢી નાખો"
"Delete %1","%1 કાઢી નાખો"
"Are you sure you want to delete a %1 record?","શું તમે ખરેખર %1 રેકોર્ડ કાઢી નાખવા માંગો છો?"
"All Store Views","બધા સ્ટોર જોવાયા"
"View","જુઓ"
"px.","પીએક્સ."
"No files found","કોઈ ફાઇલો મળી નથી"
"Upload Images","Upload Images"
"Collapse All","બધા સંકુચિત કરો"
"Expand All","બધા વિસ્તૃત કરો"
"Save Page","પૃષ્ઠ સાચવો"
"Edit Page Design","Edit Page Design"
"Media Gallery","મીડિયા ગેલેરી"
"Content Management","સામગ્રી સંચાલન"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","સીએમએસ હોમ પેજ"
"CMS No Route Page","સીએમએસ કોઈ રૂટ પૃષ્ઠ નથી"
"CMS No Cookies Page","સીએમએસ કોઈ કૂકીઝ પૃષ્ઠ નથી"
"Show Breadcrumbs for CMS Pages","સીએમએસ પૃષ્ઠો માટે બ્રેડક્રમ્સમાં બતાવો"
"Browser Capabilities Detection","બ્રાઉઝર ક્ષમતાઓની તપાસ"
"Redirect to CMS-page if Cookies are Disabled","જો કૂકીઝ અક્ષમ હોય તો સીએમએસ-પૃષ્ઠ પર રીડાયરેક્ટ કરો"
"Show Notice if JavaScript is Disabled","જો જાવાસ્ક્રિપ્ટ અક્ષમ કરેલ હોય તો સૂચના બતાવો"
"Show Notice if Local Storage is Disabled","જો સ્થાનિક સંગ્રહ અક્ષમ છે તો સૂચના બતાવો"
"Default Page Layout","ડિફaultલ્ટ પૃષ્ઠ લેઆઉટ"
"WYSIWYG Options","WYSIWYG વિકલ્પો"
"Enable WYSIWYG Editor","WYSIWYG સંપાદકને સક્ષમ કરો"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","સીએમએસ પેજ લિંક"
"Link to a CMS Page","સીએમએસ પૃષ્ઠ સાથે લિંક કરો"
"CMS Page","સીએમએસ પૃષ્ઠ"
"Select Page...","પૃષ્ઠ પસંદ કરો ..."
"Anchor Custom Text","એન્કર કસ્ટમ ટેક્સ્ટ"
"If empty, the Page Title will be used","જો ખાલી હોય, તો પૃષ્ઠ શીર્ષકનો ઉપયોગ કરવામાં આવશે"
"Anchor Custom Title","એન્કર કસ્ટમ શીર્ષક"
"Template","Templateાંચો"
"CMS Page Link Block Template","સીએમએસ પેજ લિંક બ્લોક Templateાંચો"
"CMS Page Link Inline Template","સીએમએસ પેજ લિંક ઇનલાઇન Templateાંચો"
"CMS Static Block","સીએમએસ સ્ટેટિક બ્લ Blockક"
"Contents of a Static Block","સ્ટેટિક બ્લ Blockકના સમાવિષ્ટો"
"Block","અવરોધિત કરો"
"Select Block...","અવરોધ પસંદ કરો ..."
"CMS Static Block Default Template","સીએમએસ સ્થિર બ્લોક ડિફોલ્ટ Templateાંચો"
"General Information","સામાન્ય માહિતી"
"Enable Block","બ્લોક સક્ષમ કરો"
"Block Title","અવરોધિત શીર્ષક"
"Are you sure you want to delete selected items?","શું તમે ખરેખર પસંદ કરેલી આઇટમ્સ કાઢી નાખવા માંગો છો?"
"Delete items","આઇટમ્સ કાઢી નાખો"
"Page Information","પૃષ્ઠ માહિતી"
"Enable Page","પૃષ્ઠને સક્ષમ કરો"
"Content","સામગ્રી"
"Content Heading","સામગ્રી મથાળું"
"Search Engine Optimization","શોધ એંજિન Opપ્ટિમાઇઝેશન"
"Meta Title","મેટા શીર્ષક"
"Meta Keywords","મેટા કીવર્ડ્સ"
"Meta Description","મેટા વર્ણન"
"Page in Websites","વેબસાઇટ્સમાં પૃષ્ઠ"
"Design","ડિઝાઇન"
"Layout Update XML","લેઆઉટ અપડેટ એક્સએમએલ"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","કસ્ટમ ડિઝાઇન અપડેટ"
"From","થી"
"To","થી"
"New Theme","નવી થીમ"
"-- Please Select --","-- કૃપા કરી પસંદ કરો --"
"New Layout","નવું લેઆઉટ"
"Disable","અક્ષમ કરો"
"Enable","સક્ષમ કરો"
"Custom design from","માંથી કસ્ટમ ડિઝાઇન"
"Custom design to","માટે કસ્ટમ ડિઝાઇન"
"Custom Theme","કસ્ટમ થીમ"
"Custom Layout","કસ્ટમ લેઆઉટ"
