"Static Blocks","Blocs statiques"
"General Information","Informations générales"
"Enable Block","Activer le bloc"
"Block Title","Titre du bloc"
"Are you sure you want to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés ?"
"Delete items","Supprimer les éléments"
"Page Information","Informations de la page"
"Enable Page","Activer la page"
"Content","Contenu"
"Content Heading","En-tête de contenu"
"Search Engine Optimization","Optimisation pour les moteurs de recherche"
"Meta Title","Titre méta"
"Meta Keywords","Mots-clés meta"
"Meta Description","Méta description"
"Page in Websites","Page de sites Web"
"Design","Design"
"Layout Update XML","XML de mise à jour d'agencement"
"Custom Layout Update","Mise à jour de la mise en page personnalisée"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        Liste des fichiers de mise en page avec un gestionnaire de mise à jour ""sélectionnable""
                        correspondant à *PageIdentifier*_*UpdateID*.
                        <br/>
                        Voir la documentation Magento pour plus d'informations
                    "
"Custom Design Update","Mise à jour du design personnalisé"
"From","Depuis"
"To","À"
"New Theme","Nouveau thème"
"-- Please Select --","-- Faites un choix --"
"New Layout","Nouvelle mise en page"
"Disable","Désactiver"
"Enable","Activer"
"Custom design from","Design personnalisé à partir du"
"Custom design to","Design personnalisé jusqu'au"
"Custom Theme","Thème personnalisé"
"Custom Layout","Agencement personnalisé"
