"Static Blocks","Khối tĩnh"
"Default Page Layout","Giao diện trang mặc định"
"WYSIWYG Options","Tùy chọn WYSIWYG"
"Enable WYSIWYG Editor","Cho phép WYSIWYG Editor"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","Trang liên kết CMS"
"Link to a CMS Page","Liên kết đến trang CMS"
"CMS Page","CMS trang"
"Select Page...","Chọn trang..."
"Anchor Custom Text","Anchor văn bản tuỳ chỉnh"
"If empty, the Page Title will be used","Nếu trống, tiêu đề trang sẽ được sử dụng"
"Anchor Custom Title","Tiêu đề tùy chỉnh Anchor"
"Template","Mẫu"
"CMS Page Link Block Template","Mẫu liên kết khối trang CMS"
"CMS Page Link Inline Template","Mẫu liên kết nội tuyến trang CMS"
"CMS Static Block","Khối CMS tĩnh"
"Contents of a Static Block","Nội dung của một khối tĩnh"
"Block","Khối"
"Select Block...","Chọn khối..."
"CMS Static Block Default Template","Mẫu khối tĩnh CMS mặc định"
"General Information","Thông tin chung"
"Enable Block","Kích hoạt khối"
"Block Title","Tiêu đề Khối"
"Are you sure you want to delete selected items?","Bạn muốn xóa các sản phẩm đã chọn?"
"Delete items","Xóa bỏ sản phẩm"
"Page Information","Trang thông tin"
"Enable Page","Cho phép trang"
"Content","Nội dung"
"Content Heading","Nội dung tiêu đề"
"Search Engine Optimization","Tối Ưu Công Cụ Tìm Kiếm"
"Meta Title","Tiêu đề Meta"
"Meta Keywords","Từ khoá Meta"
"Meta Description","Mô tả meta"
"Page in Websites","Trang trong trang web"
"Design","Thiết kế"
"Layout Update XML","Cập Nhật giao diện XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Cập Nhật Tùy chỉnh thiết kế"
"From","Từ"
"To","Đến"
"New Theme","Chủ đề mới"
"-- Please Select --","-- Vui lòng chọn --"
"New Layout","Giao diện mới"
"Disable","Vô hiệu hóa"
"Enable","Kích hoạt"
"Custom design from","Các thiết kế tùy chỉnh từ"
"Custom design to","Tùy chỉnh thiết kế đến"
"Custom Theme","Chủ đề tùy chỉnh"
"Custom Layout","Tuỳ chỉnh bố cục"
