"Static Blocks","Статички Блокови"
"Make sure that static block content does not reference the block itself.","Уверите се да садржај статичног блока не наводи сам блок."
"CMS Block with id ""%1"" does not exist.","ЦМС блок са ИД ""%1"" не постоји."
"Enabled by Default","Омогућено по дифолту"
"Disabled by Default","Онемогућено по дифолту"
"Disabled Completely","У потпуности Онемогућено"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Но Роуте Паге"" у конфигурацијама."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Хоме Паге"" у конфигурацијама."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Но Цоокиес Паге"" у конфигурацијама."
"Could not save the page: %1","Није могуће сачувати страницу: %1"
"CMS Page with id ""%1"" does not exist.","ЦМС страница са ИД ""%1"" не постоји."
"Could not delete the page: %1","Није могуће избрисати страницу: %1"
"A block identifier with the same properties already exists in the selected store.","Идентификатор блока са истим подешавањима већ постоји у одабраној продавници."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","Тхе паге УРЛ кеy не може бе маде оф онлy нумберс."
"Please rename the folder using only letters, numbers, underscores and dashes.","Молимо преименујте фолдер користећи само слова, бројеве, доње црте и цртице."
"We found a directory with the same name. Please try another folder name.","Нашли смо директоријум са истим називом. Молимо покушајте користити неко друго име."
"We cannot create a new directory.","Не можемо креирати нови директоријум."
"We cannot delete directory %1.","Не можемо избрисати директоријум %1."
"We can't upload the file right now.","Не можемо отпремити фајл тренутно."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Privacy and Cookie Policy","Полиса о Приватности и Колачићима"
"Error message","Порука грешке"
"LocalizedException","Локализовани изузетак"
"RuntimeException","RuntimeException"
"Exception","Изузетак"
"Could not create a directory.","Нисмо могли креирати директоријум."
"Edit","Измени"
"Delete","Обрисати"
"Delete %1","Обриши %1"
"Are you sure you want to delete a %1 record?","Да ли сте сигурни да желите да обришете %1 запис?"
"All Store Views","Сви прегледи продавница"
"View","Преглед"
"px.","px."
"No files found","Датотеке нису пронађене"
"Browse Files...","Преглед датотека..."
"Collapse All","Скупи све"
"Expand All","Развиј све"
"We could not detect a size.","Нисмо могли открити величину."
"Media Gallery","Медиа Галерија"
"Content Management","Управљање Садржајима"
"CMS Home Page","ЦМС Почетна Страница"
"CMS No Route Page","ЦМС Нема Путање Страница"
"CMS No Cookies Page","ЦМС Нема Колачића Страница"
"Show Breadcrumbs for CMS Pages","Прикажи Бреадцрумбс за ЦМС Странице"
"Browser Capabilities Detection","Откривање Могућности Претраге"
"Redirect to CMS-page if Cookies are Disabled","Преусмери на ЦМС страницу ако су Колачићи Онемогућени"
"Show Notice if JavaScript is Disabled","Прикажи Обавештење ако је ЈаваСцрипт Онемогућен"
"Show Notice if Local Storage is Disabled","Прикажи Обавештење ако је Локално Складиште Онемогућено"
"WYSIWYG Options","WYСИWYГ Опције"
"Enable WYSIWYG Editor","Омогући WYСИWYГ Едитор"
"CMS Page Link","Линк ЦМС Странице"
"Link to a CMS Page","Линк до ЦМС Странице"
"CMS Page","ЦМС Страница"
"Select Page...","Одабери Страницу..."
"Anchor Custom Text","Сидро Одабраног Текста"
"If empty, the Page Title will be used","Ако је празно, Наслов Странице ће бити коришћен"
"Anchor Custom Title","Сидро Одабраног Назива"
"Template","Шаблон"
"CMS Page Link Block Template","Шаблон Блок Линкова на ЦМС Страници"
"CMS Page Link Inline Template","Шаблон Линкова у Реду на ЦМС Страници"
"CMS Static Block","ЦМС Статички Блок"
"Contents of a Static Block","Садржаји Статичног Блока"
"Block","Блокови"
"Select Block...","Одабери Блок..."
"CMS Static Block Default Template","ЦМС Подразумевани Шаблон Статичког Блока"
"General Information","Опште информације"
"Enable Block","Омогући Блок"
"Block Title","Наслов Блока"
"Are you sure you want to delete selected items?","Да ли сте сигурни да желите да обришете одабране ставке?"
"Delete items","Обриши производе"
"Page Information","Информације о Страници"
"Enable Page","Омогући Страницу"
"Content","Садржај"
"Content Heading","Заглавље Садржаја"
"Search Engine Optimization","Оптимизација програма за претраживање"
"Meta Title","Мета Наслов"
"Meta Keywords","Мета клјучне речи"
"Meta Description","Мета опис"
"Page in Websites","Странице у Wеб Сајту"
"Design","Дизајн"
"Layout Update XML","Распоред ажурирања XМЛ-а"
"Custom Design Update","Ажурирање Одабраног дизајна"
"From","Од"
"To","До"
"New Theme","Нова Тема"
"-- Please Select --","-- Молим одаберите --"
"New Layout","Нови Распоред"
"Disable","Онемогући"
"Enable","Омогући"
"Custom design from","Одабрани дизајн од"
"Custom design to","Одабрани дизајн до"
"Custom Theme","Прилагођена Тема"
"Custom Layout","Прилагођени Распоред"
"Edit Block '%1'","Измени Блокирај '%1'"
"Block Information","Блок информација"
"Edit Page '%1'","Измени Страница '%1'"
"Page Layout","Распоред странице"
"Custom Design","Прилагођени дизајн"
"Custom Design From","Цустом Дизајн Фром"
"Custom Design To","Цустом Дизајн То"
"Custom Layout Update XML","Цустом Лаyоут Ажурирај XМЛ"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Страница Статус"
"Meta Data","Meta Data"
"Keywords","Кључне речи"
"Description","Опис"
"You saved this page.","Сачували сте ову страницу."
"Could not create directory.","Није могуће креирати директоријум."
"Delete ${ $.$data.title }","Обриши ${ $.$дата.титле }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Да ли сте сигурни yоу wан'т то делете а ${ $.$дата.титле } рецорд?"
"Details","Детаљи"
"Delete ""${ $.$data.title }""","Обриши ""${ $.$дата.титле }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Да ли сте сигурни да желите да обришете ""${ $.$дата.титле }"" запис?"
"Are you sure you wan't to delete selected items?","Да ли сте сигурни yоу wан'т то делете селецтед итемс?"
"File validation failed.","Неуспешна валидација фајлова."
"Are you sure you wan't to delete a %1 record?","Да ли сте сигурни yоу wан'т то делете а %1 рецорд?"
"Search Engine Optimisation","Оптимизација за претраживаче"
"Save","Сачувај"
"Save & Duplicate","Сачувај & дуплирај"
"Save & Close","Сачувај и затвори"
"Cancel","Откажи"
"Delete Selected","Избриши одабрано"
"Create Folder","Креирај директоријум"
"Add Selected","Додај одабране"
"You duplicated the block.","Дуплирали сте блок."
"You duplicated the page.","Дуплирали сте страницу."
"The CMS block with the ""%1"" ID doesn't exist.","ЦМС блок са ""%1"" ИД не постоји."
"The CMS page with the ""%1"" ID doesn't exist.","ЦМС страница са ""%1"" ИД не постоји."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","У УРЛ кључу странице се не могу користити велика слова и недозвољени карактери. Уклоните слова и симболе и покушајте поново."
"The page URL key can't use only numbers. Add letters or words and try again.","У УРЛ кључу не можете користити само бројеве. Додајте слова или речи и покушајте поново."
"Upload Images","Убаци Слике"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Подразумевани Распоред Страница"
"WYSIWYG Editor","Едитор Шта видиш то добијеш"
