"Static Blocks","Στατικά Μπλοκ"
"Custom Theme","Προσαρμοσμένο Θέμα"
"Custom Layout","Προσαρμοσμένη Διάταξη"
"Edit Block '%1'","Επεξεργασία Μπλοκ '%1'"
"Block Information","Πληροφορίες Μπλοκ"
"Edit Page '%1'","Επεξεργασία σελίδας '%1'"
"Page Layout","Διάταξη σελίδας"
"Custom Design","Προσαρμοσμένη Σχεδίαση"
"Custom Design From","Προσαρμοσμένη Σχεδίαση Από"
"Custom Design To","Προσαρμοσμένη Σχεδίαση Έως"
"Custom Layout Update XML","Ενημέρωση XML Προσαρμοσμένης Διάταξης"
"Relative to Web Site Base URL","Σχετικό με τη βασική διεύθυνση URL της τοποθεσίας Web"
"Page Status","Κατάσταση Σελίδας"
"Meta Data","Μετα-δεδομένα"
"Keywords","Λέξεις-κλειδιά"
"Description","Περιγραφή"
"You saved this page.","Αποθηκεύσατε αυτήν τη σελίδα."
"Could not create directory.","Δεν είναι δυνατή η δημιουργία καταλόγου."
"Delete ${ $.$data.title }","Διαγραφή του ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Είστε σίγουροι ότι θέλετε να διαγράψετε μια εγγραφή ${ $.$data.title };"
"Details","Λεπτομέρειες"
"Delete ""${ $.$data.title }""","Διαγραφή του ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Είστε σίγουροι ότι θέλετε να διαγράψετε μια εγγραφή ""${ $.$data.title }"";"
"Are you sure you wan't to delete selected items?","Είστε σίγουροι ότι θέλετε να διαγράψετε τα επιλεγμένα αντικείμενα;"
"File validation failed.","Η επαλήθευση αρχείου απέτυχε."
"Are you sure you wan't to delete a %1 record?","Είστε σίγουροι ότι θέλετε να διαγράψετε μια εγγραφή %1;"
"Search Engine Optimisation","Βελτιστοποίηση μηχανής αναζήτησης"
"Save","Αποθήκευση"
"Save & Duplicate","Αποθήκευση & Κλωνοποίηση"
"Save & Close","Αποθήκευση & Κλείσιμο"
"Cancel","Άκυρο"
"Delete Selected","Διαγραφή Επιλεγμένου"
"Create Folder","Δημιουργία Φακέλου"
"Add Selected","Προσθήκη επιλεγμένων"
"You duplicated the block.","Κλωνοποιήσατε το τμήμα."
"You duplicated the page.","Κλωνοποιήσατε τη σελίδα."
"The CMS block with the ""%1"" ID doesn't exist.","Το τμήμα CMS με ID ""%1"" δεν υπάρχει."
"The CMS page with the ""%1"" ID doesn't exist.","Η σελίδα CMS με ID ""%1"" δεν υπάρχει."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","Το URL κλειδί σελίδας δεν μπορεί να χρησιμοποιεί κεφαλαία γράμματα ή μη αποδεκτά σύμβολα. Αφαιρέστε τα γράμματα και τα σύμβολα και δοκιμάστε ξανά."
"The page URL key can't use only numbers. Add letters or words and try again.","Το URL κλειδί σελίδας δεν μπορεί να χρησιμοποιεί μόνο αριθμούς. Προσθέστε γράμματα ή λέξεις και δοκιμάστε ξανά."
"Upload Images","Ανέβασμα Εικόνων"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Προεπιλεγμένη Διάταξη Σελίδας"
"WYSIWYG Editor","WYSIWYG Συντάκτης"
