"Static Blocks","Statické bloky"
"Anchor Custom Text","Vlastní text záchytného odkazu"
"If empty, the Page Title will be used","Necháte-li prázdné, bude použit nadpis stránky"
"Anchor Custom Title","Vlastní název kotvy"
"Template","Šablona"
"CMS Page Link Block Template","Šablona blokového odkazu CMS stránky"
"CMS Page Link Inline Template","Šablona řádkového odkazu CMS stránky"
"CMS Static Block","Statický blok CMS"
"Contents of a Static Block","Obsah statického bloku"
"Block","Blok"
"Select Block...","Vyberte blok..."
"CMS Static Block Default Template","Výchozí šablona statického bloku CMS"
"General Information","Všeobecné informace"
"Enable Block","Zapnout blok"
"Block Title","Název bloku"
"Are you sure you want to delete selected items?","Skutečně chcete zvolené položky odstranit?"
"Delete items","Odstranit položky"
"Page Information","Údaje stránky"
"Enable Page","Zapnout stránku"
"Content","Obsah"
"Content Heading","Titulek obsahu"
"Search Engine Optimization","Optimalizace pro vyhledávače"
"Meta Title","Meta název"
"Meta Keywords","Meta klíčová slova"
"Meta Description","Meta popis"
"Page in Websites","Stránka na webech"
"Design","Vzhled"
"Layout Update XML","Úprava XML rozvržení"
"Custom Design Update","Úprava vlastního vzhledu"
"From","Od"
"To","Pro"
"New Theme","Nové téma"
"-- Please Select --","-- Vyberte --"
"New Layout","Přidat rozložení"
"Default Page Layout","Default Page Layout"
"Disable","Zakázat"
"Enable","Povolit"
"Custom design from","Vlastní vzhled od"
"Custom design to","Vlastní vzhled do"
"Custom Theme","Vlastní téma"
"Custom Layout","Vlastní rozvržení"
"Edit Page Design","Edit Page Design"
