"Static Blocks","Blocuri statice"
"Are you sure you want to delete a %1 record?","Sunteți sigur că doriți să ștergeți o înregistrare %1?"
"All Store Views","Toate vizualizările magazinului"
"View","Vizualizează"
"px.","px."
"No files found","Nu s-au găsit fișiere"
"Browse Files...","Răsfoiește fișiere..."
"Collapse All","Restrângeți toate"
"Expand All","Extindeți toate"
"We could not detect a size.","Nu am putut detecta nici o dimensiune."
"Media Gallery","Galerie media"
"Content Management","Administrare conținut"
"CMS Home Page","Pagina de start CMS"
"CMS No Route Page","Pagina CMS Fără Rută"
"CMS No Cookies Page","Pagina CMS Fără Cookie-uri"
"Show Breadcrumbs for CMS Pages","Arată breadcrumb-uri pentru paginile CMS"
"Browser Capabilities Detection","Detectare capacități browser"
"Redirect to CMS-page if Cookies are Disabled","Redirecționează la pagina CMS dacă Cookie-urile sunt dezactivate"
"Show Notice if JavaScript is Disabled","Arată Notă dacă JavaScript este dezactivat"
"Show Notice if Local Storage is Disabled","Arată Notă dacă stocarea locală este dezactivată"
"WYSIWYG Options","Opțiuni WYSIWYG"
"Enable WYSIWYG Editor","Activează Editorul WYSIWYG"
"CMS Page Link","Link pagină CMS"
"Link to a CMS Page","Link către o pagină CMS"
"CMS Page","Pagină CMS"
"Select Page...","Selectați pagina..."
"Anchor Custom Text","Text personalizat Anchor"
"If empty, the Page Title will be used","Dacă este gol, titlul paginii va fi folosit"
"Anchor Custom Title","Titlu personalizat Anchor"
"Template","Șablon"
"CMS Page Link Block Template","Șablon blocare pagină CMS"
"CMS Page Link Inline Template","Șablon integrat link-uri pagină CMS"
"CMS Static Block","Bloc static CMS"
"Contents of a Static Block","Conținutul unui bloc static"
"Block","Bloc"
"Select Block...","Selectează bloc..."
"CMS Static Block Default Template","Șablon implicit pentru blocarea statică CMS"
"General Information","Informații generale"
"Enable Block","Activează Blocul"
"Block Title","Titlul blocului"
"Are you sure you want to delete selected items?","Ești sigur că dorești să ștergi elementele selectate?"
"Delete items","Ștergere elemente"
"Page Information","Informații pagină"
"Enable Page","Activare pagină"
"Content","Conținut"
"Content Heading","Titlul conținutului"
"Search Engine Optimization","Optimizare motor de căutare"
"Meta Title","Meta Titlu"
"Meta Keywords","Meta cuvinte"
"Meta Description","Meta Descriere"
"Page in Websites","Pagină în site-uri"
"Design","Design"
"Layout Update XML","Actualizare XML pagină"
"Custom Design Update","Actualizare design personalizată"
"From","De la"
"To","Către"
"New Theme","Temă nouă"
"-- Please Select --","-- Selectați --"
"New Layout","Aspect nou"
"Disable","Dezactivați"
"Enable","Activați"
"Custom design from","Design personalizat de la"
"Custom design to","Design personalizat la"
"Custom Theme","Temă personalizată"
"Custom Layout","Aspect personalizat"
"Edit Block '%1'","Editează blocul '%1'"
"Block Information","Informații bloc"
"Edit Page '%1'","Editează Pagina '%1'"
"Page Layout","Aspect pagină"
"Custom Design","Design personalizat"
"Custom Design From","Design personalizat de la"
"Custom Design To","Design personalizat la"
"Custom Layout Update XML","Actualizare XML de actualizare personalizată"
"Relative to Web Site Base URL","Relativ la URL-ul de bază al site-ului web"
"Page Status","Starea paginii"
"Meta Data","Meta Date"
"Keywords","Cuvinte cheie"
"Description","Descriere"
"You saved this page.","Ați salvat această pagină."
"Could not create directory.","Nu s-a putut crea directorul."
"Delete ${ $.$data.title }","Șterge ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Sunteți sigur că nu ați șters o înregistrare ${ $.$data.title }?"
"Details","Detalii"
"Delete ""${ $.$data.title }""","Ștergeți ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Sunteți sigur că nu ați șters o înregistrare ""${ $.$data.title }""?"
"Are you sure you wan't to delete selected items?","Ești sigur că dorești să ștergi elementele selectate?"
"File validation failed.","Validarea fișierului a eșuat."
"Are you sure you wan't to delete a %1 record?","Sunteți sigur că doriți să ștergeți această categorie?"
"Search Engine Optimisation","Optimizarea motorului de căutare"
"Save","Salvează"
"Save & Duplicate","Salvează & Duplică"
"Save & Close","Salvează și închide"
"Cancel","Anulează"
"Delete Selected","Șterge selecția"
"Create Folder","Creare folder"
"Add Selected","Adaugă cele selectate"
"You duplicated the block.","Ai duplicat blocul."
"You duplicated the page.","Ați duplicat pagina."
"The CMS block with the ""%1"" ID doesn't exist.","Blocul CMS cu ""%1"" ID nu există."
"The CMS page with the ""%1"" ID doesn't exist.","Pagina CMS cu ""%1"" ID nu există."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","Cheia URL a paginii nu poate utiliza litere mari sau simboluri nepermise. Eliminați literele și simbolurile și încercați din nou."
"The page URL key can't use only numbers. Add letters or words and try again.","Cheia URL a paginii nu poate folosi doar numere. Adaugă litere sau cuvinte și încearcă din nou."
"Upload Images","Încărcare imagini"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Aspect implicit pagină"
"WYSIWYG Editor","Editor WYSIWYG"
