"Static Blocks","Blocchi statici"
"A total of %1 record(s) have been enabled.","Un totale di %1 record  sono stati abilitati."
"Page Title","Titolo della pagina"
"To apply changes you should fill in hidden required ""%1"" field","Per applicare le modifiche è necessario compilare il campo nascosto obbligatorio ""%1"""
"You saved the page.","Hai salvato la pagina."
"You duplicated the page.","You duplicated the page."
"Wrong request.","Wrong request."
"Directory %1 is not under storage root path.","Directory %1 non è sotto il percorso di root storage."
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Can't create %1 as subdirectory of %2, you might have some permission issue."
"Make sure that static block content does not reference the block itself.","Assicurarsi che il contenuto del blocco statico non faccia riferimento al blocco stesso."
"Content field contains restricted HTML elements. %1","Content field contains restricted HTML elements. %1"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"Enabled by Default","Abilitato di default"
"Disabled by Default","Disabilitato di default"
"Disabled Completely","Completamente disabilitato"
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Questo identificatore è riservato nella configurazione della ""Pagina CMS: Nessun Instradamento""."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Questo identificatore è riservato nella configurazione dell ""Pagina CMS: Home Page""."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Questo identificatore è riservato nella configurazione della ""Pagina CMS: Nessun Cookies""."
"Content HTML contains restricted elements. %1","Content HTML contains restricted elements. %1"
"You are not allowed to change CMS pages design settings","You are not allowed to change CMS pages design settings"
"Invalid Custom Layout Update selected","Invalid Custom Layout Update selected"
"Page ""%id"" doesn't have custom layout assigned","Page ""%id"" doesn't have custom layout assigned"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Non è possibile salvare la pagina: %1"
"Could not delete the page: %1","Impossibile eliminare la pagina: %1"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Un identificatore di blocco con le stesse proprietà esiste già nel negozio selezionato."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","È stata trovata una directory con lo stesso nome. Provare un altro nome."
"We cannot create a new directory.","Impossibile creare una nuova directory."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Impossibile eliminare la directory %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","Al momento è impossibile caricare il file."
"We can't delete root directory %1 right now.","Al momento è impossibile eliminare la directory di root %1."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Norme sulla Privacy e sui Cookie"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Impossibile creare una directory."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Modifica"
"Delete","Elimina"
"Delete %1","Elimina %1"
"Are you sure you want to delete a %1 record?","Sei sicuro di voler cancellare a %1 record?"
"All Store Views","Tutte le Viste Negozio"
"View","Mostra"
"px.","px."
"No files found","Nessun file trovato"
"Upload Images","Upload Images"
"Collapse All","Chiudi Tutto"
"Expand All","Mostra Tutto"
"Save Page","Salva pagina"
"Edit Page Design","Edit Page Design"
"Media Gallery","Media Gallery"
"Content Management","Gestione dei contenuti"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","Pagina CMS: Nessun Instradamento"
"CMS No Cookies Page","Pagina CMS: Nessun Cookie"
"Show Breadcrumbs for CMS Pages","Visualizza breadcrumbs per le pagine CMS"
"Browser Capabilities Detection","Rilevamento di funzionalità del browser"
"Redirect to CMS-page if Cookies are Disabled","Reindirizza alla pagina CMS se i cookie sono disabilitati"
"Show Notice if JavaScript is Disabled","Mostra notifica se i JavaScript sono disabilitati"
"Show Notice if Local Storage is Disabled","Mostra notifica se lo storage locale è disabilitato"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","Opzioni WYSIWYG"
"Enable WYSIWYG Editor","Attiva l'Editor WYSIWYG"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","Link pagina CMS"
"Link to a CMS Page","Link a una pagina CMS"
"CMS Page","Pagine CMS"
"Select Page...","Seleziona pagina..."
"Anchor Custom Text","Ancora testo personalizzato"
"If empty, the Page Title will be used","Se vuoto, verrà utilizzato il titolo della pagina"
"Anchor Custom Title","Titolo personalizzato ancora"
"Template","Template"
"CMS Page Link Block Template","Template blocco Link Pagina CMS"
"CMS Page Link Inline Template","Template inline Link Pagina CMS"
"CMS Static Block","Blocco statico CMS"
"Contents of a Static Block","Contenuto di un blocco statico"
"Block","Blocca"
"Select Block...","Seleziona blocco..."
"CMS Static Block Default Template","Template predefinito Blocco statico CMS"
"General Information","Informazioni Generali"
"Enable Block","Abilita blocco"
"Block Title","Titolo blocco"
"Are you sure you want to delete selected items?","Sicuro di voler eliminare gli elementi selezionati?"
"Delete items","Elimina elementi"
"Page Information","Informazioni sulla pagina"
"Enable Page","Abilita pagina"
"Content","Contenuto"
"Content Heading","Titolo contenuto"
"Search Engine Optimization","Ottimizzazione motori di ricerca"
"Meta Title","Titolo Meta"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Page in Websites","Pagina nei siti Web"
"Design","Aspetto"
"Layout Update XML","Aggiornamento del layout XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Aggiornamento del Design personalizzato"
"From","Dal"
"To","Al"
"New Theme","Nuovo tema"
"-- Please Select --","-- Seleziona --"
"New Layout","Nuovo Layout"
"Disable","Disattiva"
"Enable","Attiva"
"Custom design from","Design personalizzato da"
"Custom design to","Design personalizzato a"
"Custom Theme","Tema personalizzato"
"Custom Layout","Layout personalizzato"
