"Static Blocks","Статични блокове"
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Моля преименувайте папката като използвате само букви, числа, долна черта и тирета."
"We cannot create the folder under the selected directory.","Не можем да създадем папката под избраната директория."
"We found a directory with the same name. Please try another folder name.","Намерихме директория със същото име. Моля пробвайте дурго име за папката."
"We cannot create a new directory.","Не можем да създадем нова директория."
"We cannot delete the selected directory.","Не можем да изтрием избраната директория."
"We cannot delete directory %1.","Не можем да изтрием директория %1."
"We can't delete the file right now.","Не можем да изтрием файла точно сега."
"We can't upload the file to the current folder right now. Please try another folder.","В момента не можем да качим файла в текущата папка. Моля, опитайте с друга папка."
"File validation failed.","Неуспешна проверка на файла."
"We can't upload the file right now.","Не можете да качите файла точно сега."
"We can't delete root directory %1 right now.","Не може да изтриете главната директория %1 точно сега."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Временно е разрешено да запазва HTML стойност, която съдържа ограничени елементи. %1"
"Invalid HTML provided","Невалидни HTML данни"
"Privacy and Cookie Policy","Общи условия за ползване и Бисквитки"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Съобщение за грешка"
"LocalizedException","Локализирани изключения"
"Error","Грешка"
"Could not create a directory.","Не може да създаде директория."
"Oh no. That isn't right.","О, не. Това не е правилно."
"Invalid format","Невалиден формат"
"Invalid html","Невалиден код, който се използва за структуриране на уеб страница и нейното съдържание"
"Edit","Редактирай"
"Delete","Изтрий"
"Delete %1","Изтрий %1"
"Are you sure you want to delete a %1 record?","Сигурни ли сте, че искате да изтриете запис за %1?"
"All Store Views","Изгледи на всички магазини"
"View","Преглед"
"px.","пкс."
"No files found","Няма намерени файлове"
"Upload Images","Качване на изображения"
"Collapse All","Разпадни всичко"
"Expand All","Разшири всичко"
"Save Page","Запази страница"
"Edit Page Design","Редактиране дизайна на сайта"
"Media Gallery","Мултимедийна галерия"
"Content Management","Управление на съдържанието"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS начална страница"
"CMS No Route Page","CMS страница без маршрут"
"CMS No Cookies Page","CMS страница без бисквитки"
"Show Breadcrumbs for CMS Pages","Покажи опции за CMS страници"
"Browser Capabilities Detection","Откриване на възможности за браузъра"
"Redirect to CMS-page if Cookies are Disabled","Пренасочи към CMS-страница, ако бисквитките са забранени"
"Show Notice if JavaScript is Disabled","Покажи предизвестие ако JavaScript е забранено"
"Show Notice if Local Storage is Disabled","Покажи предизвестие ако локалното хранилище е забранено"
"Default Page Layout","Шаблон на страница по подразбиране"
"WYSIWYG Options","WYSIWYG опции"
"Enable WYSIWYG Editor","Разреши WYSIWYG редактор"
"WYSIWYG Editor","WYSIWYG редактор"
"CMS Page Link","CMS връзка към страница"
"Link to a CMS Page","Връзка към страница с CMS"
"CMS Page","CMS страница"
"Select Page...","Изберете страница..."
"Anchor Custom Text","Котва текст по избор"
"If empty, the Page Title will be used","Ако е празно, ще се използва заглавието на страницата"
"Anchor Custom Title","Котва потребителско заглавие"
"Template","Шаблон"
"CMS Page Link Block Template","CMS връзка със страница за блоков шаблон"
"CMS Page Link Inline Template","CMS връзка със страница за линеен шаблон"
"CMS Static Block","СMS статичен блок"
"Contents of a Static Block","Съдържание на статичен блок"
"Block","Блок"
"Select Block...","Изберете блок..."
"CMS Static Block Default Template","CMS шаблон на блок по подразбиране"
"General Information","Обща информация"
"Enable Block","Разрешаване на блок"
"Block Title","Заглавие на блок"
"Are you sure you want to delete selected items?","Сигурни ли сте, че искате да изтриете всички избрани артикули?"
"Delete items","Изтрий артикулите"
"Page Information","Информация за страницата"
"Enable Page","Разреши страница"
"Content","Съдържание"
"Content Heading","Заглавие на съдържание"
"Search Engine Optimization","Оптимизация за търсачки"
"Meta Title","Мета заглавие"
"Meta Keywords","Мета ключови думи"
"Meta Description","Мета описание"
"Page in Websites","Страница в уеб сайтове"
"Design","Дизайн"
"Layout Update XML","Актуализацията на оформлението на XML"
"Custom Layout Update","Актуализация на персонализирано оформление"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Актуализация на потребителски дизайн"
"From","От"
"To","До"
"New Theme","Нова тема"
"-- Please Select --","-- Моля изберете --"
"New Layout","Ново оформление"
"Disable","Деактивиране"
"Enable","Разреши"
"Custom design from","Потребителски дизайн от"
"Custom design to","Потребителски дизайн за"
"Custom Theme","Тема по подразбиране"
"Custom Layout","Оформление по подразбиране"
