"Static Blocks","Statische blokken"
"To apply changes you should fill in hidden required ""%1"" field","Om de wijzigingen toe te passen dient je het verborgen benodigde veld ""%1"" in te vullen"
"You saved the page.","Pagina opgeslagen."
"You duplicated the page.","Je hebt de pagina gedupliceerd."
"Wrong request.","Verkeerd verzoek."
"Directory %1 is not under storage root path.","Map %1 is niet opgeslagen onder het hoofdpad"
"Can't create %1 as subdirectory of %2, you might have some permission issue.","Kan %1 niet als submap van %2 aanmaken, mogelijk heeft u een probleem met rechten."
"Make sure that static block content does not reference the block itself.","Zorg ervoor dat de inhoud van een statisch blok niet naar zichzelf verwijst."
"Content field contains restricted HTML elements. %1","Inhoudveld bevat beperkte HTML-elementen. %1"
"The CMS block with the ""%1"" ID doesn't exist.","CMS blok met id ""%1"" bestaat niet."
"Enabled by Default","Standaard ingeschakeld"
"Disabled by Default","Standaard uitgeschakeld"
"Disabled Completely","Volledig uitgeschakeld"
"The CMS page with the ""%1"" ID doesn't exist.","CMS pagina met id ""%1"" bestaat niet."
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS geen Route pagina"" in configuratie."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Home Pagina"" in configuratie."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Deze identifier is gereserveerd voor ""CMS Geen Cookies Pagina"" in configuratie."
"Content HTML contains restricted elements. %1","Inhoud bevat beperkte HTML-elementen. %1"
"You are not allowed to change CMS pages design settings","U bent niet toegestaan om CMS pagina's ontwerp instellingen te wijzigen"
"Invalid Custom Layout Update selected","Ongeldige aangepaste lay-out update geselecteerd"
"Page ""%id"" doesn't have custom layout assigned","Pagina ""%id"" heeft geen aangepaste lay-out toegewezen"
"Custom layout update text cannot be changed, only removed","Custom layout update text cannot be changed, only removed"
"Could not save the page: %1","Kon pagina niet opslaan: %1"
"Could not delete the page: %1","Kon pagina niet verwijderen: %1"
"The value specified in the URL Key field would generate a URL that already exists.","De waarde gespecificeerd in het URL-key veld zou een URL genereren die al bestaat."
"Required field ""%1"" is empty.","Vereist veld ""%1"" is leeg."
"Layout update is invalid","Lay-out update is ongeldig"
"Custom layout update is invalid","Aangepaste lay-out update is ongeldig"
"A block identifier with the same properties already exists in the selected store.","Een block identifier met dezelfde eigenschappen bestaat reeds."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","De URL van de pagina kan geen hoofdletters of niet-toegestane symbolen bevatten. Verwijder de letters en symbolen en probeer het opnieuw."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","We vonden een map met dezelfde naam. Probeer een andere map naam."
"We cannot create a new directory.","We kunnen geen nieuwe map aanmaken."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","We kunnen map %1 niet verwijderen."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","Wij kunnen het bestand nu niet uploaden."
"We can't delete root directory %1 right now.","Wij kunnen de hoofddirectory %1 nu niet verwijderen."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Privacy en Cookie Policy"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Foutmelding"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Kon geen map aanmaken."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Ongeldig formaat"
"Invalid html","Ongeldige html"
"Edit","Bewerken"
"Delete","Verwijder"
"Delete %1","Verwijder %1"
"Are you sure you want to delete a %1 record?","Weet je zeker dat je een %1 record wilt verwijderen?"
"All Store Views","Alle Winkelaanzichten"
"View","Bekijk"
"px.","px."
"No files found","Geen bestanden gevonden"
"Upload Images","Afbeeldingen uploaden"
"Collapse All","Alles inklappen"
"Expand All","Alles uitklappen"
"Save Page","Pagina opslaan"
"Edit Page Design","Pagina-ontwerp bewerken"
"Media Gallery","Mediagallerij"
"Content Management","CMS-instellingen"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS homepagina"
"CMS No Route Page","CMS-pagina > Pagina niet gevonden"
"CMS No Cookies Page","CMS geen Cookies pagina"
"Show Breadcrumbs for CMS Pages","Kruimelpad tonen voor CMS-pagina's"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"Redirect to CMS-page if Cookies are Disabled","Redirect naar de CMS-page als de Cookies zijn uitgeschakeld"
"Show Notice if JavaScript is Disabled","Waarschuw als javascript is uitgeschakeld"
"Show Notice if Local Storage is Disabled","Waarschuw als lokale opslag is uitgeschakeld"
"Default Page Layout","Standaard pagina lay-out"
"WYSIWYG Options","WYSIWYG Opties"
"Enable WYSIWYG Editor","WYSWIGY editor activeren"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","CMS-pagina link"
"Link to a CMS Page","Link naar een CMS-pagina"
"CMS Page","CMS-pagina"
"Select Page...","Selecteer pagina..."
"Anchor Custom Text","Zet eigen tekst vast"
"If empty, the Page Title will be used","Indien leeg, zal de paginatitel gebruikt worden"
"Anchor Custom Title","Zet eigen titel vast"
"Template","Sjabloon"
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"CMS Static Block","CMS Statisch Blok"
"Contents of a Static Block","Inhoud van statisch blok"
"Block","Blokkeer"
"Select Block...","Selecteer blok..."
"CMS Static Block Default Template","CMS Statisch Block > Standaard sjabloon"
"General Information","Algemene informatie"
"Enable Block","Blok inschakelen"
"Block Title","Bloktitel"
"Are you sure you want to delete selected items?","Weet je zeker dat je de geselecteerde items wil verwijderen?"
"Delete items","Items verwijderen"
"Page Information","Paginagegevens"
"Enable Page","Pagina inschakelen"
"Content","inhoud"
"Content Heading","Content Titel"
"Search Engine Optimization","Zoekmachine-optimalisatie (SEO)"
"Meta Title","Meta titel"
"Meta Keywords","Meta-keywords"
"Meta Description","Meta-omschrijving"
"Page in Websites","Pagina in Websites"
"Design","Ontwerp"
"Layout Update XML","Lay-out update XML"
"Custom Layout Update","Aangepaste lay-out update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        Lijst van lay-out bestanden met een update handvat ""selectable""
                        overeenkomend met *PageIdentifier*_*UpdateID*.
                        <br/>
                        Zie Magento documentatie voor meer informatie
                    "
"Custom Design Update","Aangepaste ontwerp Update"
"From","Van"
"To","Aan"
"New Theme","Nieuw thema"
"-- Please Select --","-- Selecteer --"
"New Layout","Nieuwe lay-out"
"Disable","Deactiveer"
"Enable","Activeer"
"Custom design from","Aangepast ontwerp van"
"Custom design to","Aangepast ontwerp tot"
"Custom Theme","Eigen Thema"
"Custom Layout","Custom lay-out"
