"Static Blocks","Blok Statisv"
"Make sure that static block content does not reference the block itself.","Pastikan konten blok statis tidak mereferensikan blok itu sendiri."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
"Enabled by Default","Diaktifkan oleh Default"
"Disabled by Default","Dinonaktifkan oleh Default"
"Disabled Completely","Dinonaktifkan Sepenuhnya"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Pengenal ini dicadangkan untuk ""CMS No Route Page"" dalam konfigurasi."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Pengenal ini dicadangkan untuk ""Halaman Utama CMS"" dalam konfigurasi."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Pengenal ini dicadangkan untuk ""CMS No Cookies Page"" dalam konfigurasi."
"Could not save the page: %1","Tidak dapat menyimpan halaman:%1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Tidak dapat menghapus halaman:%1"
"A block identifier with the same properties already exists in the selected store.","Pengenal blok dengan properti yang sama sudah ada di toko yang dipilih."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","Kami menemukan sebuah direktori dengan nama yang sama. Silakan coba nama folder yang lain."
"We cannot create a new directory.","Kami tidak dapat membuat direktori baru."
"We cannot delete directory %1.","Kami tidak dapat menghapus direktori%1."
"We can't upload the file right now.","Kami tidak dapat mengunggah berkas sekarang juga."
"We can't delete root directory %1 right now.","Kita tidak dapat menghapus direktori root %1 sekarang."
"Privacy and Cookie Policy","Kebijakan Privasi dan Cookie"
"Error message","Error message"
"LocalizedException","LocalizedException"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Tidak bisa membuat direktori."
"Edit","Ubah"
"Delete","Hapus"
"Delete %1","Hapus%1"
"Are you sure you want to delete a %1 record?","Yakin ingin menghapus rekaman%1?"
"All Store Views","Semua Tampilan Store"
"View","Melihat"
"px.","px."
"No files found","Tidak ada file yang ditemukan"
"Browse Files...","Browse Files..."
"Collapse All","Tutup Semua"
"Expand All","Melebarkan semua"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Galeri media"
"Content Management","Manajemen Konten"
"CMS Home Page","Halaman CMS"
"CMS No Route Page","CMS No Route PageCMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Tampilkan Breadcrumbs untuk CMS Pages"
"Browser Capabilities Detection","Kemampuan Browser Deteksi"
"Redirect to CMS-page if Cookies are Disabled","Alihkan ke CMS-page jika Cookies Disabled"
"Show Notice if JavaScript is Disabled","Tampilkan Pemberitahuan jika JavaScript dinonaktifkan"
"Show Notice if Local Storage is Disabled","Tampilkan Pemberitahuan jika Penyimpanan Lokal Dinonaktifkan"
"WYSIWYG Options","Pilihan WYSIWYG"
"Enable WYSIWYG Editor","Aktifkan Editor WYSIWYG"
"CMS Page Link","Tautan Laman CMS"
"Link to a CMS Page","Tautkan ke Halaman CMS"
"CMS Page","CMS"
"Select Page...","Pilih Halaman..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Page Title will be used","Jika kosong, Judul Halaman akan digunakan"
"Anchor Custom Title","Judul Jabatan Jangkar"
"Template","Template"
"CMS Page Link Block Template","CMS Page Link Blok Template"
"CMS Page Link Inline Template","CMS Page Link Template Inline"
"CMS Static Block","Blok Statis CMS"
"Contents of a Static Block","Isi dari Blok Statis"
"Block","Blok"
"Select Block...","Pilih Blokir..."
"CMS Static Block Default Template","Template Default Default CMS"
"General Information","Informasi Umum"
"Enable Block","Aktifkan Blokir"
"Block Title","Judul blok"
"Are you sure you want to delete selected items?","Yakin ingin menghapus item yang dipilih?"
"Delete items","Hapus item"
"Page Information","Informasi halaman"
"Enable Page","Aktifkan Halaman"
"Content","Konten"
"Content Heading","Pos Konten"
"Search Engine Optimization","Optimisasi Mesin Pencari"
"Meta Title","Judul Meta"
"Meta Keywords","Kata sandi Meta"
"Meta Description","Deskripsi meta"
"Page in Websites","Halaman di Situs Web"
"Design","Desain"
"Layout Update XML","Layout Update XML"
"Custom Design Update","Update Desain Kustom"
"From","Dari"
"To","Ke"
"New Theme","Tema baru"
"-- Please Select --","-- Silahkan pilih --"
"New Layout","Tata Letak Baru"
"Disable","Nonaktifkan"
"Enable","Memungkinkan"
"Custom design from","Desain khusus dari"
"Custom design to","Desain khusus untuk"
"Custom Theme","Tema Kustom"
"Custom Layout","Tata Letak Khusus"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG Editor"
