"Static Blocks","Statikus blokk"
"The value specified in the URL Key field would generate a URL that already exists.","The value specified in the URL Key field would generate a URL that already exists."
"Required field ""%1"" is empty.","Required field ""%1"" is empty."
"Layout update is invalid","Layout update is invalid"
"Custom layout update is invalid","Custom layout update is invalid"
"A block identifier with the same properties already exists in the selected store.","Egy blokk azonosító ugyanezekkel a tulajdonságokkal már létezik a kiválasztott áruházban."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Találtunk egy ugyanolyan nevű könyvtárat. Kérjük, adjon meg másik mappanevet."
"We cannot create a new directory.","Nem hozható létre új könyvtár."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Nem lehet törölni a könyvtárt: %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","We can't upload the file right now."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Adatvédelmi és cookie irányelv"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Nem sikerült létrehozni a könyvtárat."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Szerkesztés"
"Delete","Törlés"
"Delete %1","%1 törlése"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Minden webáruház nézet"
"View","Megnéz"
"px.","px."
"No files found","Nem található fájl"
"Upload Images","Upload Images"
"Collapse All","Összes bezárása"
"Expand All","Összes kibontása"
"Save Page","Oldal Mentése"
"Edit Page Design","Edit Page Design"
"Media Gallery","Médiagaléria"
"Content Management","Tartalom-kezelés"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Zsemlemorzsák mutatása a CMS oldalakon"
"Browser Capabilities Detection","Böngésző képességek felismerése"
"Redirect to CMS-page if Cookies are Disabled","Visszairányítás a CMS-oldalra, ha a sütik tiltva vannak"
"Show Notice if JavaScript is Disabled","Figyelmeztetés ha a JavaScript ki van kapcsolva"
"Show Notice if Local Storage is Disabled","Figyelmeztetés, ha a helyi tároló ki van kapcsolva"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","WYSIWYG beállítások"
"Enable WYSIWYG Editor","WYSIWYG-szerkesztő engedélyezése"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","CMS oldalhivatkozás"
"Link to a CMS Page","CMS oldarla mutató hivatkozás"
"CMS Page","CMS oldal"
"Select Page...","Válassza ki az oldalt..."
"Anchor Custom Text","Egyedi horgony szöveg"
"If empty, the Page Title will be used","Ha üres, akkor az oldal neve lesz használva"
"Anchor Custom Title","Egyedi horgony cím"
"Template","Sablon"
"CMS Page Link Block Template","CMS oldalhivatkozás blokk sablon"
"CMS Page Link Inline Template","CMS oldal Link egysoros sablon"
"CMS Static Block","CMS statikus blokk"
"Contents of a Static Block","Egy statikus blokk tartalma"
"Block","Blokk"
"Select Block...","Blokk kiválasztás..."
"CMS Static Block Default Template","CMS statikus blokk alapértelmezett sablon"
"General Information","Általános információ"
"Enable Block","Blokk engedélyezése"
"Block Title","Blokk címe"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Elemek törlése"
"Page Information","Oldal információ"
"Enable Page","Oldal engedélyezése"
"Content","Tartalom"
"Content Heading","Tartalom fejléc"
"Search Engine Optimization","Kereső motor optimalizáció"
"Meta Title","Meta cím"
"Meta Keywords","Meta kulcsszavak"
"Meta Description","Meta leírás"
"Page in Websites","Oldal a Weboldalakon"
"Design","Dizájn"
"Layout Update XML","Elrendezés frissítés XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Egyedi design frissítése"
"From","Ettől"
"To","Eddig"
"New Theme","Új téma"
"-- Please Select --","-- Kérem válasszon --"
"New Layout","Új elrendezés"
"Disable","Letiltás"
"Enable","Bekapcsolás"
"Custom design from","Egyedi Design ettől"
"Custom design to","Egyedi Design eddig"
"Custom Theme","Egyedi téma"
"Custom Layout","Egyedi elrendezés"
