"Static Blocks","בלוקים סטטים"
"Content Management","ניהול תוכן"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","דף הבית CMS"
"CMS No Route Page","דף ללא נתיב CMS"
"CMS No Cookies Page","CMS אין עמוד Cookies"
"Show Breadcrumbs for CMS Pages","הצג פירורי לחם עבור דפי CMS"
"Browser Capabilities Detection","זיהוי יכולות הדפדפן"
"Redirect to CMS-page if Cookies are Disabled","לנתב מחדש לדף CMS אם ה-cookies אינן זמינות"
"Show Notice if JavaScript is Disabled","הצג הודעה אם JavaScript מושבת"
"Show Notice if Local Storage is Disabled","הצג הודעה אם האחסון המקומי אינו זמין"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","אפשרויות WYSIWYG"
"Enable WYSIWYG Editor","הפעלת עורך WYSIWYG"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","הקישור לדף CMS"
"Link to a CMS Page","קישור לדף CMS"
"CMS Page","דפי CMS"
"Select Page...","בחר דף..."
"Anchor Custom Text","קישור טקסט מותאם אישית"
"If empty, the Page Title will be used","אם ריק, ישמש את כותרת הדף"
"Anchor Custom Title","קישור כותרת מותאם אישית"
"Template","תבנית"
"CMS Page Link Block Template","קישור לבלוק של של עמודי תוכן"
"CMS Page Link Inline Template","תבנית קישור שורתי של דפי תוכן"
"CMS Static Block","בלוק סטטי CMS"
"Contents of a Static Block","התוכן של בלוק סטטי"
"Block","בלוק"
"Select Block...","בחר בלוק..."
"CMS Static Block Default Template","תבנית ברירת המחדל של בלוק סטטי CMS"
"General Information","מידע כללי"
"Enable Block","הפעל את הבלוק"
"Block Title","כותרת בלוק"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","מחיקת פריטים"
"Page Information","עמוד מידע"
"Enable Page","לאפשר עמוד"
"Content","תוכן"
"Content Heading","כותרת התוכן"
"Search Engine Optimization","אופטימיזציה של מנוע חיפוש"
"Meta Title","כותרת כללית"
"Meta Keywords","מילות מפתח מטא"
"Meta Description","תאור נתוני מטא"
"Page in Websites","עמוד באתרי אינטרנט"
"Design","עיצוב"
"Layout Update XML","פריסת עדכון XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","עדכון עיצוב מותאם אישית"
"From","מ-"
"To","ל-"
"New Theme","תבנית חדשה"
"-- Please Select --","-- אנא בחר --"
"New Layout","פריסה חדשה"
"Disable","השבת"
"Enable","אפשר"
"Custom design from","עיצוב מותאם אישית"
"Custom design to","עיצוב מותאם אישית כדי"
"Custom Theme","תבנית מותאמת אישית"
"Custom Layout","פריסה מותאמת אישית"
